split,method,folds,mean_candidate_count,top1_accuracy,top3_recall,top5_recall,mean_rank_pct,lift_top1_vs_random,lift_top5_vs_random,lift_rank_pct_vs_random
chronological_holdout,absolute_context_to_next_state,1,213.0,0.004694835680751174,0.009389671361502348,0.014084507042253521,0.47417840375586856,0.0,-0.009389671361502346,0.02582159624413144
chronological_holdout,calendar_to_next_state,1,213.0,0.009389671361502348,0.023474178403755867,0.046948356807511735,0.4110860129329436,0.004694835680751174,0.023474178403755867,0.08891398706705639
chronological_holdout,current_episode_identity,1,213.0,0.0,0.03286384976525822,0.06572769953051644,0.4142528124723182,-0.004694835680751174,0.04225352112676057,0.08574718752768179
chronological_holdout,global_next_center,1,213.0,0.004694835680751174,0.014084507042253521,0.023474178403755867,0.5,0.0,0.0,0.0
chronological_holdout,rhythm_conditioned_subject_relative_to_next_state,1,213.0,0.004694835680751174,0.018779342723004695,0.03286384976525822,0.42749579236424834,0.0,0.009389671361502351,0.07250420763575166
chronological_holdout,subject_next_center,1,213.0,0.0,0.004694835680751174,0.009389671361502348,0.6709628842235805,-0.004694835680751174,-0.01408450704225352,-0.17096288422358052
chronological_holdout,subject_relative_context_to_next_state,1,213.0,0.009389671361502348,0.018779342723004695,0.03286384976525822,0.4265213925059793,0.004694835680751174,0.009389671361502351,0.07347860749402069
subject_heldout,absolute_context_to_next_state,5,138.0,0.008709311551996956,0.027680791922685404,0.043628758601102116,0.4862921764601218,0.0014587981353503473,0.00737619151786908,0.01370782353987825
subject_heldout,calendar_to_next_state,5,138.0,0.016026099104764734,0.03616491188385352,0.05222418215182038,0.41212176540739465,0.008775585688118126,0.015971615068587332,0.08787823459260535
subject_heldout,current_episode_identity,5,138.0,0.0,0.0464674391215833,0.07988459367964089,0.4217863228012778,-0.007250513416646608,0.04363202659640785,0.07821367719872224
subject_heldout,global_next_center,5,138.0,0.007250513416646608,0.021751540249939822,0.03625256708323304,0.5,0.0,0.0,2.2204460492503132e-17
subject_heldout,rhythm_conditioned_subject_relative_to_next_state,5,138.0,0.012861134082432599,0.033124443590100236,0.057615219061197945,0.45546573057318807,0.005610620665785991,0.021362651977964903,0.044534269426811934
subject_heldout,subject_next_center,5,138.0,0.007250513416646608,0.021751540249939822,0.03625256708323304,0.5,0.0,0.0,2.2204460492503132e-17
subject_heldout,subject_relative_context_to_next_state,5,138.0,0.011452683378207245,0.03462820298859647,0.05906449442351678,0.45538899099080093,0.004202169961560638,0.022811927340283745,0.044611009009199086
