split,feature_set,subject_id_accuracy,chance_accuracy,leakage_lift_vs_chance
subject_heldout,raw_lifelog_pca,0.94,0.12666666666666668,0.8133333333333332
subject_heldout,global_transported_prototype,0.5422222222222223,0.12666666666666668,0.41555555555555557
subject_heldout,direct_semantic_listener_responsibility,0.43777777777777777,0.12666666666666668,0.3111111111111111
subject_heldout,head_current_relative_listener_responsibility,0.45111111111111113,0.12666666666666668,0.3244444444444444
subject_heldout,head_future_relative_listener_responsibility,0.47555555555555556,0.12666666666666668,0.3488888888888889
subject_heldout,head_cohort_relative_listener_responsibility,0.4822222222222222,0.12666666666666668,0.3555555555555555
subject_heldout,multihead_current_future_cohort_listener_responsibility,0.4666666666666667,0.12666666666666668,0.33999999999999997
subject_heldout,semantic_prior_router_listener_responsibility,0.4622222222222222,0.12666666666666668,0.3355555555555555
subject_heldout,learned_state_router_context_listener_responsibility,0.4066666666666667,0.12666666666666668,0.28
subject_heldout,learned_state_router_headsignal_listener_responsibility,0.47333333333333333,0.12666666666666668,0.3466666666666667
subject_heldout,learned_state_router_context_headsignal_listener_responsibility,0.4111111111111111,0.12666666666666668,0.2844444444444444
subject_heldout,learned_semantic_router_context_headsignal_listener_responsibility,0.44666666666666666,0.12666666666666668,0.31999999999999995
subject_heldout,learned_semantic_blend_router_context_headsignal_listener_responsibility,0.44222222222222224,0.12666666666666668,0.3155555555555556
subject_heldout,learned_semantic_distilled_router_headsignal_listener_responsibility,0.5111111111111111,0.12666666666666668,0.38444444444444437
chronological_holdout,raw_lifelog_pca,0.94,0.12666666666666668,0.8133333333333332
chronological_holdout,global_transported_prototype,0.19333333333333333,0.12666666666666668,0.06666666666666665
chronological_holdout,direct_semantic_listener_responsibility,0.18444444444444444,0.12666666666666668,0.05777777777777776
chronological_holdout,head_current_relative_listener_responsibility,0.14444444444444443,0.12666666666666668,0.017777777777777753
chronological_holdout,head_future_relative_listener_responsibility,0.15777777777777777,0.12666666666666668,0.03111111111111109
chronological_holdout,head_cohort_relative_listener_responsibility,0.14222222222222222,0.12666666666666668,0.015555555555555545
chronological_holdout,multihead_current_future_cohort_listener_responsibility,0.15333333333333332,0.12666666666666668,0.026666666666666644
chronological_holdout,semantic_prior_router_listener_responsibility,0.14666666666666667,0.12666666666666668,0.01999999999999999
chronological_holdout,learned_state_router_context_listener_responsibility,0.13333333333333333,0.12666666666666668,0.006666666666666654
chronological_holdout,learned_state_router_headsignal_listener_responsibility,0.12222222222222222,0.12666666666666668,-0.004444444444444459
chronological_holdout,learned_state_router_context_headsignal_listener_responsibility,0.13111111111111112,0.12666666666666668,0.004444444444444445
chronological_holdout,learned_semantic_router_context_headsignal_listener_responsibility,0.1288888888888889,0.12666666666666668,0.0022222222222222088
chronological_holdout,learned_semantic_blend_router_context_headsignal_listener_responsibility,0.12444444444444444,0.12666666666666668,-0.0022222222222222365
chronological_holdout,learned_semantic_distilled_router_headsignal_listener_responsibility,0.14,0.12666666666666668,0.013333333333333336
row_block_holdout,raw_lifelog_pca,0.94,0.12666666666666668,0.8133333333333332
row_block_holdout,global_transported_prototype,0.2777777777777778,0.12666666666666668,0.1511111111111111
row_block_holdout,direct_semantic_listener_responsibility,0.2311111111111111,0.12666666666666668,0.10444444444444442
row_block_holdout,head_current_relative_listener_responsibility,0.23333333333333334,0.12666666666666668,0.10666666666666666
row_block_holdout,head_future_relative_listener_responsibility,0.25333333333333335,0.12666666666666668,0.12666666666666668
row_block_holdout,head_cohort_relative_listener_responsibility,0.26,0.12666666666666668,0.13333333333333333
row_block_holdout,multihead_current_future_cohort_listener_responsibility,0.2311111111111111,0.12666666666666668,0.10444444444444442
row_block_holdout,semantic_prior_router_listener_responsibility,0.23333333333333334,0.12666666666666668,0.10666666666666666
row_block_holdout,learned_state_router_context_listener_responsibility,0.23555555555555555,0.12666666666666668,0.10888888888888887
row_block_holdout,learned_state_router_headsignal_listener_responsibility,0.26666666666666666,0.12666666666666668,0.13999999999999999
row_block_holdout,learned_state_router_context_headsignal_listener_responsibility,0.2088888888888889,0.12666666666666668,0.08222222222222222
row_block_holdout,learned_semantic_router_context_headsignal_listener_responsibility,0.2111111111111111,0.12666666666666668,0.08444444444444443
row_block_holdout,learned_semantic_blend_router_context_headsignal_listener_responsibility,0.2111111111111111,0.12666666666666668,0.08444444444444443
row_block_holdout,learned_semantic_distilled_router_headsignal_listener_responsibility,0.24,0.12666666666666668,0.11333333333333331
