file,feature_set,alpha,actual_delta,loo_pred_delta
submission_h012_public_equation_top_all_k1200_a0.7_uploadsafe.csv,cond_only,0.01,0.0,0.013313357481286186
submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,cond_only,0.01,0.00803546629999996,0.008700417334175405
submission_e256_featnn1_top50_amp_then_smooth25_a3827329.csv,cond_only,0.01,0.008157084499999967,0.008682439926281482
submission_e368_q2s1rowmask_selected_e368_q2_damp_s1_recover_amp1_06_be814361_uploadsafe.csv,cond_only,0.01,0.0081669459,0.007852252628436314
submission_e95_hardtail_541e3973.csv,cond_only,0.01,0.008167846699999926,0.008680849075082937
submission_e101_q2s3tail_177569bc.csv,cond_only,0.01,0.00817688289999996,0.008436746744714507
submission_mixmin_0c916bb4.csv,cond_only,0.01,0.008183157399999974,0.008450957500460262
submission_e176_abl_q2_to0p75_91e49725.csv,cond_only,0.01,0.008188347900000004,0.008924156308188632
submission_e267_humansocial_tail_balanced_2936100f.csv,cond_only,0.01,0.008206014299999898,0.0086752072014692
submission_e72_topabs50_q2s3_gate_4e48cba2.csv,cond_only,0.01,0.008284294099999978,0.008547760236969517
submission_e323_5508f966_uploadsafe.csv,cond_only,0.01,0.008912018499999896,0.008570846803590458
submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,cond_only,0.01,0.009163025699999938,0.008533743306287893
submission_frontier_cvjepa_refine_a2c8d2c8.csv,cond_only,0.01,0.009315837899999901,0.009850329194816014
submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,cond_only,0.01,0.009402824099999929,0.00973737463266109
submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,cond_only,0.01,0.009821492599999981,0.009373409317722367
submission_h010_objective_s1s4_v2_uploadsafe.csv,cond_only,0.01,0.01004833439999997,0.008402878403061441
submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,cond_only,0.01,0.010179882099999982,0.008656745947439273
