fold,source,latent,feature_view,c,blend,target,loss,source_file
1,best__absolute__c0.03_b0.05,best,absolute,0.03,0.05,Q1,0.6627396595926425,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.05,best,absolute,0.03,0.05,Q2,0.7310165495892812,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.05,best,absolute,0.03,0.05,Q3,0.686770297732328,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.05,best,absolute,0.03,0.05,S1,0.5654827891775815,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.05,best,absolute,0.03,0.05,S2,0.5972979913699195,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.05,best,absolute,0.03,0.05,S3,0.4941383976851449,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.05,best,absolute,0.03,0.05,S4,0.6752013522071113,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.1,best,absolute,0.03,0.1,Q1,0.6611736223734747,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.1,best,absolute,0.03,0.1,Q2,0.7266942942194853,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.1,best,absolute,0.03,0.1,Q3,0.684559189349713,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.1,best,absolute,0.03,0.1,S1,0.564065127645545,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.1,best,absolute,0.03,0.1,S2,0.591983029206154,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.1,best,absolute,0.03,0.1,S3,0.4949201311108485,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.1,best,absolute,0.03,0.1,S4,0.670182166675941,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.2,best,absolute,0.03,0.2,Q1,0.6589555089707855,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.2,best,absolute,0.03,0.2,Q2,0.7188561606906594,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.2,best,absolute,0.03,0.2,Q3,0.6805959144343542,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.2,best,absolute,0.03,0.2,S1,0.5627910340951914,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.2,best,absolute,0.03,0.2,S2,0.5844101514044433,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.2,best,absolute,0.03,0.2,S3,0.4985294903744203,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
1,best__absolute__c0.03_b0.2,best,absolute,0.03,0.2,S4,0.6615561910115153,outputs/domain_digital_boundary_pruned_probe_v1/fold_target_losses.csv
