target,source_family,size
Q1,best_late_fusion,5
Q2,trajectory,4
Q2,recovery,1
Q3,trajectory,4
Q3,best_late_fusion,1
S1,best_late_fusion,5
S2,best_late_fusion,3
S2,future,2
S3,best_late_fusion,5
S4,best_late_fusion,5
