target,feature,mode,c_value,base_weight,scaled_weight,delta_vs_base,mean_delta,win_rate
S2,er_a20p0_pred_k15_rate_Q3,subject_z,0.2,0.45,0.3375,-0.006522052973997106,-0.005857072314167886,0.9423076923076923
Q3,er_a80p0_actual_k15_rate_S1,subject_center,0.2,0.45,0.3375,-0.006167163161738043,-0.002571109414237266,0.6846153846153846
Q1,er_a80p0_mix_k40_dmean,subject_center,0.2,0.45,0.3375,-0.005905590240690817,-0.0009419910768403282,0.4115384615384615
S3,er_a20p0_actual_k15_last_S3,subject_z,0.2,0.45,0.3375,-0.0047989710296134636,-0.003897712641355011,0.9115384615384615
S1,er_a20p0_mix_k15_first_Q3,subject_center,0.2,0.45,0.3375,-0.004013476756793977,-0.0033711607408848272,0.8807692307692307
S4,er_a80p0_mix_k15_first_Q3,subject_z,0.2,0.45,0.3375,-0.003239688714781308,-0.0025342337011222695,0.9076923076923077
Q2,er_a80p0_actual_k40_entropy_Q2,subject_z,0.2,0.05,0.037500000000000006,-3.853985693513806e-05,0.0016906718683355642,0.06153846153846154
