target,feature,mode,c_value,base_weight,scaled_weight,delta_vs_base,mean_delta,win_rate
Q1,nbcj_mps_pred_01,subject_z,0.2,0.45,0.225,-0.009751410552230722,-0.009793188940006938,1.0
S2,nbcj_mps_pred_13,subject_rank,0.2,0.45,0.225,-0.009100749161708221,-0.00866719832133858,1.0
Q3,nbcj_mps_pred_04,subject_z,0.2,0.45,0.225,-0.008355898314657217,-0.008298451928357226,1.0
S1,nbcj_mps_label_entropy_S1,subject_rank,0.2,0.45,0.225,-0.004031986210408789,-0.003885616314578578,1.0
S3,nbcj_mps_label_entropy_Q1,subject_z,0.2,0.45,0.225,-0.003307756333163492,-0.002283659102769238,0.8730769230769231
