latent,n,dim,global_scale,min_dim_std,max_dim_std,cov_eig_min,cov_eig_max,cov_eig_cv,cov_condition,effective_rank,participation_ratio,sigreg_ep,fold
geom_r00_context,327.0,32.0,0.7630311060163806,0.16246336802581232,1.4556952988711391,0.0002208580132583838,16.822304409096887,3.379541615327343,76167.96040547697,3.0882314948086718,2.576219563095758,0.15574457611210477,geom_r00
geom_r00_target,327.0,32.0,0.02685444099209896,0.016815569834263355,0.04266823034579247,0.10169426398091813,14.699765538561241,2.651653980716307,144.54862017900535,8.320421728875978,3.984426454102292,0.05863402571774921,geom_r00
geom_r00_pred,327.0,32.0,0.02469603919618696,0.0137787644536515,0.043547655123738566,0.001785512721471066,16.789855659588717,3.0654817106456282,9403.380585132838,5.175777169331489,3.077758179757281,0.0982334498731728,geom_r00
geom_r01_context,319.0,32.0,0.7407604994611118,0.23797629668562356,1.3456338418676455,0.00015129583068416565,16.47655651208686,3.4910112591593867,108902.91184878808,2.8637875316244967,2.4266029184863847,0.17118037527608718,geom_r01
geom_r01_target,319.0,32.0,0.023222212267670666,0.013138362432545068,0.03572230264522787,0.12373657233655358,11.103406849171613,2.075615712341258,89.73423652767134,11.595089699847879,6.028430925750714,0.04564575840186189,geom_r01
geom_r01_pred,319.0,32.0,0.02096591066150238,0.010580445850346632,0.035183146441689336,0.0021704786461214324,13.861211675751289,2.6448863562489224,6386.246508584997,6.255044539971118,4.002289390842221,0.09105188806934783,geom_r01
geom_r02_context,340.0,32.0,0.7503094506634757,0.29082847343675333,1.386839614861181,0.00018740124474826215,16.647106991464018,3.3762141100336263,88831.35762425822,3.160222859036637,2.5808904048250376,0.1399221815575573,geom_r02
geom_r02_target,340.0,32.0,0.029357804381346074,0.016660095788580426,0.0463291504339277,0.09253964303629714,14.528800078775443,2.704130035151809,157.00082258883108,7.66801637485945,3.8497077709701966,0.08203092873192842,geom_r02
geom_r02_pred,340.0,32.0,0.02793903489833513,0.013535899062204612,0.047365800504165285,0.0021015833153694976,16.187237735944645,3.0937541190090303,7702.401145632728,4.7408337554801,3.027059676639189,0.10717167539792982,geom_r02
geom_r03_context,324.0,32.0,0.7364175965586724,0.3594401458770367,1.4357792544277506,0.00018193836164964687,15.659127716138816,3.3155437808134676,86068.31222484633,3.213608799234094,2.6682608274383672,0.1356915074932601,geom_r03
geom_r03_target,324.0,32.0,0.02360939564778993,0.013875840938719781,0.034911058332428614,0.1298209721770651,13.04358983655207,2.343176819710671,100.47367245687923,10.350555867124957,4.93029972993674,0.04428357813263662,geom_r03
geom_r03_pred,324.0,32.0,0.02192375357502211,0.008657873491213443,0.03291411529117171,0.0029715436986871764,15.899136044400919,2.894332411973941,5350.463481800767,5.8323692786041645,3.412547042089227,0.0958143197333819,geom_r03
full_context,563.0,32.0,0.7864754267643358,0.2359723829648813,1.3504192517257823,0.00026085645246615256,13.621510887261511,3.137844163819443,52218.41652174186,3.320404328938145,2.95037850687751,0.15117505626369204,full
full_target,563.0,32.0,0.018412890599205804,0.010344103073082863,0.03405287288483698,0.14162137411512102,14.086388800263137,2.516811023555624,99.46513291710197,9.517250266371338,4.363038788978153,0.05075105266064985,full
full_pred,563.0,32.0,0.016821356900271468,0.0051784017081252885,0.035452390388473594,0.004582065968453874,16.9367700044551,3.0722692400682923,3696.3173644944422,5.3886737096915285,3.065475211994894,0.10312474431622005,full
