target,feature,mode,c_value,base_weight,scaled_weight,delta_vs_base,mean_delta,win_rate
Q3,bcj_a150p0_pred_15,subject_center,0.5,0.45,0.3375,-0.01127239817473169,-0.0071165590712770335,0.7346153846153847
S3,bcj_a10p0_resid_06,subject_z,0.5,0.45,0.3375,-0.009774223248247782,-0.008482036194540875,0.926923076923077
S2,bcj_a10p0_pred_11,subject_z,0.5,0.45,0.3375,-0.009377810122278007,-0.009210942763129002,0.9961538461538462
Q1,bcj_a50p0_pred_01,subject_rank,0.5,0.45,0.3375,-0.008694534999544201,-0.00745075116548911,0.9115384615384615
S4,bcj_a150p0_row_absresid_10,subject_z,0.5,0.45,0.3375,-0.00731472983866277,-0.006669876137908798,0.9307692307692308
S1,bcj_a10p0_absresid_19,subject_rank,0.5,0.45,0.3375,-0.006732180454690595,-0.005761035363061065,0.9615384615384616
