target,feature,mode,c_value,base_weight,scaled_weight,delta_vs_base,mean_delta,win_rate,feature_family
Q3,lebcj_l0p2_e32_target_norm,subject_center,0.2,0.45,0.45,-0.010922090486215952,-0.010439416144133242,1.0,geometry
Q2,lebcj_l0p2_e32_target_emb_12,subject_z,0.2,0.45,0.45,-0.004111956507382053,-0.00217432912096846,0.7615384615384615,target_emb
S1,lebcj_l0p2_e32_rate_gap_S1,subject_rank,0.2,0.45,0.45,-0.0038713503261311732,-0.003356987902789188,0.9307692307692308,rate
S4,lebcj_l0p2_e32_absresid_emb_06,subject_z,0.2,0.45,0.45,-0.003777957629119255,-0.0017099798468887253,0.6884615384615385,resid_emb
Q1,lebcj_l0p2_e32_pred_emb_12,subject_z,0.2,0.45,0.45,-0.002556378328439135,-0.0007198593934602499,0.6461538461538462,pred_emb
S2,lebcj_l0p2_e32_pred_rate_S1,subject_rank,0.2,0.45,0.45,-0.0024060740911721057,-0.0018699543249199525,0.8884615384615384,rate
S3,lebcj_l0p2_e32_pred_rate_S2,subject_z,0.2,0.1,0.1,-0.00011108907367263221,0.0007051935592981758,0.15384615384615385,rate
