name,mode,base,jepa,weight,mean_expected,p90_expected,mean_regret,p90_regret,max_regret,mean_delta_vs_base,p90_delta_vs_base,win_rate_vs_base,score,min_prob,max_prob,mean_abs_delta_vs_stage2,mean_abs_delta_vs_raw05
base__minimax_r01,base,minimax_r01,none,0.0,0.5746342260269526,0.5808746067835623,5.913026598386549e-06,3.379432950737505e-05,6.021695013758155e-05,-1.5123637922972926e-08,2.956542476173496e-07,0.5140458254865035,0.5746829163880132,0.075968147544219,0.9773666697808931,0.016378294243323765,0.018657398440952506
base__u80,base,u80,none,0.0,0.5746342017954924,0.580874490680821,5.888795138247119e-06,3.36043679002751e-05,5.977788601740919e-05,-3.9355098062402627e-08,3.420025004086114e-07,0.49992153170119275,0.5746842104144462,0.0760001624684446,0.9773625056769296,0.01637666802485254,0.01865595038003674
minimax_r01__neural_episode_bal__logit__w0.030,logit,minimax_r01,neural_episode_bal,0.03,0.5746365107163441,0.5808746852773712,8.197715990041732e-06,2.3258171467865907e-05,4.4644450104436295e-05,2.26956575373221e-06,2.0586280033751964e-05,0.3593848085373509,0.577494817627557,0.07618982215063685,0.9775021209064674,0.01596964414190049,0.018141163136373005
minimax_r05__neural_episode_bal__logit__w0.030,logit,minimax_r05,neural_episode_bal,0.03,0.574636519341585,0.5808747073047246,8.20634123080493e-06,2.3262196128703842e-05,4.5334691592957554e-05,2.278190994495408e-06,2.0286978882466667e-05,0.3581293157564344,0.5775199320354029,0.0762449998849637,0.9774976448650803,0.01597543564728864,0.018145352647811874
u80__neural_episode_bal__logit__w0.030,logit,u80,neural_episode_bal,0.03,0.574636516867588,0.5808748110735519,8.203867233767267e-06,2.323519555368359e-05,4.4598488948000004e-05,2.275716997457747e-06,2.0665459423530045e-05,0.3561676082862524,0.5775591706482164,0.07622095958855735,0.9774981053527444,0.015968006237326308,0.018139770025420596
minimax_r01__neural_episode_bal__prob__w0.030,prob,minimax_r01,neural_episode_bal,0.03,0.5746370134670042,0.5808749556256433,8.700466650091754e-06,2.3683713321298598e-05,4.537794544279272e-05,2.772316413782233e-06,2.0743821014490572e-05,0.3422787193973635,0.5778389413871534,0.07619963121062921,0.9774900329742335,0.015973511945578545,0.018141010388422148
minimax_r05__neural_episode_bal__prob__w0.030,prob,minimax_r05,neural_episode_bal,0.03,0.5746370335775982,0.580875030282828,8.720577244138078e-06,2.3670833668665292e-05,4.607102495257642e-05,2.7924270078285574e-06,2.0451848717162326e-05,0.3406308851224105,0.5778719217842981,0.0762546621820169,0.977485530594882,0.015979322813150496,0.018145231775880816
u80__neural_episode_bal__prob__w0.030,prob,u80,neural_episode_bal,0.03,0.5746370292951054,0.5808750858796062,8.716294751246935e-06,2.3647418197159098e-05,4.533225569813837e-05,2.788144514937414e-06,2.081754591025664e-05,0.3385122410546139,0.5779142946036797,0.07623068568712803,0.977485993793389,0.015971923247714022,0.018139636886971452
minimax_r01__neural_episode_bal__logit__w0.050,logit,minimax_r01,neural_episode_bal,0.05,0.5746431496706733,0.580877470165159,1.4836670319180754e-05,3.915071846539719e-05,5.882005054402839e-05,8.908520082871231e-06,3.914995884422012e-05,0.29551161330822345,0.5788125124579087,0.07633793478442452,0.97759198134463,0.01573795508967353,0.017813017942314494
u80__neural_episode_bal__logit__w0.050,logit,u80,neural_episode_bal,0.05,0.5746431753764688,0.5808773237496879,1.486237611464052e-05,3.923778690694269e-05,5.9090006292450425e-05,8.934225878331e-06,3.923501497273829e-05,0.2919805398618958,0.5788833286216762,0.07636848447746418,0.977588063940841,0.015736278823069636,0.01781163050956301
minimax_r05__neural_episode_bal__logit__w0.050,logit,minimax_r05,neural_episode_bal,0.05,0.5746431545353897,0.5808775390944025,1.4841535035599403e-05,3.885113818777874e-05,5.8600256031327014e-05,8.913384799289882e-06,3.8849264963003456e-05,0.28970495919648465,0.5789282894255132,0.0763920708292224,0.9775876147095113,0.01574333263209728,0.017817237564547887
minimax_r01__neural_episode_bal__prob__w0.050,prob,minimax_r01,neural_episode_bal,0.05,0.5746444857982681,0.5808779970370267,1.617279791396847e-05,3.992385765861917e-05,6.389910151582967e-05,1.0244647677658947e-05,3.9922094098687746e-05,0.24976459510357815,0.5797326427235787,0.07635395365490268,0.9775722751031272,0.0157441112772957,0.01781385965008524
u80__neural_episode_bal__prob__w0.050,prob,u80,neural_episode_bal,0.05,0.5746445255295506,0.5808779935632221,1.6212529196499603e-05,4.002373621785351e-05,6.437438674156137e-05,1.0284378960190084e-05,4.000248637562321e-05,0.24701820464532329,0.5797878294478671,0.07638436783291698,0.9775683192043618,0.015742476981181436,0.017812500511787913
minimax_r05__neural_episode_bal__prob__w0.050,prob,minimax_r05,neural_episode_bal,0.05,0.5746445074432623,0.580878029707069,1.619444290822627e-05,3.963628239190831e-05,6.414601535381648e-05,1.0266292671916751e-05,3.963087472466098e-05,0.24231010671688638,0.5798814639528456,0.0764078499670865,0.9775678655563395,0.015749537486859675,0.01781810907390097
minimax_r01__blockcanvas_noq2__logit__w0.030,logit,minimax_r01,blockcanvas_noq2,0.03,0.5746385871941784,0.5808785229735811,1.0274193824261056e-05,2.5792466387564165e-05,5.462122150423632e-05,4.346043587951534e-06,1.8415496794821354e-05,0.21131512868801006,0.5804650396348884,0.07717102171120947,0.9769821065546271,0.016075008577919582,0.01832860077455232
u80__blockcanvas_noq2__logit__w0.030,logit,u80,blockcanvas_noq2,0.03,0.5746386039026029,0.5808785005050411,1.029090224881323e-05,2.567568924527475e-05,5.45553474122773e-05,4.3627520125037084e-06,1.8493568843147568e-05,0.20817639673571878,0.5805277599427706,0.07720252663674429,0.9769780003716572,0.016073628745241923,0.018327470416406526
