name,mode,base,jepa,weight,mean_expected,p90_expected,mean_regret,p90_regret,max_regret,mean_delta_vs_base,p90_delta_vs_base,win_rate_vs_base,score,min_prob,max_prob,mean_abs_delta_vs_stage2,mean_abs_delta_vs_raw05
minimax_r05__blockcanvas_noq2__logit__w0.030,logit,minimax_r05,blockcanvas_noq2,0.03,0.5746386125819203,0.5808786485121721,1.0299581566076406e-05,2.6078823164099597e-05,5.514784702831399e-05,4.371431329766885e-06,1.8130140763417125e-05,0.20440991839296924,0.5806034756208613,0.0772268506407765,0.9769775294910429,0.016080941056080458,0.018333074271021613
minimax_r01__blockcanvas_noq2__prob__w0.030,prob,minimax_r01,blockcanvas_noq2,0.03,0.5746394243079515,0.5808791273802887,1.1111307597353138e-05,2.7158991889975065e-05,5.6118564479845645e-05,5.183157361043616e-06,1.7957340957652778e-05,0.18518518518518517,0.5809914996077479,0.07748714246590925,0.9768601658106303,0.016094785861778718,0.018340375642947816
u80__blockcanvas_noq2__prob__w0.030,prob,u80,blockcanvas_noq2,0.03,0.5746394489248516,0.5808792160032107,1.1135924497510819e-05,2.7019295292862743e-05,5.605590349821998e-05,5.207774261201298e-06,1.804090127103253e-05,0.1838512241054614,0.5810181265624595,0.07751819694240807,0.9768561266297857,0.01609342780096012,0.01833925443822259
minimax_r05__blockcanvas_noq2__prob__w0.030,prob,minimax_r05,blockcanvas_noq2,0.03,0.5746394613895939,0.5808792842733354,1.1148389239672829e-05,2.7422812731991996e-05,5.66503239843863e-05,5.220239003363307e-06,1.7686560210705695e-05,0.18220338983050846,0.5810514830124365,0.07754217343729694,0.9768556634312787,0.0161007210572359,0.0183448588610908
minimax_r01__multifeature_raw__logit__w0.030,logit,minimax_r01,multifeature_raw,0.03,0.5746387538396199,0.5808783872426689,1.044083926580017e-05,3.028438081621454e-05,5.6920013461692065e-05,4.512689029490649e-06,1.2228359287635995e-05,0.16807909604519775,0.5813336296505944,0.07761088774255608,0.9766876629862732,0.01621634795558036,0.0183560318853291
u80__multifeature_raw__logit__w0.030,logit,u80,multifeature_raw,0.03,0.5746387816653908,0.5808784237291933,1.046866503666878e-05,3.0183126388660946e-05,5.685713020397998e-05,4.540514800359259e-06,1.2328694729024649e-05,0.16800062774639046,0.5813351981623811,0.07764255713401119,0.9766835055308252,0.016214963305700932,0.018354959588678454
minimax_r01__neural_episode_bal__logit__w0.075,logit,minimax_r01,neural_episode_bal,0.075,0.5746572167010682,0.5808818776433234,2.890370071407841e-05,6.808813401512071e-05,9.94365320911017e-05,2.297555047776889e-05,6.808813401512071e-05,0.17310106716886378,0.5813396803465418,0.0765234469992333,0.9777038138405202,0.01550383328889314,0.01743191789744793
u80__neural_episode_bal__logit__w0.075,logit,u80,neural_episode_bal,0.075,0.574657266038176,0.5808818812400913,2.895303782191992e-05,6.818514289628209e-05,9.974524555300679e-05,2.30248875856104e-05,6.818514289628209e-05,0.1725517890772128,0.5813509457660287,0.07655325890436697,0.9777000181368307,0.015502179052160257,0.017430555055441912
minimax_r05__neural_episode_bal__logit__w0.075,logit,minimax_r05,neural_episode_bal,0.075,0.5746572174822748,0.5808820319732407,2.890448192067079e-05,6.775641030977164e-05,9.921790554845433e-05,2.297633168436127e-05,6.775641030977164e-05,0.17200251098556182,0.581361244814054,0.07657627543571355,0.9776995828626356,0.015508904575771091,0.017436015637491236
minimax_r05__multifeature_raw__logit__w0.030,logit,minimax_r05,multifeature_raw,0.03,0.5746388062509672,0.580878390828674,1.0493250613155053e-05,3.06259496399175e-05,5.7459061595932504e-05,4.565100376845531e-06,1.1971278935407616e-05,0.1665097300690521,0.5813654913093191,0.07766700810879512,0.9766830287705169,0.016222341506946278,0.0183606685983983
base__u65_maskrank,base,u65_maskrank,none,0.0,0.574648030684575,0.5808708506014364,1.971768422091492e-05,4.44670026488181e-05,7.942104325364685e-05,1.3789533984605397e-05,4.436022497088521e-05,0.16745134965473948,0.5813957491597278,0.0750554023666926,0.977345295161874,0.01503162396848901,0.017357921614036872
minimax_r01__blockcanvas_noq2__logit__w0.050,logit,minimax_r01,blockcanvas_noq2,0.05,0.5746486002626182,0.5808837583849212,2.0287262264112124e-05,3.769623068973216e-05,6.272687538932953e-05,1.4359112027802604e-05,3.751103692473113e-05,0.16627432517263024,0.581412023065538,0.07798260898220984,0.9767221941171836,0.015947699761742488,0.0181414686438855
u80__blockcanvas_noq2__logit__w0.050,logit,u80,blockcanvas_noq2,0.05,0.5746486431384689,0.5808837668000256,2.0330138114705226e-05,3.778358208408328e-05,6.268284819765935e-05,1.4401987878395704e-05,3.761377895425966e-05,0.1661173885750157,0.5814153961234828,0.07801376126674497,0.9767181282772036,0.015946410623336963,0.018140290196777868
minimax_r05__blockcanvas_noq2__logit__w0.050,logit,minimax_r05,blockcanvas_noq2,0.05,0.5746486324916023,0.5808837939382412,2.0319491248113866e-05,3.749246857195355e-05,6.325483716040914e-05,1.4391341011804345e-05,3.723967234297021e-05,0.16509730069052103,0.5814354286051867,0.07803781282799457,0.976717662023919,0.015953506111952703,0.01814579061475713
u65_maskrank__multifeature_raw__logit__w0.030,logit,u65_maskrank,multifeature_raw,0.03,0.5746591643174503,0.5808791755695758,3.0851317096236665e-05,6.142105150225287e-05,0.00010519684868737222,2.4923166859927143e-05,6.139024181496255e-05,0.16635279347143753,0.5814727700245138,0.07670781896763722,0.9766663227431328,0.014905924104680236,0.01709617204462804
u65_maskrank__neural_episode_bal__logit__w0.030,logit,u65_maskrank,neural_episode_bal,0.03,0.5746580095063214,0.5808747217793027,2.9696505967240112e-05,6.977398465816132e-05,0.00012365518927337504,2.3768355730930593e-05,6.976189695147018e-05,0.16666666666666666,0.5814739783084346,0.07530193877574042,0.977481509033043,0.014655785278859053,0.016879761964463183
u65_maskrank__blockcanvas_noq2__logit__w0.030,logit,u65_maskrank,blockcanvas_noq2,0.03,0.5746597814849963,0.5808759477706267,3.1468484642260464e-05,6.739572343815725e-05,0.00011150153688133102,2.554033440595094e-05,6.737125842279923e-05,0.16658819836785937,0.5814773995388903,0.07627264792527737,0.9769610294887332,0.01476453136592543,0.01706955413131878
u65_maskrank__neural_episode_bal__prob__w0.030,prob,u65_maskrank,neural_episode_bal,0.03,0.5746588922092062,0.5808746769383178,3.0579208852096526e-05,7.04635439985113e-05,0.00012658513546082162,2.4651058615787007e-05,7.04635439985113e-05,0.16666666666666666,0.5814776028031483,0.0753142683884286,0.9774692995937849,0.014660067659812372,0.016881578607828993
u65_maskrank__multifeature_raw__prob__w0.030,prob,u65_maskrank,multifeature_raw,0.03,0.5746608839233125,0.5808809033594997,3.257092295825389e-05,6.272918303082964e-05,0.0001082580953430945,2.6642772721944374e-05,6.266381699823188e-05,0.16635279347143753,0.581479644750998,0.07733673696433378,0.9762341086168798,0.014927758080619703,0.017109542906150972
u65_maskrank__blockcanvas_noq2__prob__w0.030,prob,u65_maskrank,blockcanvas_noq2,0.03,0.5746609016070399,0.5808765316770672,3.258860668572764e-05,6.774387955392758e-05,0.00011384767012445618,2.6660456449418124e-05,6.769350325500634e-05,0.1664312617702448,0.5814844285487175,0.07660177964370864,0.9768394324301817,0.014782761432996226,0.017083045696691876
minimax_r01__neural_episode_bal__prob__w0.075,prob,minimax_r01,neural_episode_bal,0.075,0.5746600575129668,0.5808853506884787,3.17445126126378e-05,7.00789298627158e-05,0.00011111158109405883,2.581636237632828e-05,7.00789298627158e-05,0.16509730069052103,0.5815112508192717,0.0765468567102445,0.9776750777642442,0.015514982229372518,0.01743788961665368
u80__neural_episode_bal__prob__w0.075,prob,u80,neural_episode_bal,0.075,0.5746601243818737,0.5808854838718264,3.1811381519550657e-05,7.021842079101283e-05,0.00011166672162471469,2.5883231283241137e-05,7.021842079101283e-05,0.16501883239171375,0.581513215938109,0.07657647051515318,0.977671225968078,0.015513389382832712,0.017436596637182028
minimax_r05__neural_episode_bal__prob__w0.075,prob,minimax_r05,neural_episode_bal,0.075,0.5746600795167657,0.5808854584522828,3.1766516411498694e-05,6.981260170495496e-05,0.00011140398210157665,2.5838366175189172e-05,6.981260170495496e-05,0.1643126177024482,0.5815267055166907,0.0765993346984235,0.9776707842581616,0.015520119535740813,0.017442016749462726
u65_maskrank__neural_episode_bal__logit__w0.050,logit,u65_maskrank,neural_episode_bal,0.05,0.574669518588149,0.5808957012327727,4.120558779485611e-05,9.258770791945592e-05,0.00015879977924670996,3.5277437558546593e-05,9.258770791945592e-05,0.1664312617702448,0.5815423497667994,0.07546670941455766,0.9775718734237077,0.014445228368185882,0.016582610758077147
u65_maskrank__neural_episode_bal__prob__w0.050,prob,u65_maskrank,neural_episode_bal,0.05,0.5746713484636157,0.5808958198191418,4.303546326148969e-05,9.402345601842166e-05,0.00016430088811658639,3.7107313025180174e-05,9.402345601842166e-05,0.16627432517263024,0.5815529760783139,0.07548684573625258,0.9775519692150589,0.014452913839505905,0.016586148588580645
u65_maskrank__blockcanvas_noq2__logit__w0.050,logit,u65_maskrank,blockcanvas_noq2,0.05,0.5746744703230273,0.580896670739153,4.615732267318054e-05,9.040447649696359e-05,0.00014350885848279926,4.022917243687102e-05,9.038045329049505e-05,0.1661173885750157,0.5815600932069526,0.07709418003881871,0.9767013242909803,0.014653647591513058,0.01691343121913864
u65_maskrank__multifeature_raw__logit__w0.050,logit,u65_maskrank,multifeature_raw,0.05,0.5746729103037144,0.5808888387142985,4.459730336028234e-05,7.925160887183314e-05,0.00012936048416323231,3.866915312397282e-05,7.919558662381477e-05,0.16494036409290647,0.5815648563789814,0.0778278949931914,0.9762026810469632,0.014877274420821526,0.01695728325396949
u65_maskrank__blockcanvas_noq2__prob__w0.050,prob,u65_maskrank,blockcanvas_noq2,0.05,0.5746769232251995,0.580897446289579,4.861022484540734e-05,9.136529276164708e-05,0.0001463793037270733,4.268207460909782e-05,9.131252493098652e-05,0.16407721280602636,0.581609546181704,0.07763269782838599,0.9765021906090535,0.014691909512463448,0.01693902748583663
u65_maskrank__neural_episode_bal__logit__w0.075,logit,u65_maskrank,neural_episode_bal,0.075,0.5746893802466194,0.5809229517281078,6.106724626526642e-05,0.0001266233737176381,0.0002091122361961295,5.5139096028956896e-05,0.0001266233737176381,0.16556811048336473,0.5816625561897535,0.07567313831658996,0.9776843307820497,0.01423914366938688,0.016240233904737746
u80__multifeature_raw__prob__w0.030,prob,u80,multifeature_raw,0.03,0.5746400962330359,0.5808792072219265,1.1783232681773675e-05,3.190064004980898e-05,5.838867237295542e-05,5.855082445464154e-06,1.2511964599903892e-05,0.15058066541117388,0.5816893718567643,0.07825315426303321,0.9762508028164838,0.016237637390026472,0.018365591532088714
u65_maskrank__multifeature_raw__prob__w0.050,prob,u65_maskrank,multifeature_raw,0.05,0.5746768052251066,0.5808919402378768,4.8492224752434785e-05,8.246232959786548e-05,0.0001360014506892604,4.2564074516125266e-05,8.242538589757764e-05,0.15889830508474576,0.5817015710522284,0.07885762669609457,0.9754933175868837,0.014920965920941394,0.016986428817997182
minimax_r01__multifeature_raw__prob__w0.030,prob,minimax_r01,multifeature_raw,0.03,0.5746400588869985,0.580879182077468,1.1745886644420675e-05,3.2018563263058744e-05,5.844951222389039e-05,5.817736408111153e-06,1.2397222262616749e-05,0.1492467043314501,0.5817160370569852,0.0782220997865344,0.9762548419973284,0.016239004302219872,0.01836665702356907
u65_maskrank__neural_episode_bal__prob__w0.075,prob,u65_maskrank,neural_episode_bal,0.075,0.5746927352600015,0.5809243754029491,6.442225964741194e-05,0.00012947733661214934,0.00021839426209380175,5.8494109411102424e-05,0.00012947733661214934,0.1630571249215317,0.5817267297979051,0.0757025674210326,0.9776553062416515,0.014252835628807291,0.016249218501033832
u80__blockcanvas_noq2__prob__w0.050,prob,u80,blockcanvas_noq2,0.05,0.5746507865523056,0.5808855854437982,2.2473551951561597e-05,3.8127916372576734e-05,6.65141794444768e-05,1.6545401715252075e-05,3.773400654832893e-05,0.14806967984934086,0.5817833404858764,0.07853021992505038,0.9765185405983564,0.01598603522904873,0.018162642380350296
minimax_r01__blockcanvas_noq2__prob__w0.050,prob,minimax_r01,blockcanvas_noq2,0.05,0.5746507324514895,0.5808855706328482,2.2419451135392267e-05,3.806525793818016e-05,6.655332876925879e-05,1.6491300899082748e-05,3.7626400717494236e-05,0.14775580665411173,0.5817893734251982,0.07849980574703608,0.9765224964971218,0.01598729142668856,0.018163755154782583
minimax_r05__multifeature_raw__prob__w0.030,prob,minimax_r05,multifeature_raw,0.03,0.5746401245107436,0.5808792111562349,1.181151038957784e-05,3.23372698295521e-05,5.89919325927335e-05,5.883360153268318e-06,1.2220815401675634e-05,0.14249843063402384,0.5818515099483819,0.07827713075792209,0.9762503396179768,0.016244987076298765,0.018371293564657408
minimax_r05__blockcanvas_noq2__prob__w0.050,prob,minimax_r05,blockcanvas_noq2,0.05,0.574650781595041,0.5808856173310675,2.2468594686855084e-05,3.7931459063234034e-05,6.708902968433073e-05,1.654044445054556e-05,3.736773490298218e-05,0.1444601381042059,0.5818552754798587,0.0785537020592199,0.976518086950334,0.015993122907985498,0.018168193606556658
u65_maskrank__blockcanvas_noq2__logit__w0.075,logit,u65_maskrank,blockcanvas_noq2,0.075,0.5747005638440162,0.5809288412874711,7.225084366206746e-05,0.00012678176851860234,0.00019472791319796734,6.632269342575793e-05,0.00012678176851860234,0.15065913370998116,0.5819937573750231,0.07813249644868647,0.9763726717795898,0.014581704631818867,0.0167584951658394
u65_maskrank__neural_episode_bal__logit__w0.100,logit,u65_maskrank,neural_episode_bal,0.1,0.5747153376566513,0.5809555435986028,8.702465629717688e-05,0.00016658372027150706,0.00026653600255654997,8.109650606086738e-05,0.00016658372027150706,0.1470495919648462,0.5821616223944023,0.07588008553304447,0.9777962370728902,0.014080774060190506,0.015937307803069494
u80__neural_episode_bal__logit__w0.100,logit,u80,neural_episode_bal,0.1,0.57467777852111,0.5809094792018292,4.946552075586734e-05,0.00010339900917102351,0.00014797182490933203,4.353737051955782e-05,0.00010339900917102351,0.1315913370998117,0.5822763602228761,0.07673844325153852,0.9778114257820752,0.015316857910532623,0.017101549288674765
minimax_r01__neural_episode_bal__logit__w0.100,logit,minimax_r01,neural_episode_bal,0.1,0.5746777064798405,0.5809094379927531,4.939347948637622e-05,0.00010326442613681765,0.0001476259983990147,4.3465329250066696e-05,0.00010326442613681765,0.13096359070935343,0.5822885202359104,0.0767093725951833,0.977815100875788,0.015318460275479584,0.01710297981885542
minimax_r05__neural_episode_bal__logit__w0.100,logit,minimax_r05,neural_episode_bal,0.1,0.5746777038355902,0.5809091534669425,4.939083523608339e-05,0.00010296995698180212,0.00014740967562421048,4.346268499977387e-05,0.00010296995698180212,0.12884494664155682,0.5823305210053905,0.07676088730056875,0.9778110043399358,0.015323096890122801,0.01710682489632398
u65_maskrank__blockcanvas_noq2__prob__w0.075,prob,u65_maskrank,blockcanvas_noq2,0.075,0.5747052409028948,0.5809331164456067,7.692790254061331e-05,0.00012916451708975263,0.00020020997711289734,7.099975230430379e-05,0.00012916451708975263,0.11558380414312618,0.5827124285444768,0.07892134555923269,0.9760806383326434,0.014644197729138298,0.016802725293368063
u65_maskrank__multifeature_raw__logit__w0.075,logit,u65_maskrank,multifeature_raw,0.075,0.5746972382227136,0.5809153796398876,6.892522235939611e-05,0.00010884981535772554,0.00017077010931199066,6.299707212308659e-05,0.00010874888371074088,0.10891399874450722,0.5827959467901077,0.07924904109619275,0.9756104763896362,0.014902197493031873,0.016822443323606738
u65_maskrank__neural_episode_bal__prob__w0.100,prob,u65_maskrank,neural_episode_bal,0.1,0.5747205371814422,0.5809577325358531,9.22241810881113e-05,0.00017098416282467223,0.00028011067166133774,8.629603085180177e-05,0.00017098416282467223,0.11597614563716259,0.5828046491598479,0.07591828910581258,0.9777586432682441,0.014105419680002486,0.01595689276101002
u80__multifeature_raw__logit__w0.050,logit,u80,multifeature_raw,0.05,0.5746483769629444,0.5808863776258374,2.0063962590184008e-05,3.4677243573999485e-05,6.470585649720473e-05,1.4135812353874486e-05,2.679778083819473e-05,0.08145009416195857,0.583102775097452,0.0787554811649436,0.9762198359193263,0.016171367602151564,0.018185186782082582
minimax_r01__multifeature_raw__logit__w0.050,logit,minimax_r01,multifeature_raw,0.05,0.574648315896027,0.5808863501066086,2.0002895672924065e-05,3.475687641788517e-05,6.474503627906802e-05,1.4074745436614543e-05,2.6684227679496523e-05,0.07901757689893284,0.583151301123162,0.07872405798802262,0.9762239866605182,0.016172642770629506,0.018186101830177593
minimax_r05__multifeature_raw__logit__w0.050,logit,minimax_r05,multifeature_raw,0.05,0.5746483922816039,0.580886427694295,2.0079281249785348e-05,3.5009220138448875e-05,6.529322797077519e-05,1.4151131013475827e-05,2.645279734916351e-05,0.07022912743251726,0.58332753273646,0.07877974185867484,0.976219359929978,0.016178527060579526,0.018190836274100255
u80__neural_episode_bal__prob__w0.100,prob,u80,neural_episode_bal,0.1,0.574682570571596,0.5809107986364584,5.425757124185265e-05,0.00010720318375111449,0.00016876083408923215,4.832942100554313e-05,0.00010720318375111449,0.07713433772755807,0.5833854808217344,0.07676857319738938,0.9777741327317941,0.015334467860342272,0.017117928807837003
minimax_r01__neural_episode_bal__prob__w0.100,prob,minimax_r01,neural_episode_bal,0.1,0.5746824792986648,0.5809106999142919,5.41662983106801e-05,0.00010705116094749114,0.00016813470528603824,4.823814807437058e-05,0.00010705116094749114,0.07674199623352165,0.5833928400990169,0.07673975976558635,0.9777778804253614,0.015335984461984337,0.017119216396836452
minimax_r05__neural_episode_bal__prob__w0.100,prob,minimax_r05,neural_episode_bal,0.1,0.5746825002692572,0.5809105799524481,5.4187268902994335e-05,0.0001068104113742252,0.00016846605110149016,4.8259118666684816e-05,0.0001068104113742252,0.07446641556811048,0.5834381422919052,0.07679081942976049,0.9777737029599836,0.01534072767285215,0.017123221393587126
u65_maskrank__multifeature_raw__prob__w0.075,prob,u65_maskrank,multifeature_raw,0.075,0.5747048587719364,0.580919192934266,7.654577158231717e-05,0.00011544091058447447,0.0001800328610952473,7.061762134600765e-05,0.00011536198136563591,0.050219711236660386,0.5840010710402802,0.08075279300938587,0.9745673287993888,0.014978579082220228,0.016876324529855703
u80__blockcanvas_noq2__logit__w0.075,logit,u80,blockcanvas_noq2,0.075,0.5746692064956777,0.5808986331955949,4.089349532347671e-05,6.950539746962692e-05,0.00010846167357048131,3.496534508716719e-05,6.950235373058833e-05,0.03931261770244821,0.58405357008417,0.07903877484665968,0.9763892589301811,0.015851106014042687,0.017948989592988542
minimax_r01__blockcanvas_noq2__logit__w0.075,logit,minimax_r01,blockcanvas_noq2,0.075,0.5746691321954911,0.5808985997116439,4.0819195136922154e-05,6.936178408781802e-05,0.00010859237060600879,3.4891044900612635e-05,6.935790873624503e-05,0.03837099811676083,0.5840720136077951,0.0790080778282462,0.9763932723526686,0.01585233540165932,0.01795008749584997
minimax_r05__blockcanvas_noq2__logit__w0.075,logit,minimax_r05,blockcanvas_noq2,0.075,0.5746691729490306,0.5808988220073815,4.0859948676481396e-05,6.911719408658758e-05,0.00010810307369979455,3.493179844017187e-05,6.910750195433523e-05,0.03617388575015694,0.5841157589795429,0.07906247469311556,0.9763887986890925,0.015857740174041006,0.017954361418657964
u80__multifeature_raw__prob__w0.050,prob,u80,multifeature_raw,0.05,0.5746517783979982,0.5808894643500113,2.3465397644148918e-05,3.8530056848007366e-05,6.866204583055868e-05,1.75372474078394e-05,2.861321021420116e-05,0.016635279347143754,0.5844136894075259,0.07975514879275897,0.9755096675761866,0.016215173186670675,0.0182093202705205
minimax_r01__multifeature_raw__prob__w0.050,prob,minimax_r01,multifeature_raw,0.05,0.5746517038268487,0.5808894447467855,2.339082649449274e-05,3.8597092931358386e-05,6.869815766996634e-05,1.7462676258183217e-05,2.8437580049522905e-05,0.015772128060263655,0.5844307624354572,0.07972473461474466,0.975513623474952,0.016216418670589556,0.01821016575309551
minimax_r05__multifeature_raw__prob__w0.050,prob,minimax_r05,multifeature_raw,0.05,0.5746517991848414,0.5808896012875674,2.3486184487348458e-05,3.893102714409569e-05,6.925135321111942e-05,1.7558034251038936e-05,2.8328339070737844e-05,0.01349654739485248,0.5844768998685379,0.07977863092692848,0.9755092139281643,0.01622231280450829,0.01821506313214814
u80__blockcanvas_noq2__prob__w0.075,prob,u80,blockcanvas_noq2,0.075,0.5746736494116307,0.580904811059027,4.533641127651791e-05,7.100067134134802e-05,0.00011679150810184336,3.940826104020839e-05,7.099600832658482e-05,0.010671688637790333,0.5846419279098397,0.07979524865335329,0.9760965580590698,0.01591249456307949,0.01799356760633328
minimax_r01__blockcanvas_noq2__prob__w0.075,prob,minimax_r01,blockcanvas_noq2,0.075,0.5746735614042742,0.5809047686272786,4.524840392007861e-05,7.084659563180162e-05,0.0001169136444936214,3.932025368376909e-05,7.083941212956412e-05,0.010200878844946642,0.5846509007954979,0.07976563484844461,0.976100409855236,0.015913671791612672,0.017994609628440936
minimax_r05__blockcanvas_noq2__prob__w0.075,prob,minimax_r05,blockcanvas_noq2,0.075,0.5746736233448407,0.5809050067507072,4.5310344486666316e-05,7.063057956910868e-05,0.000116440222505787,3.938219425035679e-05,7.06266518202825e-05,0.009259259259259259,0.5846696367696874,0.0798181128366236,0.9760961163491534,0.01591912260241802,0.017998905502840695
base__minimax_r05,base,minimax_r05,none,0.0,0.5746342411505904,0.5808746924191664,5.928150236309521e-06,3.4083183294097984e-05,6.0338521384983856e-05,0.0,0.0,0.0,0.5846831975604264,0.0760248805044125,0.9773620281526956,0.01638439117513961,0.01866173834533082
minimax_r01__multifeature_raw__logit__w0.075,logit,minimax_r01,multifeature_raw,0.075,0.5746676625837195,0.5809033616196584,3.934958336532687e-05,5.366416498455707e-05,9.11727012876673e-05,3.342143312901735e-05,5.2097213457524835e-05,0.0013339610797237916,0.5847883247715961,0.08013604720618504,0.9756317249318872,0.0161707726937138,0.018014016991294835
u80__multifeature_raw__logit__w0.075,logit,u80,multifeature_raw,0.075,0.5746677635348599,0.5809034581312186,3.9450534505822846e-05,5.37422982915925e-05,9.104377661861562e-05,3.3522384269513326e-05,5.225681493684633e-05,0.0013339610797237916,0.584788731232387,0.08016714432748848,0.9756275852691845,0.01616961830352236,0.01801319450416742
