context_variant,best_score,mean_score,best_predictability,best_pred_rate_r2,best_oracle_rate_r2
meta_only,0.6089353672571912,0.17420184146072823,0.9399075332842114,-0.03931514140599557,0.438671631395287
prior_label,0.6026057278660126,0.347454516480808,0.9297014756009354,0.10755360335637823,0.438671631395287
future_label,0.6011723329652179,0.3029189443863627,0.9284073078429309,0.10003667848851416,0.438671631395287
past_label,0.5995728402352278,0.30082945923879356,0.9222300548248085,0.1385307297300971,0.438671631395287
prior_raw,0.5927163008931455,0.2900867926551932,0.9969497316545869,0.09557717305443217,0.438671631395287
bidir_label,0.5920699952576042,0.29189261113748116,0.91574687232869,0.10343142785402626,0.438671631395287
prior_all,0.5917610127048262,0.29092244065811207,0.9971628718137213,0.09565573353746742,0.438671631395287
full_strict,0.5686301424958277,0.16131655726025712,0.9969477482350282,0.04265166376592396,0.438671631395287
bidir_all,0.5650918100082603,0.16140483747017828,0.9903561408785079,0.041566318533019876,0.438671631395287
future_raw,0.5633279255288505,0.18229628838053452,0.9374812728865423,0.061035289362408734,0.438671631395287
bidir_raw,0.5624909672023061,0.1632421736094735,0.9886027238007608,0.04536557220255651,0.438671631395287
past_raw,0.5575152998034869,0.1568406941162026,0.9804523373486503,0.0383100439058133,0.438671631395287
