fold,config,fold_i,val_rows,base_loss,field_loss_unblended
geom_r00,gk6_t1_sw0p1_pw0p25_lw8,0,130,0.5656120267183845,0.5630055595168865
geom_r00,gk6_t1_sw1_pw0p25_lw8,0,130,0.5656120267183845,0.5853165688136449
geom_r00,gk12_t1_sw0p5_pw0p25_lw8,0,130,0.5656120267183845,0.5799008958573852
geom_r00,gk20_t2_sw0p25_pw0p25_lw8,0,130,0.5656120267183845,0.5696049312150085
geom_r01,gk6_t1_sw0p1_pw0p25_lw8,1,135,0.5362458162410967,0.5376599245226731
geom_r01,gk6_t1_sw1_pw0p25_lw8,1,135,0.5362458162410967,0.5700917170555504
geom_r01,gk12_t1_sw0p5_pw0p25_lw8,1,135,0.5362458162410967,0.5551161068969619
geom_r01,gk20_t2_sw0p25_pw0p25_lw8,1,135,0.5362458162410967,0.5456950315880398
geom_r02,gk6_t1_sw0p1_pw0p25_lw8,2,133,0.530133788186486,0.5329682309816719
geom_r02,gk6_t1_sw1_pw0p25_lw8,2,133,0.530133788186486,0.5700946105494056
geom_r02,gk12_t1_sw0p5_pw0p25_lw8,2,133,0.530133788186486,0.5577513938339548
geom_r02,gk20_t2_sw0p25_pw0p25_lw8,2,133,0.530133788186486,0.542933682666013
