kind,raw,bc,raw_weight,bc_weight,oof_loss,oof_delta_vs_stage2,jepa_bad_ratio,jepa_bad_cos,raw_good_ratio,raw_good_cos,public_safety_rank
global,raw10,bc_noq2_10,1.0,1.0,0.5577641495646015,-0.009766775125215621,-0.029157590407482493,-0.0223089555830411,1.611605074464609,0.5397859769326276,-0.010406775125215621
global,raw075,bc_noq2_10,1.25,1.0,0.5577895482602259,-0.009741376429591275,-0.02367554406271188,-0.01756121473468134,1.780389253259463,0.5781025877889684,-0.010381376429591275
global,raw10,bc_noq2_10,1.25,1.0,0.5578355748378656,-0.009695349851951529,-0.028446218364941628,-0.020330532085160856,1.9730637512944216,0.6173062685729563,-0.010335349851951529
global,raw10,bc_noq2_10,0.75,1.0,0.5579373313222257,-0.009593593367591469,-0.029868962450023375,-0.02431275794555281,1.2501463976347948,0.445461655742735,-0.010233593367591469
global,raw075,bc_noq2_10,1.0,1.0,0.5579417408363447,-0.009589183853472405,-0.02534105096569875,-0.019927236947055522,1.4574654760366408,0.5017138642523662,-0.010229183853472405
global,raw05,bc_noq2_10,1.25,1.0,0.5581251637798548,-0.009405760909962368,-0.022795465128384148,-0.01805129893525536,1.4157703671453548,0.49078149813484134,-0.010045760909962368
global,raw075,bc_noq2_10,0.75,1.0,0.5582322090312416,-0.00929871565857554,-0.027006557868685534,-0.022375348741374545,1.1345416988138195,0.4114872704710836,-0.00993871565857554
global,raw10,bc_noq2_10,0.5,1.0,0.5583564348242215,-0.009174489865595659,-0.030580334492564226,-0.026213614705549507,0.8886877208049814,0.33347956284109537,-0.009814489865595659
global,raw05,bc_noq2_10,1.0,1.0,0.5583638431505555,-0.009167081539261601,-0.02463698781823649,-0.020313154178046435,1.1657703671453545,0.4207635703084898,-0.009807081539261601
global,raw10,bc_strict_075,1.0,1.0,0.5583627576272395,-0.009168167062577615,0.028420637499807163,0.023107514580556963,1.5962543395647648,0.5681419730183427,-0.009637643237578772
global,raw10,bc_strict_075,1.25,1.0,0.5583965009665535,-0.009134423723263674,0.029132009542347896,0.02196241303178254,1.9577130163945773,0.6460914640769126,-0.009599631666009587
global,raw075,bc_strict_075,1.25,1.0,0.558398184203254,-0.009132740486563096,0.03390268384457762,0.026616885779503902,1.7650385183596184,0.6066143956497789,-0.00956932438349563
