source,target,feature,mode,c_value,base_weight,scaled_weight,delta_vs_base,mean_delta,win_rate,feature_family
l0p05,Q3,lebcj_l0p05_e32_absresid_mean,subject_center,0.2,0.45,0.1575,-0.0105626566708286,-0.009670837661905,0.9653846153846154,resid_emb
l0p05,S1,lebcj_l0p05_e32_pred_rate_S1,subject_z,0.2,0.45,0.1575,-0.0042662302020692,-0.0029029532211842,0.7923076923076923,rate
l0p05,S2,lebcj_l0p05_e32_pred_rate_S1,subject_z,0.2,0.45,0.1575,-0.0041419658195043,-0.003434242153801,0.9192307692307692,rate
l0p05,Q1,lebcj_l0p05_e32_target_emb_12,subject_rank,0.2,0.45,0.1575,-0.0023923242308487,-0.0015220367366153,0.8038461538461539,target_emb
l0p05,S4,lebcj_l0p05_e32_rate_gap_S4,subject_z,0.1,0.45,0.1575,-0.0020117134276945,-0.001645740185488,0.903846153846154,rate
l0p2,Q2,lebcj_l0p2_e32_target_emb_12,subject_z,0.2,0.45,0.1575,-0.004111956507382,-0.0021743291209684,0.7615384615384615,target_emb
