experiment,fold,alpha,weight,train_blocks,val_blocks,base_loss,candidate_loss,delta
blockrate_jepa,geom_r00,1.0,0.0,336,22,0.5574261071344135,0.5574261071344135,0.0
blockrate_jepa,geom_r00,1.0,0.05,336,22,0.5574261071344135,0.5608892101770488,0.003463103042635307
blockrate_jepa,geom_r00,1.0,0.1,336,22,0.5574261071344135,0.5660555317997773,0.00862942466536376
blockrate_jepa,geom_r00,1.0,0.15,336,22,0.5574261071344135,0.572829978655565,0.015403871521151413
blockrate_jepa,geom_r00,1.0,0.2,336,22,0.5574261071344135,0.5811853388081752,0.023759231673761705
blockrate_jepa,geom_r00,1.0,0.3,336,22,0.5574261071344135,0.6027616978948058,0.045335590760392286
blockrate_jepa,geom_r00,1.0,0.45,336,22,0.5574261071344135,0.6488488533162079,0.09142274618179436
blockrate_jepa,geom_r00,1.0,0.6,336,22,0.5574261071344135,0.7169502767319206,0.15952416959750704
blockrate_jepa,geom_r00,10.0,0.0,336,22,0.5574261071344135,0.5574261071344135,0.0
blockrate_jepa,geom_r00,10.0,0.05,336,22,0.5574261071344135,0.5596727085181181,0.002246601383704583
blockrate_jepa,geom_r00,10.0,0.1,336,22,0.5574261071344135,0.5630260951041386,0.005599987969725051
blockrate_jepa,geom_r00,10.0,0.15,336,22,0.5574261071344135,0.5674268039504814,0.010000696816067856
blockrate_jepa,geom_r00,10.0,0.2,336,22,0.5574261071344135,0.5728536372512553,0.015427530116841726
blockrate_jepa,geom_r00,10.0,0.3,336,22,0.5574261071344135,0.5868288661693487,0.029402759034935166
blockrate_jepa,geom_r00,10.0,0.45,336,22,0.5574261071344135,0.6163406977881971,0.05891459065378357
blockrate_jepa,geom_r00,10.0,0.6,336,22,0.5574261071344135,0.6588374456330531,0.10141133849863959
blockrate_jepa,geom_r00,100.0,0.0,336,22,0.5574261071344135,0.5574261071344135,0.0
blockrate_jepa,geom_r00,100.0,0.05,336,22,0.5574261071344135,0.5589173722937791,0.0014912651593655957
blockrate_jepa,geom_r00,100.0,0.1,336,22,0.5574261071344135,0.5609643966425593,0.00353828950814572
blockrate_jepa,geom_r00,100.0,0.15,336,22,0.5574261071344135,0.56354440377356,0.0061182966391464255
blockrate_jepa,geom_r00,100.0,0.2,336,22,0.5574261071344135,0.5666466551135114,0.009220547979097882
blockrate_jepa,geom_r00,100.0,0.3,336,22,0.5574261071344135,0.5744214634371705,0.016995356302756948
blockrate_jepa,geom_r00,100.0,0.45,336,22,0.5574261071344135,0.5902447789582708,0.032818671823857226
blockrate_jepa,geom_r00,100.0,0.6,336,22,0.5574261071344135,0.6120041503018058,0.05457804316739223
blockrate_jepa,geom_r01,1.0,0.0,317,22,0.57454087130107,0.57454087130107,0.0
blockrate_jepa,geom_r01,1.0,0.05,317,22,0.57454087130107,0.5750060102554213,0.00046513895435129626
blockrate_jepa,geom_r01,1.0,0.1,317,22,0.57454087130107,0.5775350838726571,0.0029942125715870516
blockrate_jepa,geom_r01,1.0,0.15,317,22,0.57454087130107,0.5819219723238894,0.007381101022819414
blockrate_jepa,geom_r01,1.0,0.2,317,22,0.57454087130107,0.588075396455621,0.013534525154551003
blockrate_jepa,geom_r01,1.0,0.3,317,22,0.57454087130107,0.6056541286318995,0.03111325733082948
blockrate_jepa,geom_r01,1.0,0.45,317,22,0.57454087130107,0.6464460643377176,0.07190519303664755
blockrate_jepa,geom_r01,1.0,0.6,317,22,0.57454087130107,0.7098390450176675,0.13529817371659747
blockrate_jepa,geom_r01,10.0,0.0,317,22,0.57454087130107,0.57454087130107,0.0
blockrate_jepa,geom_r01,10.0,0.05,317,22,0.57454087130107,0.5751314647228456,0.000590593421775587
blockrate_jepa,geom_r01,10.0,0.1,317,22,0.57454087130107,0.5769945227018601,0.0024536514007901244
blockrate_jepa,geom_r01,10.0,0.15,317,22,0.57454087130107,0.5800243456199811,0.005483474318911052
blockrate_jepa,geom_r01,10.0,0.2,317,22,0.57454087130107,0.5841708692046815,0.00962999790361152
blockrate_jepa,geom_r01,10.0,0.3,317,22,0.57454087130107,0.5957864581247543,0.02124558682368427
blockrate_jepa,geom_r01,10.0,0.45,317,22,0.57454087130107,0.6221098673194111,0.04756899601834108
blockrate_jepa,geom_r01,10.0,0.6,317,22,0.57454087130107,0.6617113117796063,0.08717044047853628
blockrate_jepa,geom_r01,100.0,0.0,317,22,0.57454087130107,0.57454087130107,0.0
blockrate_jepa,geom_r01,100.0,0.05,317,22,0.57454087130107,0.57478702188427,0.00024615058319998884
blockrate_jepa,geom_r01,100.0,0.1,317,22,0.57454087130107,0.5756746396851943,0.0011337683841242674
blockrate_jepa,geom_r01,100.0,0.15,317,22,0.57454087130107,0.5771572679928431,0.0026163966917730486
blockrate_jepa,geom_r01,100.0,0.2,317,22,0.57454087130107,0.5792080527175444,0.004667181416474375
blockrate_jepa,geom_r01,100.0,0.3,317,22,0.57454087130107,0.5849727797602459,0.010431908459175854
blockrate_jepa,geom_r01,100.0,0.45,317,22,0.57454087130107,0.5978899003852703,0.023349029084200335
blockrate_jepa,geom_r01,100.0,0.6,317,22,0.57454087130107,0.6166896429237757,0.042148771622705694
blockrate_jepa,geom_r02,1.0,0.0,283,21,0.563247203656986,0.563247203656986,0.0
blockrate_jepa,geom_r02,1.0,0.05,283,21,0.563247203656986,0.5662887528243338,0.003041549167347779
blockrate_jepa,geom_r02,1.0,0.1,283,21,0.563247203656986,0.5707947893936663,0.007547585736680351
blockrate_jepa,geom_r02,1.0,0.15,283,21,0.563247203656986,0.5766847855264307,0.01343758186944466
blockrate_jepa,geom_r02,1.0,0.2,283,21,0.563247203656986,0.5839315038007922,0.020684300143806178
blockrate_jepa,geom_r02,1.0,0.3,283,21,0.563247203656986,0.6025730704806548,0.03932586682366879
blockrate_jepa,geom_r02,1.0,0.45,283,21,0.563247203656986,0.642066802734222,0.07881959907723601
blockrate_jepa,geom_r02,1.0,0.6,283,21,0.563247203656986,0.6995830884512088,0.13633588479422276
blockrate_jepa,geom_r02,10.0,0.0,283,21,0.563247203656986,0.563247203656986,0.0
blockrate_jepa,geom_r02,10.0,0.05,283,21,0.563247203656986,0.5652318172295884,0.0019846135726023784
blockrate_jepa,geom_r02,10.0,0.1,283,21,0.563247203656986,0.5681843176422051,0.0049371139852191215
blockrate_jepa,geom_r02,10.0,0.15,283,21,0.563247203656986,0.5720610081201426,0.008813804463156605
blockrate_jepa,geom_r02,10.0,0.2,283,21,0.563247203656986,0.5768453160468293,0.01359811238984332
blockrate_jepa,geom_r02,10.0,0.3,283,21,0.563247203656986,0.5891718990040496,0.025924695347063653
blockrate_jepa,geom_r02,10.0,0.45,283,21,0.563247203656986,0.6151749935803997,0.051927789923413736
blockrate_jepa,geom_r02,10.0,0.6,283,21,0.563247203656986,0.6524810315454426,0.08923382788845657
blockrate_jepa,geom_r02,100.0,0.0,283,21,0.563247203656986,0.563247203656986,0.0
blockrate_jepa,geom_r02,100.0,0.05,283,21,0.563247203656986,0.5646260853228003,0.0013788816658143466
blockrate_jepa,geom_r02,100.0,0.1,283,21,0.563247203656986,0.5665919567888819,0.003344753131895861
blockrate_jepa,geom_r02,100.0,0.15,283,21,0.563247203656986,0.5691279565997787,0.005880752942792666
blockrate_jepa,geom_r02,100.0,0.2,283,21,0.563247203656986,0.5722275672767828,0.008980363619796816
blockrate_jepa,geom_r02,100.0,0.3,283,21,0.563247203656986,0.580135261318639,0.016888057661653022
blockrate_jepa,geom_r02,100.0,0.45,283,21,0.563247203656986,0.5965598654204207,0.033312661763434726
blockrate_jepa,geom_r02,100.0,0.6,283,21,0.563247203656986,0.6195316787013757,0.056284475044389715
blockrate_jepa,geom_r03,1.0,0.0,323,21,0.5483301420527826,0.5483301420527826,0.0
blockrate_jepa,geom_r03,1.0,0.05,323,21,0.5483301420527826,0.5485305975033005,0.00020045545051783353
blockrate_jepa,geom_r03,1.0,0.1,323,21,0.5483301420527826,0.5508575403227463,0.002527398269963621
blockrate_jepa,geom_r03,1.0,0.15,323,21,0.5483301420527826,0.5550318823512801,0.0067017402984974606
blockrate_jepa,geom_r03,1.0,0.2,323,21,0.5483301420527826,0.5609384634161856,0.012608321363402952
