candidate,config,group,scale,oof_loss,oof_delta_vs_stage2,bad_axis_projection_ratio,good_axis_projection_ratio
submission_graph_field_jepa_00_gk6_t1_sw0p25_pw0p75_lw20_all_sc0p5.csv,gk6_t1_sw0p25_pw0p75_lw20,all,0.5,0.5669142083362455,-0.0006167163535716336,0.07542576354767054,-0.06918192461075791
submission_graph_field_jepa_01_gk6_t1_sw0p1_pw0p25_lw20_all_sc0p5.csv,gk6_t1_sw0p1_pw0p25_lw20,all,0.5,0.566916915900887,-0.0006140087889301427,0.08849743284855743,-0.07744231970774737
submission_graph_field_jepa_02_gk6_t1_sw0p1_pw0p25_lw8_all_sc0p5.csv,gk6_t1_sw0p1_pw0p25_lw8,all,0.5,0.5669246045488214,-0.0006063201409957086,0.08702249480436594,-0.07869511943275292
submission_graph_field_jepa_03_gk6_t1_sw0p25_pw0p75_lw8_all_sc0p5.csv,gk6_t1_sw0p25_pw0p75_lw8,all,0.5,0.5669380899459597,-0.0005928347438574066,0.07207473417135654,-0.07198577523601664
submission_graph_field_jepa_04_gk6_t1_sw0p25_pw0p75_lw20_all_sc0p75.csv,gk6_t1_sw0p25_pw0p75_lw20,all,0.75,0.5669436778423804,-0.0005872468474367176,0.11313861694642514,-0.10377287602609313
submission_graph_field_jepa_05_gk6_t1_sw0p1_pw0p75_lw20_all_sc0p75.csv,gk6_t1_sw0p1_pw0p75_lw20,all,0.75,0.5669491504830501,-0.0005817742067670828,0.052535138683802586,-0.0489112265625531
submission_graph_field_jepa_06_gk6_t1_sw0p25_pw0p75_lw8_all_sc0p75.csv,gk6_t1_sw0p25_pw0p75_lw8,all,0.75,0.5669495236240919,-0.00058140106572524,0.1081120872375139,-0.10797871308501285
submission_graph_field_jepa_07_gk6_t1_sw0p1_pw0p75_lw8_all_sc0p75.csv,gk6_t1_sw0p1_pw0p75_lw8,all,0.75,0.5669690509270582,-0.0005618737627589576,0.05046284433483922,-0.05057424248881894
submission_graph_field_jepa_08_gk6_t1_sw0p1_pw0p25_lw20_all_sc0p35.csv,gk6_t1_sw0p1_pw0p25_lw20,all,0.35,0.5669707761427002,-0.0005601485471169454,0.06194820161044467,-0.0542096358863246
submission_graph_field_jepa_09_gk6_t1_sw0p1_pw0p25_lw8_all_sc0p35.csv,gk6_t1_sw0p1_pw0p25_lw8,all,0.35,0.5669806763322817,-0.0005502483575354766,0.06091570272017681,-0.055086641690211095
submission_graph_field_jepa_10_gk6_t1_sw0p1_pw0p25_lw20_no_q2_sc0p5.csv,gk6_t1_sw0p1_pw0p25_lw20,no_q2,0.5,0.5670002427874576,-0.0005306819023594977,0.08575155925236796,-0.07583624103043211
submission_graph_field_jepa_11_gk6_t1_sw0p25_pw0p75_lw20_no_q2_sc0p5.csv,gk6_t1_sw0p25_pw0p75_lw20,no_q2,0.5,0.5670038823038339,-0.000527042385983223,0.07304174677167516,-0.06764440921618865
submission_graph_field_jepa_12_gk6_t1_sw0p25_pw0p75_lw20_all_sc0p35.csv,gk6_t1_sw0p25_pw0p75_lw20,all,0.35,0.5670047305063123,-0.0005261941835048578,0.05279803097755482,-0.04842735725209996
submission_graph_field_jepa_13_gk6_t1_sw0p1_pw0p25_lw8_no_q2_sc0p5.csv,gk6_t1_sw0p1_pw0p25_lw8,no_q2,0.5,0.5670093751308464,-0.0005215495589707686,0.08426137346915129,-0.07699288121488679
submission_graph_field_jepa_14_gk6_t1_sw0p5_pw0p75_lw20_all_sc0p35.csv,gk6_t1_sw0p5_pw0p75_lw20,all,0.35,0.56702470526454,-0.0005062194252771768,0.08599925256325953,-0.07786482215770645
submission_graph_field_jepa_15_gk6_t1_sw0p25_pw0p75_lw8_all_sc0p35.csv,gk6_t1_sw0p25_pw0p75_lw8,all,0.35,0.5670298712966698,-0.0005010533931473216,0.050452263664763485,-0.05039001960335331
submission_graph_field_jepa_16_gk6_t1_sw0p25_pw0p75_lw8_no_q2_sc0p5.csv,gk6_t1_sw0p25_pw0p75_lw8,no_q2,0.5,0.5670302160675564,-0.0005007086222607038,0.06965710286520697,-0.07023274741138139
submission_graph_field_jepa_17_gk6_t1_sw0p25_pw0p75_lw20_no_q2_sc0p75.csv,gk6_t1_sw0p25_pw0p75_lw20,no_q2,0.75,0.5670326811820269,-0.0004982435077902636,0.10956259051068452,-0.10146660789637828
submission_graph_field_jepa_18_gk6_t1_sw0p1_pw0p75_lw20_no_q2_sc0p75.csv,gk6_t1_sw0p1_pw0p75_lw20,no_q2,0.75,0.5670400722644159,-0.0004908524254012558,0.0509351258392723,-0.04777410285033298
submission_graph_field_jepa_19_gk6_t1_sw0p1_pw0p25_lw20_no_q2_sc0p35.csv,gk6_t1_sw0p1_pw0p25_lw20,no_q2,0.35,0.5670468337508657,-0.0004840909389514092,0.06002608920017089,-0.053085380799884514
submission_graph_field_jepa_20_gk6_t1_sw0p25_pw0p75_lw8_no_q2_sc0p75.csv,gk6_t1_sw0p25_pw0p75_lw8,no_q2,0.75,0.5670468605966086,-0.00048406409320855825,0.10448564094597576,-0.10534916737060158
submission_graph_field_jepa_21_gk6_t1_sw0p5_pw0p75_lw20_all_sc0p25.csv,gk6_t1_sw0p5_pw0p75_lw20,all,0.25,0.5670499740582373,-0.000480950631579824,0.0614280177925651,-0.055617730803298904
submission_graph_field_jepa_22_gk6_t1_sw0p5_pw0p75_lw8_all_sc0p35.csv,gk6_t1_sw0p5_pw0p75_lw8,all,0.35,0.5670565201968901,-0.00047440449292701636,0.08153506343153984,-0.08183424926831466
submission_graph_field_jepa_23_gk6_t1_sw0p1_pw0p25_lw8_no_q2_sc0p35.csv,gk6_t1_sw0p1_pw0p25_lw8,no_q2,0.35,0.5670570442062758,-0.0004738804835413557,0.05898291999839141,-0.053895072429710984
