family,k,context_variant,len_bucket,proto_acc,proto_logloss,rate_mse,n
hybrid_oracle,4,strict_labelonly,long_5p,0.8936170212765957,0.31014179724527996,0.07210356999248108,47
hybrid_oracle,4,strict_labelonly,mid_3_4,0.8181818181818182,0.2744609792716801,0.10815155590799722,11
hybrid_oracle,4,strict_labelonly,short_1_2,0.7307692307692307,0.8785932126428144,0.19522164045618132,26
hybrid_oracle,6,strict_labelonly,long_5p,0.8085106382978723,0.508370660914497,0.06447132726378263,47
hybrid_oracle,6,strict_labelonly,mid_3_4,0.5454545454545454,1.0539440820840271,0.09129129638048736,11
hybrid_oracle,6,strict_labelonly,short_1_2,0.7307692307692307,1.3825474734812115,0.20104112963263804,26
hybrid_oracle,8,strict_labelonly,long_5p,0.9361702127659575,0.3437436461861077,0.07197352530474359,47
hybrid_oracle,8,strict_labelonly,mid_3_4,0.9090909090909091,0.38281405649401923,0.08440954813903029,11
hybrid_oracle,8,strict_labelonly,short_1_2,0.6153846153846154,1.8282387804669828,0.19663996278093412,26
hybrid_oracle,10,strict_labelonly,long_5p,0.7659574468085106,0.8813280429656399,0.06220177122134161,47
hybrid_oracle,10,strict_labelonly,mid_3_4,0.8181818181818182,0.5811740309000015,0.07959022203629668,11
hybrid_oracle,10,strict_labelonly,short_1_2,0.46153846153846156,2.457733499065328,0.18036463670432568,26
hybrid_raw,4,strict_labelonly,long_5p,0.9574468085106383,0.11531685660844339,0.07421348098804184,47
hybrid_raw,4,strict_labelonly,mid_3_4,0.6363636363636364,0.6885075203397057,0.10626466504552147,11
hybrid_raw,4,strict_labelonly,short_1_2,0.8461538461538461,0.5632314311044936,0.19454819651750418,26
hybrid_raw,6,strict_labelonly,long_5p,0.7872340425531915,0.5415111846928374,0.0724225493663169,47
hybrid_raw,6,strict_labelonly,mid_3_4,0.8181818181818182,0.594804763624614,0.10119634883647616,11
hybrid_raw,6,strict_labelonly,short_1_2,0.6153846153846154,1.4654052232463772,0.19490138785197184,26
hybrid_raw,8,strict_labelonly,long_5p,0.7021276595744681,1.1706509010836794,0.07114066980640463,47
hybrid_raw,8,strict_labelonly,mid_3_4,0.7272727272727273,0.7869960357096385,0.08970212055878206,11
hybrid_raw,8,strict_labelonly,short_1_2,0.6538461538461539,1.3573193302234778,0.19481566748940027,26
hybrid_raw,10,strict_labelonly,long_5p,0.6595744680851063,1.2075791010318697,0.07269092804276721,47
hybrid_raw,10,strict_labelonly,mid_3_4,0.6363636363636364,1.356209028850902,0.09797287833961574,11
hybrid_raw,10,strict_labelonly,short_1_2,0.46153846153846156,2.2031671952169676,0.18901158339129046,26
label_rate_only,4,strict_labelonly,long_5p,0.44680851063829785,1.8396356873184987,0.07992044063483147,47
label_rate_only,4,strict_labelonly,mid_3_4,0.6363636363636364,1.0890784642913125,0.09772402907467702,11
label_rate_only,4,strict_labelonly,short_1_2,0.46153846153846156,1.8683663812967448,0.19000895679570162,26
label_rate_only,6,strict_labelonly,long_5p,0.425531914893617,2.893073595956249,0.07665465296582973,47
label_rate_only,6,strict_labelonly,mid_3_4,0.6363636363636364,1.209748881107027,0.08534409986300902,11
label_rate_only,6,strict_labelonly,short_1_2,0.3076923076923077,2.1590918466054765,0.18371805007784411,26
label_rate_only,8,strict_labelonly,long_5p,0.3617021276595745,2.692477298519039,0.07608942229776307,47
label_rate_only,8,strict_labelonly,mid_3_4,0.2727272727272727,2.1333109241994945,0.08752260611138561,11
label_rate_only,8,strict_labelonly,short_1_2,0.2692307692307692,2.5751548128632398,0.18196625391451213,26
label_rate_only,10,strict_labelonly,long_5p,0.44680851063829785,2.6029428731553512,0.07127091639298708,47
label_rate_only,10,strict_labelonly,mid_3_4,0.2727272727272727,1.8659583316607908,0.0922342525287108,11
label_rate_only,10,strict_labelonly,short_1_2,0.23076923076923078,2.469612695276737,0.18218224191178495,26
label_state,4,strict_labelonly,long_5p,0.5106382978723404,2.513059261266429,0.0760162446568621,47
label_state,4,strict_labelonly,mid_3_4,0.6363636363636364,1.248014529235661,0.09921204910444265,11
label_state,4,strict_labelonly,short_1_2,0.5,1.3067353380342515,0.18292296921404508,26
label_state,6,strict_labelonly,long_5p,0.425531914893617,1.9341176104982027,0.070260167508287,47
label_state,6,strict_labelonly,mid_3_4,0.45454545454545453,1.4216711111366749,0.08825183617459102,11
label_state,6,strict_labelonly,short_1_2,0.34615384615384615,1.9068186764533703,0.17766567362615696,26
label_state,8,strict_labelonly,long_5p,0.44680851063829785,2.4214095547200833,0.07001690726053525,47
label_state,8,strict_labelonly,mid_3_4,0.36363636363636365,1.6823843376372347,0.08174527811140499,11
