target,raw_weight,bc_weight,target_loss
Q1,0.75,0.5625,0.5684337848627459
Q2,0.0,0.0,0.6429986926145494
Q3,0.75,0.5625,0.620781328409583
S1,0.75,0.5625,0.4740753430523707
S2,0.75,0.5625,0.5310603348889346
S3,0.75,0.5625,0.49549535039292336
S4,0.75,0.5625,0.5976827012218182
