experiment,alpha,weight,base_loss,candidate_loss,delta,win_rate
blockrate_jepa,1.0,0.0,0.560886081036313,0.560886081036313,0.0,0.0
blockrate_jepa,100.0,0.0,0.560886081036313,0.560886081036313,0.0,0.0
blockrate_jepa,10.0,0.0,0.560886081036313,0.560886081036313,0.0,0.0
blockrate_jepa,100.0,0.05,0.560886081036313,0.5617059486736384,0.0008198676373253888,0.0
blockrate_jepa,10.0,0.05,0.560886081036313,0.5620544471859131,0.0011683661496000586,0.25
blockrate_jepa,1.0,0.05,0.560886081036313,0.5626786426900261,0.001792561653713054,0.0
blockrate_jepa,100.0,0.1,0.560886081036313,0.5631224772079509,0.0022363961716379277,0.0
blockrate_jepa,10.0,0.1,0.560886081036313,0.5643734912721023,0.003487410235789301,0.0
blockrate_jepa,100.0,0.15,0.560886081036313,0.5651094189170711,0.004223337880758071,0.0
blockrate_jepa,1.0,0.1,0.560886081036313,0.5663107363472117,0.005424655310898696,0.0
blockrate_jepa,100.0,0.2,0.560886081036313,0.5676535544425602,0.006767473406247143,0.0
blockrate_jepa,10.0,0.15,0.560886081036313,0.5677656646644165,0.006879583628103397,0.0
blockrate_jepa,1.0,0.15,0.560886081036313,0.5716171547142913,0.010731073677978237,0.0
blockrate_jepa,10.0,0.2,0.560886081036313,0.5721972588859175,0.011311177849604531,0.0
blockrate_jepa,100.0,0.3,0.560886081036313,0.5744101132276025,0.013524032191289476,0.0
blockrate_jepa,1.0,0.2,0.560886081036313,0.5785326756201935,0.01764659458388046,0.0
blockrate_jepa,10.0,0.3,0.560886081036313,0.584185568243758,0.023299487207445013,0.0
blockrate_jepa,100.0,0.45,0.560886081036313,0.5889350428184996,0.028048961782186604,0.0
blockrate_jepa,1.0,0.3,0.560886081036313,0.5972159908337277,0.0363299097974146,0.0
blockrate_jepa,100.0,0.6,0.560886081036313,0.609654488924515,0.04876840788820197,0.0
blockrate_jepa,10.0,0.45,0.560886081036313,0.6106170769004686,0.049730995864155525,0.0
blockrate_jepa,1.0,0.45,0.560886081036313,0.6386351255509517,0.07774904451463863,0.0
blockrate_jepa,10.0,0.6,0.560886081036313,0.6497393663595461,0.088853285323233,0.0
blockrate_jepa,1.0,0.6,0.560886081036313,0.7011088484769639,0.1402227674406508,0.0
