target,feature,mode,c_value,base_weight,scaled_weight,delta_vs_base,mean_delta,win_rate,feature_family
Q3,lebcj_l0p05_e32_absresid_mean,subject_center,0.2,0.45,0.45,-0.010562656670828674,-0.009670837661905013,0.9653846153846154,resid_emb
S1,lebcj_l0p05_e32_pred_rate_S1,subject_z,0.2,0.45,0.45,-0.004266230202069288,-0.0029029532211842604,0.7923076923076923,rate
S2,lebcj_l0p05_e32_pred_rate_S1,subject_z,0.2,0.45,0.45,-0.004141965819504323,-0.003434242153801032,0.9192307692307692,rate
S4,lebcj_l0p05_e32_resid_emb_00,subject_center,0.1,0.45,0.45,-0.0025081202532568625,-0.0005431375548170141,0.5769230769230769,resid_emb
Q1,lebcj_l0p05_e32_target_emb_12,subject_rank,0.2,0.45,0.45,-0.0023923242308487858,-0.0015220367366153662,0.8038461538461539,target_emb
Q2,lebcj_l0p05_e32_rate_gap_Q1,subject_z,0.1,0.2,0.2,-0.0013465022912632074,0.0008923166638069421,0.5,rate
S3,lebcj_l0p05_e32_absresid_emb_13,subject_z,0.2,0.3,0.3,-0.0009803833905041026,0.0006104154680305063,0.35,resid_emb
