target,feature,mode,corr,abs_corr
Q1,bcj_a50p0_pred_01,subject_rank,0.2032948240218572,0.2032948240218572
Q1,bcj_a50p0_pred_01,subject_center,0.19799636135268342,0.19799636135268342
Q1,bcj_a150p0_absresid_09,subject_rank,-0.19236520826122205,0.19236520826122205
Q1,bcj_a50p0_pred_01,subject_z,0.17929814950371378,0.17929814950371378
Q1,bcj_a50p0_actual_norm,subject_center,-0.17629567183031045,0.17629567183031045
Q1,bcj_a50p0_pred_norm,subject_center,-0.17595158965130228,0.17595158965130228
Q1,bcj_a10p0_resid_00,subject_rank,0.1724026115307326,0.1724026115307326
Q1,bcj_a150p0_absresid_09,subject_z,-0.17127789725460715,0.17127789725460715
Q1,bcj_a10p0_resid_00,subject_z,0.16887750227089673,0.16887750227089673
Q1,bcj_a50p0_pred_22,subject_z,0.1607867827869151,0.1607867827869151
Q1,bcj_a150p0_absresid_09,subject_center,-0.15924677707460846,0.15924677707460846
Q1,bcj_a50p0_pred_17,subject_center,-0.15738646460949762,0.15738646460949762
Q1,bcj_a150p0_resid_17,subject_rank,-0.15268040127634785,0.15268040127634785
Q1,bcj_a150p0_row_absresid_14,subject_z,-0.15243790613503536,0.15243790613503536
Q1,bcj_a50p0_row_absresid_17,subject_z,-0.14993637535317977,0.14993637535317977
Q1,bcj_a50p0_pred_22,subject_center,0.14820594690642264,0.14820594690642264
Q1,bcj_a50p0_pred_22,subject_rank,0.14808633774390792,0.14808633774390792
Q1,bcj_a150p0_row_absresid_14,subject_center,-0.14751123571173771,0.14751123571173771
Q1,bcj_a150p0_resid_17,subject_z,-0.1474829836406651,0.1474829836406651
Q1,bcj_a150p0_row_absresid_14,subject_rank,-0.1470127159518644,0.1470127159518644
Q1,bcj_a150p0_row_absresid_14,global_z,-0.14415514890657627,0.14415514890657627
Q1,bcj_a10p0_resid_03,subject_rank,-0.14314029275169987,0.14314029275169987
Q1,bcj_a150p0_pred_04,subject_center,-0.14285848455104921,0.14285848455104921
Q1,bcj_a50p0_pred_17,global_z,-0.14230823132126688,0.14230823132126688
Q1,bcj_a150p0_row_absresid_11,subject_center,-0.14220722173131317,0.14220722173131317
Q1,bcj_a150p0_pred_01,subject_center,0.14144776497941774,0.14144776497941774
Q1,bcj_a10p0_pred_04,global_z,-0.14114738236291505,0.14114738236291505
Q1,bcj_a50p0_row_absresid_17,subject_center,-0.13849889586054817,0.13849889586054817
Q1,bcj_a150p0_absresid_09,global_z,-0.13835508212340217,0.13835508212340217
Q1,bcj_a150p0_pred_04,global_z,-0.13780275887850357,0.13780275887850357
Q1,bcj_a10p0_pred_04,subject_center,-0.1354305563117975,0.1354305563117975
Q1,bcj_a50p0_row_absresid_11,subject_center,-0.1344641113829244,0.1344641113829244
Q1,bcj_a10p0_resid_00,global_z,0.1344438831936038,0.1344438831936038
Q1,bcj_a10p0_resid_00,subject_center,0.13399339805201743,0.13399339805201743
Q1,bcj_a150p0_pred_09,subject_rank,-0.13349592942066604,0.13349592942066604
Q1,bcj_a10p0_absresid_05,subject_rank,-0.13331596400636075,0.13331596400636075
Q1,bcj_a150p0_absresid_18,subject_rank,-0.13248764442898736,0.13248764442898736
Q1,bcj_a50p0_row_absresid_17,global_z,-0.13188329966812276,0.13188329966812276
Q1,bcj_a150p0_row_absresid_17,subject_z,-0.1312968401274439,0.1312968401274439
Q1,bcj_a150p0_absresid_06,subject_rank,0.12960232089993762,0.12960232089993762
Q1,bcj_a150p0_actual_norm,subject_center,-0.12851570812676663,0.12851570812676663
Q1,bcj_a10p0_absresid_21,subject_z,0.1281923288149683,0.1281923288149683
Q1,bcj_a10p0_row_absresid_11,subject_center,-0.1265400885921436,0.1265400885921436
Q1,bcj_a150p0_pred_01,subject_z,0.1255097248784801,0.1255097248784801
Q1,bcj_a150p0_resid_17,global_z,-0.12500625793571593,0.12500625793571593
Q1,bcj_a150p0_resid_17,subject_center,-0.12438312104768731,0.12438312104768731
Q1,bcj_a150p0_pred_norm,subject_center,-0.12406683585880575,0.12406683585880575
Q1,bcj_a10p0_pred_01,subject_center,0.12384662592329396,0.12384662592329396
Q1,bcj_a10p0_resid_03,subject_z,-0.1235906009716566,0.1235906009716566
Q1,bcj_a50p0_actual_norm,subject_z,-0.12355932232937863,0.12355932232937863
Q1,bcj_a10p0_pred_00,subject_z,0.12214519893086151,0.12214519893086151
Q1,bcj_a10p0_absresid_05,subject_z,-0.12080819139112742,0.12080819139112742
Q1,bcj_a10p0_row_absresid_14,subject_center,-0.12066269101109386,0.12066269101109386
Q1,bcj_a10p0_row_absresid_14,global_z,-0.12046323832619878,0.12046323832619878
Q1,bcj_a150p0_absresid_13,subject_z,0.12025814712278607,0.12025814712278607
Q1,bcj_a50p0_pred_22,global_z,0.11969544840816446,0.11969544840816446
Q1,bcj_a150p0_pred_09,subject_z,-0.1184897184767608,0.1184897184767608
Q1,bcj_a50p0_absresid_26,subject_z,-0.11828662741555887,0.11828662741555887
Q1,bcj_a50p0_row_absresid_11,global_z,-0.11785138203701981,0.11785138203701981
Q1,bcj_a150p0_absresid_13,subject_center,0.11766052836140789,0.11766052836140789
