context_variant,semantic_family,semantic_k,coarse_family,coarse_k,mode,folds,semantic_logloss,semantic_acc,oracle_rate_r2,pred_rate_r2,pred_rate_rmse,pred_rate_cos,two_level_score
prior_label,label_rate,8,raw_mean,4,context_plus_true_coarse_train,4,1.809171398895767,0.43839285714285714,0.3338681877355345,-0.020449712443878554,0.3198886066675186,0.9062586277723312,-0.00960422869467685
prior_label,label_rate,8,hybrid_raw,4,context_plus_true_coarse_train,4,1.8721269601558732,0.43839285714285714,0.3338681877355345,-0.03349426393229629,0.3219025954604149,0.9050135612487793,-0.019172069536047984
prior_label,label_rate,8,none,0,direct_semantic,4,1.8517080161399955,0.4195436507936508,0.3338681877355345,-0.029825343700272927,0.3212629333138466,0.904842421412468,-0.01989618318713869
past_label,label_rate,8,none,0,direct_semantic,4,1.8536476984817831,0.41408730158730156,0.3338681877355345,-0.01288242750677851,0.3180151805281639,0.9082144498825073,-0.02094120253267276
prior_label,label_rate,8,hybrid_raw,4,context_plus_coarse_prob,4,1.8719329001165916,0.42797619047619045,0.3338681877355345,-0.02438936592550825,0.3203932195901871,0.9061191529035568,-0.0211157346980113
prior_label,label_rate,8,raw_mean,8,context_plus_true_coarse_train,4,1.8632235026020494,0.41408730158730156,0.3338681877355345,-0.017354186903973556,0.319439060986042,0.9058102071285248,-0.02261799742611098
prior_label,label_rate,8,raw_mean,8,context_plus_coarse_prob,4,1.9197573839065376,0.45029761904761906,0.3338681877355345,-0.0338865292719811,0.32191574573516846,0.9025981426239014,-0.024177222580183025
past_label,label_rate,8,hybrid_raw,4,context_plus_true_coarse_train,4,1.854397913033783,0.3911706349206349,0.3338681877355345,-0.022032653522778084,0.3193471059203148,0.9079528450965881,-0.025663228527397997
past_label,label_rate,8,raw_mean,8,context_plus_true_coarse_train,4,1.8994821568646851,0.42033730158730154,0.3338681877355345,-0.007756325056677782,0.31732140481472015,0.9085973501205444,-0.026528081266304362
prior_label,label_rate,8,raw_mean,4,context_plus_coarse_prob,4,1.930301890723263,0.42658730158730157,0.3338681877355345,-0.041668892310317285,0.3230236545205116,0.905596137046814,-0.03020116265246406
bidir_label,label_rate,8,teacher_hybrid,10,coarse_prob_only,4,1.8117756993520666,0.3248015873015873,0.3338681877355345,-0.023285362222292355,0.3204301595687866,0.9085932672023773,-0.03247966378837115
full_strict,label_rate,8,raw_mean,8,coarse_prob_only,4,1.7860581602959669,0.2865079365079365,0.3338681877355345,0.011834669209646709,0.3150578662753105,0.9089111685752869,-0.032698572188501404
past_label,label_rate,8,hybrid_raw,4,context_plus_coarse_prob,4,1.9128842261886911,0.3856150793650793,0.3338681877355345,-0.010361523703149828,0.31737087666988373,0.9091568887233734,-0.0354268822490668
past_label,label_rate,8,raw_mean,4,context_plus_true_coarse_train,4,1.9394727809279455,0.38908730158730154,0.3338681877355345,-0.019243206759485515,0.31887178122997284,0.9083640277385712,-0.03880000711399076
prior_label,label_rate,8,raw_mean,8,coarse_prob_only,4,1.7680191266984595,0.25168650793650793,0.3338681877355345,-0.031139373929519792,0.3220890313386917,0.9039047658443451,-0.04100804389914918
prior_label,label_rate,8,teacher_hybrid,10,coarse_prob_only,4,1.9079526932835094,0.34652777777777777,0.3338681877355345,-0.07023534420532543,0.3273862600326538,0.905198261141777,-0.042900475388909495
prior_label,label_rate,8,teacher_hybrid,10,context_plus_true_coarse_train,4,1.9648221814587088,0.3757936507936508,0.3338681877355345,-0.07106229827146471,0.3274463415145874,0.9022942930459976,-0.04586812082159275
prior_label,label_rate,8,teacher_hybrid,10,context_plus_coarse_prob,4,1.999372981149374,0.40277777777777773,0.3338681877355345,-0.09041017142687349,0.33026906847953796,0.8991782069206238,-0.04596552399090453
past_label,label_rate,8,raw_mean,8,coarse_prob_only,4,1.8265898773249243,0.2655753968253968,0.3338681877355345,-0.01351548056459656,0.3192073479294777,0.9068985730409622,-0.046716497995679396
past_label,label_rate,8,teacher_hybrid,10,coarse_prob_only,4,1.9068575680850135,0.3200396825396825,0.3338681877355345,-0.020700647010819168,0.31990818679332733,0.9095672369003296,-0.04759692808089891
past_label,label_rate,8,raw_mean,4,context_plus_coarse_prob,4,1.9655168840692614,0.36339285714285713,0.3338681877355345,-0.03341188376116272,0.3210216537117958,0.9082837253808975,-0.04785354170984438
prior_label,label_rate,8,raw_mean,4,coarse_prob_only,4,1.815689036002092,0.23511904761904762,0.3338681877355345,-0.02801247452472974,0.3207405135035515,0.9077917188405991,-0.05108332705856074
past_label,label_rate,8,raw_mean,8,context_plus_coarse_prob,4,1.983721828360133,0.35218253968253965,0.3338681877355345,-0.015737696188919986,0.31866617500782013,0.908258318901062,-0.05282888749352216
prior_all,label_rate,8,raw_mean,8,coarse_prob_only,4,1.8162391826960858,0.21418650793650795,0.3338681877355345,-0.024217727649261167,0.32094257324934006,0.9078497886657715,-0.05534655001665045
prior_raw,label_rate,8,raw_mean,8,coarse_prob_only,4,1.8182582006145933,0.21418650793650795,0.3338681877355345,-0.025335155465605552,0.3211127147078514,0.907837986946106,-0.05565058287639314
future_label,label_rate,8,none,0,direct_semantic,4,2.018038457937574,0.3661706349206349,0.3338681877355345,-0.016454940409261043,0.3191804513335228,0.9034665822982788,-0.05565793654279759
future_label,label_rate,8,raw_mean,4,context_plus_true_coarse_train,4,2.0129878495903935,0.35079365079365077,0.3338681877355345,0.0014934669850010518,0.31643931567668915,0.9061650633811951,-0.05725785391232541
prior_all,label_rate,8,teacher_hybrid,10,coarse_prob_only,4,1.9500557782755132,0.3012896825396825,0.3338681877355345,-0.047657110925929586,0.3243314400315285,0.9056805074214935,-0.058215332557357474
future_label,label_rate,8,teacher_hybrid,10,coarse_prob_only,4,1.9648650064862543,0.31259920634920635,0.3338681877355345,-0.06153827177472762,0.32591764628887177,0.9048053473234177,-0.05826232803687145
future_label,label_rate,8,hybrid_raw,4,context_plus_true_coarse_train,4,2.021724372887732,0.35079365079365077,0.3338681877355345,-0.010649006788424203,0.3183085769414902,0.9026542454957962,-0.05936745429096642
