variant,candidate,scale,oof_loss,oof_delta_vs_stage2,loss_Q1,loss_Q2,loss_Q3,loss_S1,loss_S2,loss_S3,loss_S4,bad_axis_projection_ratio,good_axis_projection_ratio
strict,submission_subject_episode_graph_jepa_strict_scale0p35.csv,0.35,0.5555612908857185,-0.011969633804098656,0.5548313350665136,0.6232655901968491,0.615914861100397,0.4705466303997444,0.52587152188376,0.4995633023238218,0.5989357952289435,-0.0330052214974129,0.0018796274108122061
strict,submission_subject_episode_graph_jepa_strict_scale0p5.csv,0.5,0.5517312250827623,-0.01579969960705485,0.5486550823251896,0.6167042373501087,0.6115230955769545,0.4678065578971799,0.5215469504056408,0.49840306750977265,0.5974795845144905,-0.047150316424875674,0.0026851820154459747
strict,submission_subject_episode_graph_jepa_strict_scale0p75.csv,0.75,0.547090320147511,-0.020440604542306118,0.5414719323040186,0.6082355290556705,0.6065590381852348,0.4644020277127927,0.5160833148774444,0.49715549579688917,0.5957249031005275,-0.07072547463731317,0.0040277730231687925
strict,submission_subject_episode_graph_jepa_strict_scale1p0.csv,1.0,0.5446166682977174,-0.022914256392099763,0.5381595638286465,0.6027459861525715,0.6044709431077513,0.462465572751004,0.5128127409513521,0.49678566672795677,0.5948762045647394,-0.09430063284975106,0.005370364030891744
loose_s23,submission_subject_episode_graph_jepa_loose_s23_scale0p35.csv,0.35,0.5555612908857185,-0.011969633804098656,0.5548313350665136,0.6232655901968491,0.615914861100397,0.4705466303997444,0.52587152188376,0.4995633023238218,0.5989357952289435,-0.0330052214974129,0.0018796274108122061
loose_s23,submission_subject_episode_graph_jepa_loose_s23_scale0p5.csv,0.5,0.5517312250827623,-0.01579969960705485,0.5486550823251896,0.6167042373501087,0.6115230955769545,0.4678065578971799,0.5215469504056408,0.49840306750977265,0.5974795845144905,-0.047150316424875674,0.0026851820154459747
loose_s23,submission_subject_episode_graph_jepa_loose_s23_scale0p75.csv,0.75,0.547090320147511,-0.020440604542306118,0.5414719323040186,0.6082355290556705,0.6065590381852348,0.4644020277127927,0.5160833148774444,0.49715549579688917,0.5957249031005275,-0.07072547463731317,0.0040277730231687925
loose_s23,submission_subject_episode_graph_jepa_loose_s23_scale1p0.csv,1.0,0.5446166682977174,-0.022914256392099763,0.5381595638286465,0.6027459861525715,0.6044709431077513,0.462465572751004,0.5128127409513521,0.49678566672795677,0.5948762045647394,-0.09430063284975106,0.005370364030891744
top_negative,submission_subject_episode_graph_jepa_top_negative_scale0p35.csv,0.35,0.5555612908857185,-0.011969633804098656,0.5548313350665136,0.6232655901968491,0.615914861100397,0.4705466303997444,0.52587152188376,0.4995633023238218,0.5989357952289435,-0.0330052214974129,0.0018796274108122061
top_negative,submission_subject_episode_graph_jepa_top_negative_scale0p5.csv,0.5,0.5517312250827623,-0.01579969960705485,0.5486550823251896,0.6167042373501087,0.6115230955769545,0.4678065578971799,0.5215469504056408,0.49840306750977265,0.5974795845144905,-0.047150316424875674,0.0026851820154459747
top_negative,submission_subject_episode_graph_jepa_top_negative_scale0p75.csv,0.75,0.547090320147511,-0.020440604542306118,0.5414719323040186,0.6082355290556705,0.6065590381852348,0.4644020277127927,0.5160833148774444,0.49715549579688917,0.5957249031005275,-0.07072547463731317,0.0040277730231687925
top_negative,submission_subject_episode_graph_jepa_top_negative_scale1p0.csv,1.0,0.5446166682977174,-0.022914256392099763,0.5381595638286465,0.6027459861525715,0.6044709431077513,0.462465572751004,0.5128127409513521,0.49678566672795677,0.5948762045647394,-0.09430063284975106,0.005370364030891744
