target,feature,mode,c_value,base_weight,scaled_weight,delta_vs_base,mean_delta,win_rate,feature_family
S1,lebcj_l0p2_e32_rate_gap_S1,subject_rank,0.2,0.45,0.1575,-0.0038713503261311732,-0.003356987902789188,0.9307692307692308,rate
S2,lebcj_l0p2_e32_pred_rate_S1,subject_rank,0.2,0.45,0.1575,-0.0024060740911721057,-0.0018699543249199525,0.8884615384615384,rate
Q3,lebcj_l0p2_e32_both_rate_Q1,subject_z,0.2,0.45,0.1575,-0.0018290451651421513,8.024889002700367e-05,0.5,rate
Q1,lebcj_l0p2_e32_rate_gap_S1,subject_rank,0.2,0.3,0.105,-0.00045980295057557186,0.0005707687555558262,0.40384615384615385,rate
S3,lebcj_l0p2_e32_pred_rate_S2,subject_z,0.2,0.1,0.034999999999999996,-0.00011108907367263221,0.0007051935592981758,0.15384615384615385,rate
