cv_mode,method,group,strength,concentration,base_mix,scale,base_loss,oof_loss,oof_delta_vs_stage2,loss_Q1,loss_Q2,loss_Q3,loss_S1,loss_S2,loss_S3,loss_S4
subject_chunk,mpj_knn18,q_only,0.5,20.0,0.35,0.5,0.5675309246898171,0.5670600080216108,-0.0004709166682063115,0.5687464839444311,0.6437775163542238,0.6321575886632833,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_knn18,q_only,0.35,20.0,0.0,0.5,0.5675309246898171,0.5671010208438143,-0.0004299038460028326,0.568509942886578,0.64399872883306,0.6324600069977252,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_knn18,q_only,0.35,20.0,0.35,0.5,0.5675309246898171,0.5671130724772974,-0.0004178522125197759,0.5703550437715218,0.6433006708108334,0.6313973255693888,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_knn18,q_only,0.35,20.0,0.35,0.75,0.5675309246898171,0.5671343520505895,-0.00039657263922765473,0.5688672610341375,0.6439534572984439,0.6323812788322075,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_knn18,q_only,0.7,20.0,0.35,0.5,0.5675309246898171,0.5671604626164295,-0.00037046207338764514,0.5669824076739128,0.6448080540748143,0.6335943093769422,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_ridge_rate,q_only,0.35,20.0,0.35,0.5,0.5675309246898171,0.5671794477340982,-0.00035147695571891013,0.5732609814666559,0.64241476565312,0.6298419198295743,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_knn18,q_only,0.2,20.0,0.0,0.5,0.5675309246898171,0.5672061886150617,-0.0003247360747554717,0.5710993080971445,0.6432799680129647,0.6313255770059855,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_ridge_rate,q_only,0.5,20.0,0.35,0.5,0.5675309246898171,0.5672158322835756,-0.0003150924062415017,0.5727598204342627,0.6428275392440683,0.6301849991173608,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_knn18,q_only,0.5,8.0,0.35,0.5,0.5675309246898171,0.5672224569072001,-0.0003084677826170612,0.5694349017178669,0.6439623954699654,0.6324214339732316,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_knn18,q_only,0.2,20.0,0.35,0.75,0.5675309246898171,0.5672226337700014,-0.00030829091981576795,0.5712510784946202,0.6432693805933741,0.6312995101126779,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_knn18,q_only,0.2,20.0,0.35,1.0,0.5675309246898171,0.5672252323501409,-0.00030569233967625564,0.570441543127087,0.643581334286426,0.6318152818481362,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_knn18,q_only,0.2,20.0,0.0,0.75,0.5675309246898171,0.5672266439652354,-0.0003042807245817736,0.5698676519771144,0.643810457538067,0.6321699310521285,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_knn18,q_only,0.5,20.0,0.0,0.5,0.5675309246898171,0.5672463625455345,-0.0002845621442826296,0.5664370437449129,0.6453227707056814,0.6342262561788101,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_ridge_rate,q_only,0.2,20.0,0.0,0.5,0.5675309246898171,0.5672601000730182,-0.0002708246167989481,0.5737149069230296,0.6424501441095405,0.6299171822892197,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_ridge_rate,q_only,0.2,20.0,0.35,0.75,0.5675309246898171,0.5672630681207534,-0.0002678565690636958,0.5737606675649815,0.6424488845597291,0.6298934575312265,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_knn18,q_only,0.2,20.0,0.35,0.5,0.5675309246898171,0.5672732209408474,-0.0002577037489697176,0.5722224638147145,0.6430687245497496,0.6308828910321306,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_knn18,q_only,0.35,8.0,0.35,0.5,0.5675309246898171,0.5672746553170952,-0.00025626937272194006,0.5710334636233633,0.6434863176715271,0.6316643387354386,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_knn18,q_only,0.5,20.0,0.35,0.75,0.5675309246898171,0.5672874857451135,-0.00024343894470368888,0.5670769043898102,0.6451861803515179,0.6340108482851285,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_ridge_rate,q_only,0.2,20.0,0.35,0.5,0.5675309246898171,0.5672889379956787,-0.00024198669413844076,0.5739423057180962,0.6424421282288738,0.6298996648334437,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
subject_chunk,mpj_ridge_rate,q_only,0.35,20.0,0.35,0.75,0.5675309246898171,0.5672893451078936,-0.00024157958192350115,0.5730345282819591,0.6429917480110288,0.6302606722729299,0.47894327588040597,0.5389534496173579,0.5034376794790675,0.6034040622125061
