target,raw_weight,bc_weight,target_loss
Q1,0.75,0.5625,0.5671097847228811
Q2,0.0,0.0,0.6429986926145494
Q3,0.75,0.5625,0.6196363345983794
S1,0.75,0.5625,0.473115913966297
S2,0.75,0.5625,0.5300573686995459
S3,0.75,0.5625,0.49439712718823553
S4,0.75,0.5625,0.5970353475991903
