target,feature,mode,corr,c_value,base_loss,corrected_loss,best_weight,best_loss,delta_vs_base,mean_delta,median_delta,p25_delta,p75_delta,win_rate,mean_selected_weight,zero_weight_rate,passes_loose,passes_strict
Q3,rtday_both_err_13,subject_z,-0.15114160708785643,0.5,0.6303484889503163,0.6270866189045274,0.45,0.6254987903091502,-0.0048496986411660226,-0.002069636989147748,-0.0019037711980772754,-0.005407777034212025,0.0,0.6384615384615384,0.3256153846153846,0.14615384615384616,True,True
Q3,rtday_both_err_13,subject_z,-0.15114160708785643,0.2,0.6303484889503163,0.626955392006753,0.45,0.6257569512375473,-0.004591537712768989,-0.0019536084700780922,-0.0015947494515122784,-0.004832719721449108,0.0,0.6346153846153846,0.3246923076923078,0.1423076923076923,True,True
S2,rtday_both_pred_02,subject_rank,0.136484620965486,0.5,0.5389534496173579,0.5358323842546182,0.45,0.5351128488390153,-0.0038406007783425844,-0.002691681990245353,-0.0031387991102069246,-0.0047684057289539145,-0.0007861900282605805,0.8269230769230769,0.3881923076923077,0.046153846153846156,True,True
S2,rtday_both_pred_02,subject_center,0.13872523745282744,0.5,0.5389534496173579,0.5357912360097418,0.45,0.5351596117369469,-0.0037938378804109885,-0.002612580890979439,-0.0030878043539929734,-0.0044801396958525225,-0.0008140258418221635,0.7884615384615384,0.3884615384615385,0.06153846153846154,True,True
S4,rtday_next_abserr_10,subject_center,0.15174421348881567,0.5,0.6034040622125061,0.6015302692445929,0.45,0.599697338052413,-0.0037067241600931,-0.0014983804884276773,-0.0017934345004014252,-0.003841625917087532,0.0,0.6384615384615384,0.33942307692307694,0.13846153846153847,True,True
S3,rtmod_w2m_abserr_09,subject_rank,0.15736953166396708,0.5,0.5034376794790675,0.5027496757760976,0.45,0.4997595734940309,-0.003678105985036595,-0.0031433144135221314,-0.003463220807079892,-0.0045857372300986965,-0.001995336652665894,0.9307692307692308,0.40496153846153854,0.0,True,True
S2,rtday_both_pred_02,subject_z,0.1347048140376244,0.5,0.5389534496173579,0.5364613967873081,0.45,0.5353173040514405,-0.0036361455659174036,-0.0023196181999249475,-0.0026011573428786905,-0.004367200214905886,-0.0006566089209756321,0.7961538461538461,0.380423076923077,0.057692307692307696,True,True
S4,rtday_next_abserr_10,subject_center,0.15174421348881567,0.2,0.6034040622125061,0.600932194571549,0.45,0.5998092118549655,-0.003594850357540591,-0.0015907929769497487,-0.0017984902741590147,-0.0036558012790033345,0.0,0.6730769230769231,0.34557692307692306,0.13076923076923078,True,True
S2,rtday_both_pred_02,subject_rank,0.136484620965486,0.2,0.5389534496173579,0.5360345892440312,0.45,0.5354647296781512,-0.0034887199392067414,-0.002349193378777204,-0.0027291230356127905,-0.0043058718269841645,-0.0006600580762304159,0.7961538461538461,0.38353846153846155,0.06153846153846154,True,True
S2,rtday_both_pred_02,subject_center,0.13872523745282744,0.2,0.5389534496173579,0.5359720620794113,0.45,0.5354661734903661,-0.003487276126991845,-0.002291894457519298,-0.0026523243466577417,-0.0040842894127850055,-0.0005677383510319101,0.7653846153846153,0.3826153846153847,0.07692307692307693,True,True
S4,rtday_next_abserr_10,global_z,0.14940747646426245,0.5,0.6034040622125061,0.6019338550766321,0.45,0.6000159480414617,-0.003388114171044343,-0.0013363811810541701,-0.0014499610403462815,-0.00352706278375578,0.0,0.6538461538461539,0.342,0.14615384615384616,True,True
Q3,rtday_prev_pred_00,subject_center,0.14479556547642056,0.5,0.6303484889503163,0.6296148056279229,0.45,0.626992895985081,-0.0033555929652352434,-0.0018441708683536652,-0.0021747734439178656,-0.0038440069981420244,0.0,0.7461538461538462,0.3571153846153846,0.05,True,True
S3,rtmod_w2m_abserr_09,subject_rank,0.15736953166396708,0.2,0.5034376794790675,0.502543847837296,0.45,0.5001170618088455,-0.003320617670221959,-0.0027532284690489433,-0.003047295135577943,-0.004150881194447953,-0.0015451760695928268,0.9115384615384615,0.4005769230769231,0.007692307692307693,True,True
S2,rtday_both_pred_02,subject_z,0.1347048140376244,0.2,0.5389534496173579,0.5365969536850589,0.45,0.5356411872197085,-0.003312262397649368,-0.002007982960767418,-0.002136861011205027,-0.004090581126628745,-8.81558931954407e-05,0.7576923076923077,0.37565384615384617,0.08461538461538462,True,True
S4,rtday_next_abserr_10,subject_center,0.15174421348881567,0.1,0.6034040622125061,0.6012252593952689,0.45,0.6001260569543595,-0.003278005258146588,-0.001478860915472416,-0.0015261359591857149,-0.00340838563704407,0.0,0.676923076923077,0.3463846153846154,0.12307692307692308,True,True
S4,rtday_next_abserr_10,global_z,0.14940747646426245,0.2,0.6034040622125061,0.6013996667372751,0.45,0.6001749091621471,-0.0032291530503589794,-0.001352797175960178,-0.0014535391736884562,-0.0033898132545849557,0.0,0.6576923076923077,0.34419230769230774,0.14615384615384616,True,True
Q3,rtday_prev_pred_00,subject_center,0.14479556547642056,0.2,0.6303484889503163,0.6293375272640512,0.45,0.6271720121373887,-0.0031764768129275422,-0.0017090050424500194,-0.002143566971294253,-0.0036258975546948347,0.0,0.7192307692307692,0.3575384615384616,0.06538461538461539,True,True
S2,rtday_both_pred_02,subject_center,0.13872523745282744,0.1,0.5389534496173579,0.5370110435067373,0.45,0.5360693468650944,-0.0028841027522634732,-0.0016029972367070653,-0.001977903669321268,-0.0033802911356886067,-3.126470502382017e-05,0.75,0.36419230769230776,0.08076923076923077,True,True
S4,rtday_next_abserr_10,global_z,0.14940747646426245,0.1,0.6034040622125061,0.6018543981668828,0.45,0.6005704401090256,-0.002833622103480482,-0.0011660543904771776,-0.0011505257929798063,-0.003008810942048412,0.0,0.65,0.3425,0.13076923076923078,True,True
S2,rtday_both_pred_02,subject_rank,0.136484620965486,0.1,0.5389534496173579,0.5371247804439058,0.45,0.5361264888523778,-0.0028269607649801243,-0.0016684030807788722,-0.0020079817747822304,-0.003387291957471686,-0.00020992416539256098,0.7576923076923077,0.37007692307692314,0.06153846153846154,True,True
Q3,rtday_prev_cos,subject_rank,-0.1262187554331476,0.5,0.6303484889503163,0.6292718963338857,0.45,0.6275817380850519,-0.0027667508652643447,-0.001008997656476208,-0.001383407590759389,-0.003015574256859943,0.0,0.6230769230769231,0.33334615384615385,0.13846153846153847,True,True
S2,rtwin_night_err_10,subject_center,0.13266816636557255,0.5,0.5389534496173579,0.5368426027192169,0.45,0.5361892365599876,-0.0027642130573702905,-0.0020135054835743894,-0.0024409875915239465,-0.0033142107601271398,-0.0005986380171764533,0.85,0.3713461538461539,0.04230769230769231,True,True
