family,k,context_variant,proto_logloss,proto_acc,oracle_rate_r2,pred_rate_r2,pred_rate_rmse,pred_rate_cos,prototype_balance_min,prototype_balance_entropy,semantic_jepa_score,selection
hybrid_raw,4,strict_surround,0.637885964204244,0.8236283643892339,-0.0607240948671307,-0.0486768095415272,0.3401419296860695,0.8782435059547424,17.75,1.1266673803329468,-0.0942186071113444,best_proto
mean_latent,4,strict_surround,0.7244295716914209,0.8462474120082816,-0.0645284901659459,-0.060488288521802,0.3418076336383819,0.8762848377227783,35.5,1.1299371719360352,-0.1314800896942991,best_proto
window_state,4,strict_surround,1.071403926561605,0.7471532091097308,-0.0943922708001253,-0.0372313252051066,0.3382557108998298,0.8792338073253632,19.0,1.1663865149021149,-0.3056249268855417,best_proto
hybrid_oracle,10,strict_surround,2.249501493161855,0.5601966873706005,0.0030455282534353,0.092777593200022,0.3164246678352356,0.8905428797006607,7.0,2.1463253498077393,-0.8368491189983337,best_rate
mean_latent,6,strict_surround,1.4086783650032082,0.7441252587991718,-0.0401733179044902,0.0599189799872111,0.3219729140400886,0.8880688399076462,22.75,1.6739279329776764,-0.4327103062892337,best_rate
mean_latent,10,strict_surround,1.7078382626764514,0.6643892339544514,0.0307763818417451,0.052474606345347,0.3233617916703224,0.8875556141138077,7.0,2.1128817796707153,-0.5776990312545786,best_rate
hybrid_raw,4,strict_labelonly,0.3191805135925876,0.8849378881987577,-0.0607240948671307,-0.0470288303794456,0.339797779917717,0.8807226121425629,17.75,1.1266673803329468,0.061914301567613,best_proto
hybrid_oracle,4,strict_labelonly,0.4869762428142937,0.8331521739130435,-0.0638615175877845,-0.0404087853326222,0.3386140838265419,0.8793915212154388,32.0,1.2489246428012848,-0.0230072072483544,best_proto
modality_state,4,strict_labelonly,0.614154906719998,0.8212474120082816,-0.0654217054103339,-0.0688875386217477,0.3431449010968208,0.8751225620508194,31.25,1.1684378683567047,-0.0886837757851847,best_proto
hybrid_oracle,10,strict_labelonly,1.3402498588857557,0.677924430641822,0.0030455282534353,0.0865736610040684,0.3175353556871414,0.8913451880216599,7.0,2.1463253498077393,-0.4053410059429854,best_rate
mean_latent,10,strict_labelonly,1.082526018379169,0.643840579710145,0.0307763818417451,0.0643912778850081,0.3214465007185936,0.889508381485939,7.0,2.1128817796707153,-0.297937279493124,best_rate
label_state,8,strict_labelonly,2.2765739049806664,0.3813146997929607,0.1887641668724128,0.0578699481639728,0.3218569085001945,0.8927485048770905,24.0,2.0286470651626587,-0.8731074857188175,best_rate
hybrid_raw,4,strict_prior,0.3796505272562019,0.8810817805383022,-0.0607240948671307,-0.052317357171608,0.3406243845820427,0.8807520717382431,17.75,1.1266673803329468,0.032875341508247,best_proto
mean_latent,4,strict_prior,0.5328813573959955,0.8462474120082816,-0.0645284901659459,-0.068664956722614,0.3430463373661041,0.8767730891704559,35.5,1.1299371719360352,-0.0468943143291362,best_proto
hybrid_oracle,4,strict_prior,0.7157703877581527,0.8212474120082816,-0.0638615175877845,-0.0319356718029581,0.3373842164874077,0.881415992975235,32.0,1.2489246428012848,-0.1265496785601207,best_proto
label_state,10,strict_prior,3.4006237052376846,0.2503364389233954,0.2259530107753288,0.0652911514879796,0.3211636319756508,0.8906644731760025,16.75,2.229156196117401,-1.4000266245383504,best_rate
hybrid_oracle,10,strict_prior,1.2571825785430182,0.6573757763975155,0.0030455282534353,0.0650541177404613,0.3212206587195396,0.8901713043451309,7.0,2.1463253498077393,-0.3764330634741628,best_rate
label_state,8,strict_prior,2.664328405876086,0.3589803312629399,0.1887641668724128,0.04440099838316,0.3246301487088203,0.8894072920084,24.0,2.0286470651626587,-1.0549247354273574,best_rate
