family,best_score,mean_score,best_predictability,best_pred_rate_r2,best_oracle_rate_r2
time_meta,0.6089353672571912,0.2559475096912099,0.9399075332842114,-0.042137222748972136,-0.05177488395379326
raw_mean,0.5711806863881277,0.4194515986186265,0.9694470611330714,0.10755360335637823,0.029787532793924654
hybrid_raw,0.5506856487454816,0.26346890192532463,0.9971628718137213,0.01039097933057892,-0.046692435755989914
teacher_hybrid,0.5275734064946099,0.3634415508010887,0.9365949762628338,0.052937986215286836,0.03784188185435358
modality_state,0.5262343474519091,0.3509287722626626,0.9931222216253132,0.05869833757741136,-0.04739782445725421
window_state,0.4984762727297472,0.2673331036242554,0.7156480440759583,0.025965699747359294,-0.04516399395167847
raw_trend,0.4626380863299682,0.2510235826152443,0.8215102507669715,0.012653813382843548,-0.05282039816045564
canvas_process,0.3761476405312404,0.13726907327671162,0.6831494341254072,0.0010742465437887094,-0.06087912388327715
label_rate,0.3478426801866003,0.06025531316736236,0.5687041737600302,0.1385307297300971,0.438671631395287
label_state,0.2639044153752997,-0.020513608248578775,0.1570421242311757,0.10392767038718029,0.30389909351015976
