candidate,scale,oof_loss,oof_delta_vs_stage2,jepa_bad_ratio,jepa_bad_cos,raw_good_ratio,raw_good_cos,variant,k,c_value,no_q2
submission_block_canvas_multifeature_k8_c0p02_noq2_scale0p35.csv,0.35,0.5615725881973512,-0.00595833649246591,0.005771555734738987,0.007348511587810577,-0.06590162043140277,-0.03673143933214461,block_canvas_multifeature_k8_c0p02_noq2,8,0.02,True
submission_block_canvas_multifeature_k3_c0p02_noq2_scale0p35.csv,0.35,0.5642057126102239,-0.0033252120795932427,0.00613367972712177,0.00928171711332011,-0.05925004527246919,-0.039249242812706954,block_canvas_multifeature_k3_c0p02_noq2,3,0.02,True
submission_block_canvas_multifeature_k8_c0p02_noq2_scale0p5.csv,0.5,0.5595914865735381,-0.007939438116279063,0.008245079621055754,0.007348511587810631,-0.09414517204486089,-0.036731439332144525,block_canvas_multifeature_k8_c0p02_noq2,8,0.02,True
submission_block_canvas_multifeature_k3_c0p02_noq2_scale0p5.csv,0.5,0.563137207094729,-0.004393717595088109,0.00876239961017401,0.00928171711332017,-0.08464292181781266,-0.039249242812706746,block_canvas_multifeature_k3_c0p02_noq2,3,0.02,True
submission_block_canvas_multifeature_k8_c0p02_noq2_scale0p75.csv,0.75,0.5570910692017075,-0.010439855488109662,0.012367619431583808,0.007348511587810736,-0.14121775806729073,-0.03673143933214438,block_canvas_multifeature_k8_c0p02_noq2,8,0.02,True
submission_block_canvas_multifeature_k3_c0p02_noq2_scale0p75.csv,0.75,0.5618547618893961,-0.005676162800421047,0.013143599415260887,0.009281717113320079,-0.12696438272671887,-0.039249242812706704,block_canvas_multifeature_k3_c0p02_noq2,3,0.02,True
submission_block_canvas_multifeature_k8_c0p02_noq2_scale1p0.csv,1.0,0.5556328589734524,-0.011898065716364759,0.01649015924211166,0.0073485115878107,-0.18829034408972112,-0.0367314393321444,block_canvas_multifeature_k8_c0p02_noq2,8,0.02,True
submission_block_canvas_multifeature_k3_c0p02_noq2_scale1p0.csv,1.0,0.5612201423275625,-0.0063107823622546855,0.017524799220347848,0.009281717113320077,-0.16928584363562563,-0.039249242812706815,block_canvas_multifeature_k3_c0p02_noq2,3,0.02,True
submission_block_canvas_multifeature_k5_c0p02_noq2_scale0p35.csv,0.35,0.563191013079425,-0.004339911610392155,0.025988970649727487,0.03801563324090184,-0.05412073060244795,-0.03465549966533598,block_canvas_multifeature_k5_c0p02_noq2,5,0.02,True
submission_block_canvas_multifeature_k5_c0p02_noq2_scale0p5.csv,0.5,0.5617494354405868,-0.005781489249230387,0.03712710092818225,0.038015633240901965,-0.07731532943206824,-0.034655499665335855,block_canvas_multifeature_k5_c0p02_noq2,5,0.02,True
submission_block_canvas_multifeature_k8_c0p05_noq2_scale0p35.csv,0.35,0.5597987073435123,-0.007732217346304804,0.052255178871599375,0.07056359002331522,-0.0009373581921535987,-0.000554105259458271,block_canvas_multifeature_k8_c0p05_noq2,8,0.05,True
submission_block_canvas_multifeature_k5_c0p02_noq2_scale0p75.csv,0.75,0.5599295726528861,-0.0076013520369310195,0.055690651392273235,0.03801563324090187,-0.11597299414810268,-0.034655499665335945,block_canvas_multifeature_k5_c0p02_noq2,5,0.02,True
submission_block_canvas_multifeature_k3_c0p05_noq2_scale0p35.csv,0.35,0.5624186639731855,-0.0051122607166316225,0.05592112065247436,0.0816690249060976,-0.027374088698592796,-0.017500745054815935,block_canvas_multifeature_k3_c0p05_noq2,3,0.05,True
submission_block_canvas_multifeature_k8_c0p1_noq2_scale0p35.csv,0.35,0.5590943179315808,-0.00843660675823632,0.07107863969122158,0.09397555803839683,0.03449257775620901,0.019963506309968265,block_canvas_multifeature_k8_c0p1_noq2,8,0.1,True
submission_block_canvas_multifeature_k5_c0p02_noq2_scale1p0.csv,1.0,0.5588644238654734,-0.008666500824343726,0.07425420185636437,0.038015633240901896,-0.15463065886413677,-0.03465549966533592,block_canvas_multifeature_k5_c0p02_noq2,5,0.02,True
submission_block_canvas_multifeature_k8_c0p05_noq2_scale0p5.csv,0.5,0.5570827691202093,-0.010448155569607875,0.07465025553085622,0.07056359002331519,-0.0013390831316482,-0.0005541052594583545,block_canvas_multifeature_k8_c0p05_noq2,8,0.05,True
