file,cap,scale,oof_loss,oof_delta_vs_stage2,raw_oof_bad_axis_ratio,oof_bad_axis_ratio_after,raw_submission_bad_axis_ratio,submission_bad_axis_ratio_after,submission_mean_abs_delta
submission_jepa_axiscap_capm0p05_scale0p25.csv,-0.05,0.25,0.5662634471012644,-0.0012674775885527234,0.14105474702537749,-0.012499999999999976,0.1469914474410745,-0.012500000000000023,0.005479085926911793
submission_jepa_axiscap_capm0p05_scale0p5.csv,-0.05,0.5,0.5652948313269599,-0.002236093362857239,0.14105474702537749,-0.025,0.1469914474410745,-0.025000000000000015,0.010956380913798277
submission_jepa_axiscap_capm0p05_scale0p75.csv,-0.05,0.75,0.5646254583253288,-0.002905466364488296,0.14105474702537749,-0.03749999999999995,0.1469914474410745,-0.037500000000000054,0.01642796168266019
submission_jepa_axiscap_capm0p05_scale1p0.csv,-0.05,1.0,0.5642553494142856,-0.0032755752755315726,0.14105474702537749,-0.049999999999999975,0.1469914474410745,-0.04999999999999994,0.021889976433409442
submission_jepa_axiscap_cap0p0_scale0p25.csv,0.0,0.25,0.5661416517473318,-0.0013892729424853645,0.14105474702537749,-5.0625656905230723e-17,0.1469914474410745,1.3344434691242086e-16,0.0054682482639672484
submission_jepa_axiscap_cap0p0_scale0p5.csv,0.0,0.5,0.5650506810066445,-0.002480243683172678,0.14105474702537749,1.7882236469755357e-17,0.1469914474410745,-1.5427168798276026e-17,0.010934684453822943
submission_jepa_axiscap_cap0p0_scale0p75.csv,0.0,0.75,0.5642585039009188,-0.0032724207888983337,0.14105474702537749,2.4418207732540985e-17,0.1469914474410745,3.83170350506252e-17,0.01639544105505438
submission_jepa_axiscap_cap0p0_scale1p0.csv,0.0,1.0,0.5637652535780107,-0.003765671111806479,0.14105474702537749,6.231823344415117e-17,0.1469914474410745,-1.3424687627017368e-17,0.021846720815234796
submission_jepa_axiscap_cap0p05_scale0p25.csv,0.05,0.25,0.5660210895986253,-0.0015098350911918468,0.14105474702537749,0.012500000000000053,0.1469914474410745,0.012499999999999999,0.00547150140897546
submission_jepa_axiscap_cap0p05_scale0p5.csv,0.05,0.5,0.5648114440191826,-0.0027194806706345442,0.14105474702537749,0.025000000000000043,0.1469914474410745,0.024999999999999904,0.010941129645571333
submission_jepa_axiscap_cap0p05_scale0p75.csv,0.05,0.75,0.5639025555603263,-0.003628369129490827,0.14105474702537749,0.03750000000000006,0.1469914474410745,0.03749999999999994,0.016405002202609344
submission_jepa_axiscap_cap0p05_scale1p0.csv,0.05,1.0,0.563294628610602,-0.004236296079215163,0.14105474702537749,0.04999999999999998,0.1469914474410745,0.049999999999999975,0.021859306721854925
submission_jepa_axiscap_cap0p1_scale0p25.csv,0.1,0.25,0.5659017626713593,-0.0016291620184578637,0.14105474702537749,0.025000000000000012,0.1469914474410745,0.025000000000000015,0.005487487785789985
submission_jepa_axiscap_cap0p1_scale0p5.csv,0.1,0.5,0.564577136327889,-0.002953788361928167,0.14105474702537749,0.050000000000000044,0.1469914474410745,0.05000000000000003,0.010972992423931292
submission_jepa_axiscap_cap0p1_scale0p75.csv,0.1,0.75,0.563557666454533,-0.0039732582352841606,0.14105474702537749,0.075,0.1469914474410745,0.07499999999999994,0.01645254401081714
submission_jepa_axiscap_cap0p1_scale1p0.csv,0.1,1.0,0.5628435984189196,-0.004687326270897518,0.14105474702537749,0.10000000000000002,0.1469914474410745,0.1,0.02192224278129741
