block_mode,family,k,context_variant,folds,train_blocks,val_blocks,mean_val_len,proto_logloss,proto_acc,proto_predictability,balance_entropy_norm,oracle_rate_r2,oracle_rate_cos,pred_rate_r2,pred_rate_cos,jepa_friendly_score
fixed_2,time_meta,4,meta_only,4,286.5,112.5,2.0,0.08330584775388247,0.9913174771560141,0.9399075332842114,0.9935186314012423,-0.05177488395379326,0.8613468110561371,-0.049406976852704454,0.8614786714315414,0.6089353672571912
fixed_2,time_meta,4,prior_label,4,286.5,112.5,2.0,0.09745444796947227,0.9778185909737762,0.9297014756009354,0.9935186314012423,-0.05177488395379326,0.8613468110561371,-0.04969568668062646,0.861471951007843,0.6026057278660126
fixed_2,time_meta,4,future_label,4,286.5,112.5,2.0,0.10670427001639456,0.9825507579661498,0.9230291394028354,0.9935186314012423,-0.05177488395379326,0.8613468110561371,-0.04991823983029825,0.8614427000284195,0.6011723329652179
fixed_2,time_meta,4,past_label,4,286.5,112.5,2.0,0.10781203646097107,0.9754228725795334,0.9222300548248085,0.9935186314012423,-0.05177488395379326,0.8613468110561371,-0.04938942008208563,0.8614504039287567,0.5995728402352278
submission_like,time_meta,4,meta_only,4,326.5,20.5,6.508638072453862,0.08411751373543065,0.9880952380952381,0.9393220400409925,0.9641518946074618,-0.06848745618758273,0.8653299510478973,-0.06624566019665867,0.8652990311384201,0.5992747006266721
fixed_2,time_meta,8,meta_only,4,286.5,112.5,2.0,0.18529049837332104,0.984461455461147,0.9108941056243217,0.9780340625896173,-0.060573465647667635,0.8605611175298691,-0.053739505015756917,0.8613558113574982,0.5936747134694023
fixed_2,time_meta,4,prior_raw,4,286.5,112.5,2.0,0.13107645300479756,0.9713139819936989,0.9054483256363317,0.9935186314012423,-0.05177488395379326,0.8613468110561371,-0.050195200126827766,0.86145880818367,0.5927163008931455
fixed_2,time_meta,4,bidir_label,4,286.5,112.5,2.0,0.1264799141422471,0.9619780455587104,0.9087640275474591,0.9935186314012423,-0.05177488395379326,0.8613468110561371,-0.0498932702140194,0.8614375740289688,0.5920699952576042
fixed_2,time_meta,4,prior_all,4,286.5,112.5,2.0,0.13314782290594257,0.9691953379259023,0.9039541480942174,0.9935186314012423,-0.05177488395379326,0.8613468110561371,-0.050238186301928,0.8614561557769775,0.5917610127048262
submission_like,time_meta,4,future_label,4,326.5,20.5,6.508638072453862,0.09924854543473707,0.9624373433583959,0.9284073078429309,0.9641518946074618,-0.06848745618758273,0.8653299510478973,-0.0630777949744819,0.8653317093849182,0.5909565384544173
submission_like,time_meta,4,past_label,4,326.5,20.5,6.508638072453862,0.10998135499959422,0.9761904761904762,0.9206652222759184,0.9641518946074618,-0.06848745618758273,0.8653299510478973,-0.06484499644329783,0.865142285823822,0.590643994778616
submission_like,time_meta,4,bidir_label,4,326.5,20.5,6.508638072453862,0.11679963579745128,0.9624373433583959,0.91574687232869,0.9641518946074618,-0.06848745618758273,0.8653299510478973,-0.06340650496355577,0.8652026653289795,0.5864596440266183
