source,family,target,n,best_delta,mean_delta,strict_hits,loose_hits,mean_win_rate
block_canvas,predicted_raw_latent,Q3,63,-0.0112723981747316,-0.002379676306109298,17,19,0.48626373626373626
block_canvas,other,S3,80,-0.0097742232482477,-0.0012991796578616162,17,21,0.39971153846153845
block_canvas,predicted_raw_latent,S2,56,-0.009377810122278,-0.002786193352744745,32,35,0.6563186813186813
block_canvas,other,S2,104,-0.0093557814064179,-0.0030083740819424037,72,81,0.7326183431952663
block_canvas,predicted_raw_latent,Q1,71,-0.0086945349995442,-0.0015888830818425253,9,12,0.311430119176598
block_canvas,raw_canvas_residual,S2,100,-0.0078206372231078,-0.0025493111288517616,50,56,0.6135769230769231
block_canvas,raw_canvas_residual,S3,79,-0.0073593588453014,-0.0008121647942289794,12,12,0.3034079844206426
block_canvas,raw_canvas_residual,S4,101,-0.0073147298386627,-0.0021261333443025705,42,45,0.4725057121096725
block_canvas,raw_canvas_residual,S1,107,-0.0067321804546905,-0.0016825724019339842,40,50,0.5096693026599569
block_canvas,raw_canvas_residual,Q1,91,-0.0060284417351973,-0.0012134611662723712,17,20,0.3287827557058326
block_canvas,raw_canvas_residual,Q3,135,-0.0053391558062806,-0.0017955063460496704,70,77,0.6035042735042735
block_canvas,other,Q1,49,-0.005329276955197,-0.0013699577096760453,15,16,0.45384615384615384
block_canvas,other,Q3,55,-0.0048450483837372,-0.0017387301957848271,18,24,0.48377622377622376
block_canvas,other,S1,80,-0.0041449682345916,-0.0010848949645394703,17,22,0.41461538461538455
block_canvas,raw_canvas_residual,Q2,17,-0.0034669996376346,-0.0009339984250864503,4,4,0.3776018099547511
block_canvas,predicted_raw_latent,S1,37,-0.002178284880115,-0.0007569507088049207,6,8,0.3497920997920998
block_canvas,other,S4,13,-0.0020781655364849,-0.001120193265344325,0,0,0.35207100591715973
block_canvas,predicted_raw_latent,Q2,15,-0.0015271390951523,-0.000483526033689424,0,0,0.17102564102564097
block_canvas,predicted_raw_latent,S3,31,-0.0011685445623444,-0.000267720551570721,0,0,0.16674937965260545
block_canvas,predicted_raw_latent,S4,38,-0.0006933169558589,-0.00027872101090825634,0,0,0.03572874493927123
block_canvas,other,Q2,6,-0.0003051372072147,-0.00015794866788222312,0,0,0.09102564102564098
episode_retrieval,episode_donor_q_rate,S2,26,-0.0065220529739971,-0.0018430873973058635,9,10,0.5346153846153846
episode_retrieval,episode_donor_s_rate,Q3,19,-0.006167163161738,-0.0010857579942773002,2,2,0.21477732793522267
episode_retrieval,retrieval_geometry,Q1,57,-0.0059055902406908,-0.0015583820533325273,1,2,0.20829959514170038
episode_retrieval,episode_context_target_gap,Q1,108,-0.0057995534089321,-0.0030506490845201833,54,72,0.5532051282051282
episode_retrieval,predicted_raw_latent,S2,61,-0.0054771178725809,-0.0012774427354048895,18,27,0.5114123581336696
episode_retrieval,other,Q3,34,-0.0048903591573083,-0.0008757839773090549,5,7,0.32228506787330313
episode_retrieval,other,S3,62,-0.0047989710296134,-0.0006616664585004836,6,9,0.30787841191066995
episode_retrieval,episode_donor_s_rate,S2,32,-0.004313486915795,-0.0015151110774040773,16,18,0.5968749999999999
episode_retrieval,other,Q1,15,-0.0040381601074265,-0.0010543491964526985,0,0,0.2641025641025641
episode_retrieval,other,S1,57,-0.0040134767567939,-0.0010438322574421353,14,17,0.4064777327935223
episode_retrieval,retrieval_geometry,S1,28,-0.0035318375904829,-0.0009832654010855605,8,10,0.43612637362637363
episode_retrieval,episode_donor_q_rate,S1,49,-0.003455625672425,-0.0007512644203997687,3,6,0.33390894819466244
episode_retrieval,other,S4,88,-0.0032396887147813,-0.0008535446435148697,12,14,0.40738636363636355
episode_retrieval,episode_donor_s_rate,S4,20,-0.0031013758604347,-0.0012407971727922001,6,7,0.4801923076923077
episode_retrieval,episode_donor_q_rate,S4,52,-0.003075410366419,-0.0013461395723191637,20,23,0.5289940828402366
episode_retrieval,episode_donor_s_rate,Q1,10,-0.0028474443072351,-0.0010736869070165492,0,0,0.2796153846153846
episode_retrieval,other,S2,27,-0.002414987706504,-0.0007709381188541882,5,6,0.382051282051282
episode_retrieval,predicted_raw_latent,S4,52,-0.0023582315532733,-0.0007889982724100981,4,7,0.3727071005917159
episode_retrieval,retrieval_geometry,S2,42,-0.0021858929563596,-0.0008061174120750405,6,13,0.4218864468864469
episode_retrieval,predicted_raw_latent,S3,20,-0.0021341209631512,-0.0006626590560446408,1,2,0.3365384615384615
episode_retrieval,predicted_raw_latent,Q3,39,-0.0021221505728004,-0.0007000455394752624,8,10,0.39566074950690333
episode_retrieval,predicted_raw_latent,S1,16,-0.002072107643947,-0.0007611444718452981,6,6,0.46875
episode_retrieval,retrieval_geometry,Q3,32,-0.0020649309586677,-0.000579034887923312,0,0,0.2575721153846154
episode_retrieval,retrieval_geometry,S4,8,-0.0015079968575032,-0.0012797172530187625,0,0,0.3158653846153846
episode_retrieval,episode_donor_s_rate,S3,28,-0.0010699909219361,-0.00021402237300107606,0,0,0.19917582417582413
episode_retrieval,episode_donor_q_rate,Q3,3,-0.0005045018121642,-0.00025395970629327815,0,0,0.358974358974359
episode_retrieval,predicted_raw_latent,Q1,10,-0.0003848316091816,-0.0001640645927892426,0,0,0.11769230769230765
episode_retrieval,episode_donor_s_rate,S1,5,-0.0002961185974917,-0.00015847624533955225,0,0,0.19230769230769226
episode_retrieval,episode_donor_q_rate,S3,3,-0.0002173059493738,-0.00010535897869488332,0,0,0.14358974358974358
episode_retrieval,other,Q2,3,-3.853985693513806e-05,-2.417262001367752e-05,0,0,0.05641025641025637
neural_mps,predicted_raw_latent,Q1,31,-0.0097514105522307,-0.002385012594747971,9,9,0.3894540942928039
neural_mps,predicted_raw_latent,S2,36,-0.0091007491617082,-0.0016290640016764172,8,9,0.38707264957264953
neural_mps,predicted_raw_latent,Q3,55,-0.0083558983146572,-0.0016117705978833429,14,20,0.496013986013986
neural_mps,neural_predicted_endpoint,Q3,33,-0.0057687564653594,-0.002276118057118256,15,16,0.5144522144522145
neural_mps,raw_canvas_residual,Q3,41,-0.0048756837499859,-0.0009593314141414216,9,11,0.37861163227016886
neural_mps,neural_predicted_label_entropy,S1,17,-0.0040319862104087,-0.0009664456384624579,2,3,0.3977375565610859
neural_mps,other,S2,32,-0.0037570537120388,-0.001074951944672448,10,10,0.39975961538461535
neural_mps,neural_predicted_label_entropy,S3,12,-0.0033077563331634,-0.0012078451070917753,3,4,0.544551282051282
neural_mps,neural_predicted_endpoint,S1,46,-0.0024519465734273,-0.0005895175942249927,6,7,0.30894648829431437
neural_mps,predicted_raw_latent,S1,13,-0.0022581515911254,-0.0009322048669217477,5,6,0.4789940828402367
neural_mps,other,S1,24,-0.0022150000509788,-0.0007667159201086467,3,6,0.35544871794871796
neural_mps,neural_predicted_endpoint,Q1,4,-0.0020406596713664,-0.0012013222697458228,0,0,0.23365384615384613
neural_mps,other,Q3,24,-0.0019475838842428,-0.0005287493947032537,1,2,0.27788461538461534
neural_mps,neural_predicted_label_entropy,S2,7,-0.0018469551597917,-0.0009058540441716916,2,3,0.48516483516483516
neural_mps,neural_predicted_endpoint,S2,12,-0.0018278405761399,-0.0003882096644969583,2,2,0.24775641025641024
neural_mps,raw_canvas_residual,S2,13,-0.001735749207007,-0.0006173198439454624,2,2,0.3748520710059171
neural_mps,raw_canvas_residual,Q1,4,-0.0014801341388064,-0.0007357043853939056,0,0,0.1663461538461538
neural_mps,other,S4,42,-0.0014435006713674,-0.00039993281795472254,0,0,0.21300366300366297
neural_mps,neural_predicted_label_rate,S2,7,-0.001396657264436,-0.0007448572816952583,1,1,0.3582417582417582
neural_mps,raw_canvas_residual,S1,17,-0.00137159534526,-0.00026305162414002036,0,1,0.2040723981900452
