candidate,kind,raw,neural,episode,raw_weight,neural_weight,episode_weight,oof_loss,oof_delta_vs_stage2,jepa_bad_ratio,jepa_bad_cos,raw_good_ratio,raw_good_cos,public_safety_rank
submission_jepa_neural_episode_rawstack_raw075_nb_top10_er_top10_rw1p25_nw1p25_ew1p0.csv,global,raw075,nb_top10,er_top10,1.25,1.25,1.0,0.556388972629944,-0.011141952059873117,-0.13771803765502103,-0.07064898096912632,1.8065532946474205,0.40569645989683983,-0.012037039274935126
submission_jepa_neural_episode_rawstack_raw075_nb_strict10_er_top10_rw1p25_nw1p25_ew1p0.csv,global,raw075,nb_strict10,er_top10,1.25,1.25,1.0,0.556426438158132,-0.011104486531685165,-0.13595289757344517,-0.07332333971553526,1.762336723856993,0.41608113427553167,-0.011998867690714543
submission_jepa_neural_episode_rawstack_raw075_nb_top10_er_top10_rw1p0_nw1p25_ew1p0.csv,global,raw075,nb_top10,er_top10,1.0,1.25,1.0,0.5564810078579311,-0.011049916831886053,-0.13938354455800783,-0.07351913006641414,1.4836295174245984,0.3425702810193055,-0.011945670249709257
submission_jepa_neural_episode_rawstack_raw075_nb_top10_er_strict10_rw1p25_nw1p25_ew1p0.csv,global,raw075,nb_top10,er_strict10,1.25,1.25,1.0,0.5565175180794933,-0.011013406610323795,-0.18669986886480042,-0.09497066775033705,1.8764038700354893,0.4178372576149678,-0.011928086557869715
submission_jepa_neural_episode_rawstack_raw075_nb_strict10_er_top10_rw1p0_nw1p25_ew1p0.csv,global,raw075,nb_strict10,er_top10,1.0,1.25,1.0,0.5565232405467387,-0.0110076841430784,-0.13761840447643195,-0.07647779028051406,1.4394129466341712,0.35017051996022946,-0.011902731504868973
submission_jepa_neural_episode_rawstack_raw075_nb_strict10_er_strict10_rw1p25_nw1p25_ew1p0.csv,global,raw075,nb_strict10,er_strict10,1.25,1.25,1.0,0.5565625844145131,-0.010968340275304023,-0.18493472878322456,-0.09853810558565387,1.8321872992450616,0.4273571416506512,-0.011882314166817313
submission_jepa_neural_episode_rawstack_raw075_nb_top10_er_strict10_rw1p0_nw1p25_ew1p0.csv,global,raw075,nb_top10,er_strict10,1.0,1.25,1.0,0.5566074952608361,-0.010923429428981057,-0.1883653757677871,-0.09859070412660874,1.5534800928126675,0.35593930499777043,-0.011838775579288172
submission_jepa_neural_episode_rawstack_raw075_nb_top10_er_top10_rw1p25_nw1p0_ew1p0.csv,global,raw075,nb_top10,er_top10,1.25,1.0,1.0,0.5566004829492075,-0.010930441740609642,-0.09507384729351293,-0.054666972421302314,1.768239018394232,0.445082262577869,-0.011808471279527048
submission_jepa_neural_episode_rawstack_raw05_nb_top10_er_top10_rw1p25_nw1p25_ew1p0.csv,global,raw05,nb_top10,er_top10,1.25,1.25,1.0,0.5566297796313899,-0.010901145058427208,-0.13683795872069313,-0.07248341388546768,1.4419344085333132,0.3343589264342809,-0.011795880241915486
submission_jepa_neural_episode_rawstack_raw075_nb_strict10_er_strict10_rw1p0_nw1p25_ew1p0.csv,global,raw075,nb_strict10,er_strict10,1.0,1.25,1.0,0.5566573287564757,-0.010873595933341473,-0.18660023568621126,-0.10250821768813013,1.5092635220222401,0.3629501112426459,-0.011788236027615959
