target,raw_weight,bc_weight,target_loss
Q1,1.0,0.75,0.5684337848627459
Q2,0.0,0.0,0.6429986926145494
Q3,1.0,0.75,0.620781328409583
S1,1.0,0.75,0.4740753430523707
S2,1.0,0.75,0.5310603348889346
S3,1.0,0.75,0.49549535039292336
S4,1.0,0.75,0.5976827012218182
