block_mode,family,k,context_variant,target,n,pred_r2,oracle_r2,pred_corr,oracle_corr,pred_rmse,oracle_rmse
fixed_4,label_rate,10,prior_label,S3,157,0.4696917094609864,0.6148880282403547,0.7128888800127707,0.786817573820231,0.2273151792875873,0.19371254518789952
submission_like,teacher_hybrid,10,past_label,S3,83,0.3671623222480972,0.3572433103301669,0.631936148936285,0.6019633178738938,0.2919570227324691,0.2942361728317265
submission_like,label_rate,10,prior_label,S3,83,0.35086229671619473,0.5377001616281182,0.6011831719089955,0.7409257730720655,0.2956930852151999,0.24953681174643194
fixed_4,label_rate,10,prior_label,S2,157,0.3505554280684835,0.5827792576139013,0.6159483291294654,0.7669761819743797,0.2366614304704897,0.1896877981312708
fixed_2,label_rate,10,prior_label,S3,446,0.33033598381054596,0.5878700164643472,0.6082979641343325,0.7687117780541678,0.3129378073340556,0.24549726740332956
submission_like,label_rate,10,prior_label,S2,83,0.3293671481304926,0.6618367744704944,0.5820688920142467,0.8172380180067917,0.26735645618753145,0.18985036401410488
submission_like,label_rate,8,past_label,S3,83,0.3154911854369372,0.5128118882270802,0.571438131739806,0.717434305756506,0.3036423063543176,0.2561657809942779
submission_like,raw_mean,8,prior_label,S3,83,0.31442990110802316,0.17616313256397542,0.5927102492382362,0.4249677629619565,0.3038776126097116,0.33311437928464915
submission_like,label_rate,10,past_label,S2,83,0.2913452829330334,0.6618367744704944,0.5428644783685441,0.8172380180067917,0.27483091798119946,0.18985036401410488
submission_like,label_rate,10,past_label,S3,83,0.2705840834307165,0.5377001616281182,0.5209367473550904,0.7409257730720655,0.31344430656428224,0.24953681174643194
submission_like,label_rate,8,past_label,S2,83,0.26316964511905294,0.6498866357620834,0.5194801572382605,0.815593902844536,0.28024122188180783,0.1931757438135504
fixed_4,label_rate,10,prior_label,S1,157,0.26289955250432995,0.48913729731424227,0.538029087483097,0.7017074097315704,0.23902162878034075,0.19898757261874123
fixed_6,label_state,8,prior_label,S3,74,0.2619793593594596,0.4311635811937762,0.5527466203165141,0.6865028025326652,0.2347178792955362,0.20606565924188477
submission_like,label_rate,10,prior_label,S1,83,0.26043290441881695,0.6205721417847652,0.5155112757981634,0.7885913702534703,0.28820461252872454,0.2064318741056488
fixed_2,label_rate,10,prior_label,S2,446,0.1980592631794733,0.5892229060641796,0.4736795584326371,0.7681475107693592,0.3178280132738748,0.2274700209176424
fixed_2,label_rate,10,prior_label,S1,446,0.18644481019604753,0.5869144670013313,0.44572795871094956,0.7665987723854183,0.33148832262483013,0.23620806740600603
submission_like,label_rate,10,past_label,S1,83,0.18413701734328758,0.6205721417847652,0.4343330677153366,0.7885913702534703,0.30270582219824044,0.2064318741056488
fixed_6,label_state,8,prior_label,S2,74,0.17993406966840708,0.39292729550796324,0.462270355319826,0.6833599134580931,0.2436597835729811,0.2096427264742895
submission_like,raw_mean,8,prior_label,S1,83,0.1791526572494737,0.06548841777348091,0.4301643487900625,0.33169921337868713,0.30362906771899595,0.32396979188349695
submission_like,raw_mean,8,prior_label,S2,83,0.17878206533773078,0.04477283708343005,0.42344791373119717,0.28471806712583,0.295854013508488,0.31908146521832087
submission_like,teacher_hybrid,10,past_label,S1,83,0.1614118627985074,0.04189591981319074,0.4095742658282529,0.3279634798456979,0.30689265885789957,0.3280337438577257
submission_like,teacher_hybrid,10,past_label,S2,83,0.14824594822026982,0.15755111901369234,0.40090920399555824,0.44046977931691467,0.3013043222464517,0.29965397474285094
submission_like,label_rate,10,past_label,Q2,83,0.12915345959223823,0.6825892245968554,0.4157024634992244,0.831724556810859,0.33874671065161793,0.2045102597234203
submission_like,label_rate,8,past_label,S1,83,0.12023438119425967,0.4059447500812048,0.3674855002829503,0.6619415096279455,0.3143371227662828,0.2583006903578474
fixed_6,label_state,8,prior_label,S1,74,0.11482994284827064,0.2942157256839797,0.3446517310462145,0.5718024573815869,0.22807537156073637,0.20365779979239165
submission_like,label_rate,8,past_label,S4,83,0.11169306657473099,0.22505681993048243,0.36738177718189235,0.5525852326895493,0.31384210684078906,0.2931329295477592
submission_like,label_rate,10,past_label,S4,83,0.104702865415649,0.09248967614530768,0.35492168782368066,0.45261179101005333,0.3150745257986441,0.31721627703588245
fixed_4,label_rate,10,prior_label,S4,157,0.09891910712892993,0.3158225698931888,0.3824506420512247,0.6358756097376748,0.25698112599626505,0.2239255731831801
submission_like,label_rate,8,past_label,Q3,83,0.09883580490134825,0.3681697225594559,0.3354340552326035,0.6264181581791392,0.325453936995905,0.27251336558533873
submission_like,label_rate,10,past_label,Q3,83,0.09882808211685634,0.3013882145029787,0.3307360863687578,0.5726104496225156,0.3254553388851725,0.2865533832862402
fixed_2,label_rate,10,prior_label,S4,446,0.09797482277554936,0.2729287822598956,0.33826457928298764,0.5670302229074332,0.33864831191332206,0.3040381279609648
submission_like,raw_mean,8,prior_label,S4,83,0.09363224041558416,0.07022646005175215,0.33423618630421625,0.33930487441448726,0.3170165360201825,0.32108369428868133
fixed_6,label_state,8,prior_label,S4,74,0.09085260494850267,0.01464702789589023,0.3457715248169207,0.3958847653569512,0.20602620589004658,0.214487132336984
submission_like,label_rate,10,prior_label,Q3,83,0.07959639359650172,0.3013882145029787,0.2888324279217946,0.5726104496225156,0.32890974079660285,0.2865533832862402
fixed_2,label_rate,10,prior_label,Q1,446,0.06950928307986648,0.4302170075485583,0.30711361121223646,0.6657322309109817,0.3799943607866787,0.2973554298332514
submission_like,teacher_hybrid,10,past_label,Q1,83,0.058597193850389084,-0.06511683861627238,0.2742834569842131,0.14274954429847958,0.33092918193343596,0.3520026698628897
submission_like,teacher_hybrid,10,past_label,Q2,83,0.054544352662241,0.012220035455272393,0.3096527344683286,0.21065759454848546,0.3529594666209066,0.3607732667811119
fixed_6,label_state,8,prior_label,Q3,74,0.05453225392140337,0.010068194051999546,0.3012656630425717,0.2647311703959446,0.27289660876610167,0.2792398750317443
fixed_4,label_rate,10,prior_label,Q3,157,0.045189207231158046,0.5458499532761627,0.25005874138907125,0.7619648243276209,0.3089201903708069,0.21305284339396585
submission_like,label_rate,10,prior_label,Q2,83,0.03592719548446677,0.6825892245968554,0.3058843888664842,0.831724556810859,0.3564176375058438,0.2045102597234203
submission_like,label_rate,10,prior_label,S4,83,0.034942301333347414,0.09248967614530768,0.2809675963304486,0.45261179101005333,0.3271193844540599,0.31721627703588245
submission_like,label_rate,8,past_label,Q2,83,0.03011021131028424,0.334366544384054,0.2989152846824019,0.6012181607061334,0.3574912857069036,0.29615688932649
submission_like,label_rate,10,past_label,Q1,83,0.019840430291813593,0.18831622726623531,0.28600812765008193,0.5156030803668397,0.33767250494257783,0.3072845769419031
submission_like,teacher_hybrid,10,past_label,Q3,83,0.01943854183662086,0.014035525395203696,0.2469396750588454,0.21747853376427526,0.33948843081938446,0.3404224613231972
submission_like,raw_mean,8,prior_label,Q3,83,0.0014873691904497832,0.04795663431667185,0.21113334779563994,0.27665056396648974,0.34258184941131525,0.33451526612693583
fixed_2,label_rate,10,prior_label,Q3,446,-0.00016118158212874434,0.33188395406248516,0.13611329970743632,0.5968093001690191,0.3959543695943935,0.32362055846350724
fixed_4,label_rate,10,prior_label,Q1,157,-0.004037284404578401,0.33461725603141657,0.2662107363382735,0.6084337169749422,0.3010595953064054,0.24508308088058453
