label,file,oof_loss,oof_delta_vs_stage2,jepa_bad_ratio,jepa_bad_cos,raw_good_ratio,raw_good_cos
bc_noq2_10,submission_block_canvas_jepa_strict_noq2_scale1p0.csv,0.5599357994272235,-0.007595125262593649,-0.0320030785776459,-0.029023523668819357,0.16577036714535454,0.06581132627519128
bc_strict_075,submission_block_canvas_jepa_strict_scale0p75.csv,0.5607014644966053,-0.006829460193211845,0.025575149329643606,0.025182577049748533,0.15041963224551042,0.06483684587942791
bc_noq2_075,submission_block_canvas_jepa_strict_noq2_scale0p75.csv,0.5611543946822156,-0.006376530007601522,-0.027512491556397813,-0.027644683533098235,0.15041963224551042,0.066163974666066
bc_strict_05,submission_block_canvas_jepa_strict_scale0p5.csv,0.5624624108380408,-0.005068513851776313,0.01436516476180811,0.018315154264939053,0.11652158623044827,0.06503418788614422
bc_noq2_05,submission_block_canvas_jepa_strict_noq2_scale0p5.csv,0.5628219063125646,-0.004709018377252572,-0.02090216530689694,-0.02711438085071682,0.11652158623044827,0.06616832877027182
bc_strict_035,submission_block_canvas_jepa_strict_scale0p35.csv,0.563761831352591,-0.0037690933372261926,0.008960902184892858,0.01508697551511118,0.08792684416517008,0.06480481848178933
bc_noq2_035,submission_block_canvas_jepa_strict_noq2_scale0p35.csv,0.5640391236464984,-0.0034918010433186986,-0.015809090184949196,-0.027049377066502414,0.08792684416517008,0.06585780330867026
raw10,submission_raw_timeline_jepa_rescue_strict_scale1p0.csv,0.5646719644369889,-0.00285896025282828,0.0028454881701634356,0.004473958362054187,1.445834707319254,0.9951514108561943
raw075,submission_raw_timeline_jepa_rescue_strict_scale0p75.csv,0.565016612715476,-0.0025143119743411546,0.00666202761194714,0.011772572482250974,1.2916951088912865,0.9992181717362502
raw05,submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,0.5656089320285907,-0.0019219926612263905,0.00736609075940942,0.0168268065487444,1.0,1.0
