target,feature,mode,c_value,weight,inner_delta,fold,holdout_delta,holdout_rows
Q1,jepa_modality__prectx_other__cos,subject_z,0.2,0.45,-0.015388228416027161,geom_r00,0.012537585954845887,128
Q2,jepa_grid__usage__early__resid,subject_center,0.2,0.45,-0.013466285304867043,geom_r00,0.0053601266758065425,128
Q3,jepa_sensor_time__prectx_usage__pre6h__resid_pc2,global_z,0.2,0.45,-0.008958293088826341,geom_r00,0.005301975690524152,128
S1,jepa_grid__presleep_ambience__pre6h__resid,subject_z,0.2,0.45,-0.00760911737817227,geom_r00,0.004106243946488453,128
S2,jepa_grid__prectx_wlight__pre1h__value,subject_rank,0.2,0.45,-0.012507306929214645,geom_r00,0.007297679549029268,128
S3,jepa_grid__presleep_mlight__other__resid,subject_rank,0.2,0.45,-0.009347534154237225,geom_r00,0.011646855951523483,128
S4,jepa_time__late__target_pc2,subject_z,0.2,0.45,-0.011979749223615554,geom_r00,0.007985129760417542,128
Q1,jepa_modality__prectx_wlight__resid_pc0,subject_rank,0.2,0.45,-0.00994103135789648,geom_r01,0.009213973588342084,134
Q2,jepa_temporal__target_pc5,global_z,0.2,0.45,-0.014063865993342639,geom_r01,0.006642936236561647,134
Q3,jepa_grid__prectx_other__pre3h__pred,subject_rank,0.2,0.45,-0.013657627565309416,geom_r01,0.002277062036004196,134
S1,jepa_sensor_time__prectx_other__other__target_pc1,subject_z,0.2,0.45,-0.00584038853172969,geom_r01,0.015702624486755523,134
S2,jepa_modality__deep__cos,subject_z,0.2,0.45,-0.013004973311968704,geom_r01,0.014451649481451556,134
S3,jepa_grid__deep__early__resid,subject_rank,0.2,0.45,-0.00555114005182572,geom_r01,0.0009380842779943555,134
S4,jepa_sensor_time__prectx_usage__pre3h__cos,subject_center,0.2,0.45,-0.013673478533168693,geom_r01,0.0026974133662440725,134
Q1,jepa_sensor_time__prectx_mlight__other__target_norm,subject_rank,0.2,0.45,-0.016358289458049624,geom_r02,0.011678903471751378,147
Q2,jepa_sensor_time__prectx_usage__pre3h__pred_pc2,subject_center,0.2,0.45,-0.008116437219334305,geom_r02,-0.015126080581693735,147
Q3,jepa_sensor_time__prectx_ambience__pre3h__cos,subject_center,0.2,0.45,-0.010092520387197434,geom_r02,0.030192112497342216,147
S1,jepa_modality__presleep_activity__resid_pc0,global_z,0.2,0.45,-0.0037762850900575073,geom_r02,0.0066153656216974,147
S2,jepa_modality__presleep_mlight__pred_pc1,subject_rank,0.2,0.45,-0.008976663716063649,geom_r02,0.0019277855903371277,147
S3,jepa_grid__presleep_mlight__other__resid,subject_z,0.2,0.45,-0.009263226561276594,geom_r02,0.012055721199561109,147
S4,jepa_modality__gps__target_pc1,subject_rank,0.2,0.45,-0.01003996587242073,geom_r02,0.0026519404387204126,147
Q1,jepa_modality__ambience__resid_norm,subject_rank,0.2,0.45,-0.012785675811161079,geom_r03,-0.00206164723433111,133
Q2,jepa_sensor_time__prectx_usage__pre3h__pred_pc2,subject_center,0.2,0.45,-0.009498772339809114,geom_r03,-0.009353166369178156,133
Q3,jepa_grid__prectx_other__pre3h__pred,subject_rank,0.2,0.45,-0.009406538997203118,geom_r03,-0.0061287589549434696,133
S1,jepa_grid__prectx_other__pre1h__pred,subject_z,0.2,0.45,-0.010067601382257874,geom_r03,0.02762348686984928,133
S2,jepa_grid__phone_activity__late__resid,subject_z,0.2,0.45,-0.01055699992975545,geom_r03,0.025224843303034816,133
S3,jepa_grid__presleep_mlight__other__resid,subject_z,0.2,0.45,-0.009519685129099509,geom_r03,0.01628224536145728,133
S4,jepa_grid__phone_charge__afternoon__value,subject_z,0.2,0.45,-0.00896964887544005,geom_r03,0.009413530385366742,133
