experiment,fold,alpha,weight,train_blocks,val_blocks,base_loss,candidate_loss,delta,delta_mean7
qrank_count_jepa,geom_r00,1.0,0.0,336,22,0.6055053572875001,0.6055053572875001,0.0,0.0
qrank_count_jepa,geom_r00,1.0,0.05,336,22,0.6055053572875001,0.6075865921442416,0.0020812348567414616,0.0008919577957463565
qrank_count_jepa,geom_r00,1.0,0.1,336,22,0.6055053572875001,0.6110747615099666,0.005569404222466619,0.0023868875239142495
qrank_count_jepa,geom_r00,1.0,0.15,336,22,0.6055053572875001,0.6159424372454345,0.010437079957934378,0.004473034267686193
qrank_count_jepa,geom_r00,1.0,0.2,336,22,0.6055053572875001,0.6221943757974517,0.016689018509951598,0.007152436504265003
qrank_count_jepa,geom_r00,1.0,0.3,336,22,0.6055053572875001,0.6390134517157219,0.0335080944282217,0.01436061189780935
qrank_count_jepa,geom_r00,1.0,0.45,336,22,0.6055053572875001,0.6764541095915249,0.07094875230402464,0.030406608130296386
qrank_count_jepa,geom_r00,1.0,0.6,336,22,0.6055053572875001,0.7333081803744897,0.12780282308698968,0.054772638465852785
qrank_count_jepa,geom_r00,10.0,0.0,336,22,0.6055053572875001,0.6055053572875001,0.0,0.0
qrank_count_jepa,geom_r00,10.0,0.05,336,22,0.6055053572875001,0.6059991277876539,0.0004937705001536822,0.00021161592863727652
qrank_count_jepa,geom_r00,10.0,0.1,336,22,0.6055053572875001,0.6074900622974582,0.0019847050099580286,0.0008505878614105677
qrank_count_jepa,geom_r00,10.0,0.15,336,22,0.6055053572875001,0.6099515092714741,0.004446151983973985,0.0019054937074174383
qrank_count_jepa,geom_r00,10.0,0.2,336,22,0.6055053572875001,0.6133780232788748,0.007872665991374669,0.0033739997105891595
qrank_count_jepa,geom_r00,10.0,0.3,336,22,0.6055053572875001,0.6231966364101276,0.017691279122627468,0.007581976766840359
qrank_count_jepa,geom_r00,10.0,0.45,336,22,0.6055053572875001,0.646106784804997,0.040601427517496846,0.01740061179321306
qrank_count_jepa,geom_r00,10.0,0.6,336,22,0.6055053572875001,0.6815349316517412,0.07602957436424103,0.032584103298960554
qrank_count_jepa,geom_r00,100.0,0.0,336,22,0.6055053572875001,0.6055053572875001,0.0,0.0
qrank_count_jepa,geom_r00,100.0,0.05,336,22,0.6055053572875001,0.6061810497951811,0.0006756925076809953,0.0002895825032919186
qrank_count_jepa,geom_r00,100.0,0.1,336,22,0.6055053572875001,0.6072609698697041,0.0017556125822040618,0.000752405392373201
qrank_count_jepa,geom_r00,100.0,0.15,336,22,0.6055053572875001,0.6087352812142955,0.0032299239267953306,0.001384253111483713
qrank_count_jepa,geom_r00,100.0,0.2,336,22,0.6055053572875001,0.610599704107199,0.005094346819698854,0.002183291494156747
qrank_count_jepa,geom_r00,100.0,0.3,336,22,0.6055053572875001,0.6155052325962751,0.00999987530877496,0.004285660846617856
qrank_count_jepa,geom_r00,100.0,0.45,336,22,0.6055053572875001,0.6259464376574633,0.020441080369963133,0.00876046301569855
qrank_count_jepa,geom_r00,100.0,0.6,336,22,0.6055053572875001,0.6406050403556492,0.035099683068149035,0.015042721314921126
qrank_count_jepa,geom_r01,1.0,0.0,317,22,0.6235131387351406,0.6235131387351406,0.0,0.0
qrank_count_jepa,geom_r01,1.0,0.05,317,22,0.6235131387351406,0.6258518348930376,0.0023386961578970578,0.001002298353384501
qrank_count_jepa,geom_r01,1.0,0.1,317,22,0.6235131387351406,0.6296256290602952,0.006112490325154559,0.0026196387107805252
qrank_count_jepa,geom_r01,1.0,0.15,317,22,0.6235131387351406,0.6347906234602206,0.011277484725080167,0.004833207739320056
qrank_count_jepa,geom_r01,1.0,0.2,317,22,0.6235131387351406,0.6413435277198668,0.01783038898472622,0.007641595279168301
qrank_count_jepa,geom_r01,1.0,0.3,317,22,0.6235131387351406,0.6587627337081083,0.03524959497296783,0.015106969274129023
qrank_count_jepa,geom_r01,1.0,0.45,317,22,0.6235131387351406,0.6970959243442242,0.0735827856090836,0.03153547954675007
qrank_count_jepa,geom_r01,1.0,0.6,317,22,0.6235131387351406,0.7548659060973929,0.1313527673622524,0.056294043155251106
qrank_count_jepa,geom_r01,10.0,0.0,317,22,0.6235131387351406,0.6235131387351406,0.0,0.0
qrank_count_jepa,geom_r01,10.0,0.05,317,22,0.6235131387351406,0.6255627446750921,0.0020496059399515154,0.0008784025456934907
qrank_count_jepa,geom_r01,10.0,0.1,317,22,0.6235131387351406,0.6285085290805551,0.004995390345414556,0.0021408815766063016
qrank_count_jepa,geom_r01,10.0,0.15,317,22,0.6235131387351406,0.6323240297153269,0.008810890980186318,0.0037760961343655808
qrank_count_jepa,geom_r01,10.0,0.2,317,22,0.6235131387351406,0.6370024038240819,0.013489265088941363,0.005781113609546362
qrank_count_jepa,geom_r01,10.0,0.3,317,22,0.6235131387351406,0.6490007374280694,0.025487598692928975,0.010923256582683893
qrank_count_jepa,geom_r01,10.0,0.45,317,22,0.6235131387351406,0.674214745629011,0.05070160689387045,0.02172926009737297
qrank_count_jepa,geom_r01,10.0,0.6,317,22,0.6235131387351406,0.7102149837861346,0.08670184505099406,0.03715793359328323
qrank_count_jepa,geom_r01,100.0,0.0,317,22,0.6235131387351406,0.6235131387351406,0.0,0.0
qrank_count_jepa,geom_r01,100.0,0.05,317,22,0.6235131387351406,0.6251862746288648,0.001673135893724309,0.0007170582401675452
qrank_count_jepa,geom_r01,100.0,0.1,317,22,0.6235131387351406,0.6274444167194048,0.003931277984264255,0.0016848334218275696
qrank_count_jepa,geom_r01,100.0,0.15,317,22,0.6235131387351406,0.6302778413465066,0.00676470261136608,0.0028991582620139233
qrank_count_jepa,geom_r01,100.0,0.2,317,22,0.6235131387351406,0.6336859484909789,0.010172809755838378,0.004359775609645067
qrank_count_jepa,geom_r01,100.0,0.3,317,22,0.6235131387351406,0.6422643613083805,0.018751222573240023,0.008036238245674343
qrank_count_jepa,geom_r01,100.0,0.45,317,22,0.6235131387351406,0.6599037803109082,0.03639064157576766,0.015595989246757647
qrank_count_jepa,geom_r01,100.0,0.6,317,22,0.6235131387351406,0.6844939765243642,0.06098083778922366,0.026134644766810045
qrank_count_jepa,geom_r02,1.0,0.0,283,21,0.615882373892352,0.615882373892352,0.0,0.0
qrank_count_jepa,geom_r02,1.0,0.05,283,21,0.615882373892352,0.6205802344143124,0.00469786052196038,0.002013368795125925
qrank_count_jepa,geom_r02,1.0,0.1,283,21,0.615882373892352,0.6267819088042494,0.010899534911897471,0.0046712292479560436
qrank_count_jepa,geom_r02,1.0,0.15,283,21,0.615882373892352,0.6344589303430135,0.018576556450661474,0.007961381335997886
qrank_count_jepa,geom_r02,1.0,0.2,283,21,0.615882373892352,0.6436221090900652,0.027739735197713184,0.011888457941877095
qrank_count_jepa,geom_r02,1.0,0.3,283,21,0.615882373892352,0.6666140599827227,0.050731686090370744,0.02174215118158751
qrank_count_jepa,geom_r02,1.0,0.45,283,21,0.615882373892352,0.7144478367445948,0.09856546285224273,0.04224234122238979
qrank_count_jepa,geom_r02,1.0,0.6,283,21,0.615882373892352,0.7837339759116753,0.16785160201932325,0.0719364008654243
qrank_count_jepa,geom_r02,10.0,0.0,283,21,0.615882373892352,0.615882373892352,0.0,0.0
qrank_count_jepa,geom_r02,10.0,0.05,283,21,0.615882373892352,0.6191179849298886,0.0032356110375365565,0.001386690444658556
qrank_count_jepa,geom_r02,10.0,0.1,283,21,0.615882373892352,0.623274290293245,0.007391916400892984,0.0031679641718113105
qrank_count_jepa,geom_r02,10.0,0.15,283,21,0.615882373892352,0.628346434410293,0.012464060517941022,0.005341740221974756
qrank_count_jepa,geom_r02,10.0,0.2,283,21,0.615882373892352,0.6343459633114676,0.018463589419115634,0.007912966893906637
qrank_count_jepa,geom_r02,10.0,0.3,283,21,0.615882373892352,0.6492508761458046,0.03336850225345256,0.01430078668005108
