config,graph,smooth_weight,prior_weight,label_weight,group,scale,covered_rows,base_loss,oof_loss,oof_delta_vs_stage2
gk6_t1_sw0p25_pw0p75_lw8,gk6_t1,0.25,0.75,8.0,no_q2,0.35,287,0.5675309246898171,0.5671058131488306,-0.0004251115409865669
gk6_t1_sw0p25_pw0p25_lw8,gk6_t1,0.25,0.25,8.0,all,0.25,287,0.5675309246898171,0.567107784017211,-0.0004231406726061815
gk6_t1_sw0p5_pw0p75_lw20,gk6_t1,0.5,0.75,20.0,no_q2,0.25,287,0.5675309246898171,0.5671090474080235,-0.0004218772817936589
gk6_t1_sw0p25_pw0p75_lw20,gk6_t1,0.25,0.75,20.0,all,0.25,287,0.5675309246898171,0.5671101173356412,-0.00042080735417593385
gk6_t1_sw0p1_pw0p75_lw8,gk6_t1,0.1,0.75,8.0,all,0.5,287,0.5675309246898171,0.5671115310904052,-0.00041939359941189913
gk6_t1_sw0p5_pw0p75_lw8,gk6_t1,0.5,0.75,8.0,no_q2,0.35,287,0.5675309246898171,0.5671201290249351,-0.00041079566488200214
gk6_t1_sw0p25_pw0p25_lw20,gk6_t1,0.25,0.25,20.0,no_q2,0.25,287,0.5675309246898171,0.5671289161888381,-0.0004020085009790453
gk6_t1_sw0p1_pw0p25_lw20,gk6_t1,0.1,0.25,20.0,no_q2,0.25,287,0.5675309246898171,0.5671315817475793,-0.00039934294223786804
gk6_t1_sw0p25_pw0p75_lw8,gk6_t1,0.25,0.75,8.0,all,0.25,287,0.5675309246898171,0.567132093564622,-0.00039883112519512043
gk6_t1_sw0p1_pw0p25_lw20,gk6_t1,0.1,0.25,20.0,no_q2,0.75,287,0.5675309246898171,0.5671375485349979,-0.00039337615481926935
gk6_t1_sw0p1_pw0p25_lw8,gk6_t1,0.1,0.25,8.0,no_q2,0.75,287,0.5675309246898171,0.5671376792252772,-0.00039324546453989306
gk6_t1_sw0p1_pw0p25_lw8,gk6_t1,0.1,0.25,8.0,no_q2,0.25,287,0.5675309246898171,0.5671406949281929,-0.00039022976162428336
gk6_t1_sw0p25_pw0p25_lw20,gk6_t1,0.25,0.25,20.0,all,0.15,287,0.5675309246898171,0.5671442989118043,-0.00038662577801285014
