block_mode,family,k,context_variant,folds,train_blocks,val_blocks,mean_val_len,proto_logloss,proto_acc,proto_predictability,balance_entropy_norm,oracle_rate_r2,oracle_rate_cos,pred_rate_r2,pred_rate_cos,jepa_friendly_score
fixed_2,time_meta,4,meta_only,4,286.5,112.5,2.0,0.08330584775388247,0.9913174771560141,0.9399075332842114,0.9935186314012423,-0.05177488395379326,0.8613468110561371,-0.049406976852704454,0.8614786714315414,0.6089353672571912
fixed_2,time_meta,4,past_label,4,286.5,112.5,2.0,0.10781203646097107,0.9754228725795334,0.9222300548248085,0.9935186314012423,-0.05177488395379326,0.8613468110561371,-0.04938942008208563,0.8614504039287567,0.5995728402352278
fixed_2,time_meta,8,past_label,4,286.5,112.5,2.0,0.26185717978156664,0.9488497246944728,0.8740733151026547,0.9780340625896173,-0.060573465647667635,0.8605611175298691,-0.04882558457946129,0.8617481887340546,0.5746478747207431
fixed_6,raw_mean,8,prior_all,3,67.66666666666667,19.333333333333332,6.0,0.1246370281402136,0.9500000000000001,0.9400622591969919,0.9440905419271933,-0.11337591267913812,0.9461109836896261,-0.12621885810834033,0.9452274441719055,0.5711806863881277
fixed_6,raw_mean,8,prior_label,3,67.66666666666667,19.333333333333332,6.0,0.24671680398683385,0.9500000000000001,0.8813542967947402,0.9440905419271933,-0.11337591267913812,0.9461109836896261,-0.031451939553609067,0.949738621711731,0.5695862832582859
fixed_2,time_meta,8,bidir_label,4,286.5,112.5,2.0,0.2911256713940147,0.9246931377424429,0.8599981458681283,0.9780340625896173,-0.060573465647667635,0.8605611175298691,-0.04828040600424294,0.8618562072515488,0.5649992838132964
fixed_4,raw_mean,10,prior_raw,4,117.5,38.75,4.0,0.337664439609234,0.9311949311949312,0.8533541971427558,0.9283885028773352,-0.06571188106949769,0.9211842119693756,-0.023545424196819265,0.925033375620842,0.5631859385268958
fixed_4,raw_mean,10,prior_all,4,117.5,38.75,4.0,0.3409228706979872,0.9311949311949312,0.8519390785012484,0.9283885028773352,-0.06571188106949769,0.9211842119693756,-0.022895712802077528,0.925089418888092,0.5628205892813165
fixed_4,raw_mean,10,prior_label,4,117.5,38.75,4.0,0.3950269385571335,0.9259355509355509,0.8284419803815021,0.9283885028773352,-0.06571188106949769,0.9211842119693756,0.0011689274650627524,0.9263231158256531,0.5583576569409574
fixed_4,raw_mean,10,past_raw,4,117.5,38.75,4.0,0.3680455225576033,0.9247846747846749,0.8401598604640341,0.9283885028773352,-0.06571188106949769,0.9211842119693756,-0.022398272215844145,0.9242940247058868,0.5575152998034869
