candidate,cv_mode,method,group,strength,concentration,base_mix,scale,oof_loss,oof_delta_vs_stage2,bad_axis_projection_ratio,good_axis_projection_ratio
submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p5_c20_bm0p35_sc0p5.csv,subject_chunk,mpj_knn18,q_only,0.5,20.0,0.35,0.5,0.5670600080216108,-0.0004709166682063,0.008995289793963057,-0.019826835304900783
submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p35_c20_bm0_sc0p5.csv,subject_chunk,mpj_knn18,q_only,0.35,20.0,0.0,0.5,0.5671010208438143,-0.0004299038460028,0.010373475677344906,-0.024534335189184946
submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p35_c20_bm0p35_sc0p5.csv,subject_chunk,mpj_knn18,q_only,0.35,20.0,0.35,0.5,0.5671130724772974,-0.0004178522125197,0.006788470164337054,-0.016733970100517907
submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p35_c20_bm0p35_sc0p75.csv,subject_chunk,mpj_knn18,q_only,0.35,20.0,0.35,0.75,0.5671343520505895,-0.0003965726392276,0.010182705246505627,-0.02510095515077694
submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p7_c20_bm0p35_sc0p5.csv,subject_chunk,mpj_knn18,q_only,0.7,20.0,0.35,0.5,0.5671604626164295,-0.0003704620733876,0.012218957120360315,-0.02401000466592429
submission_mp_count_conditioning_jepa_subject_chunk_mpj_ridge_rate_q_only_st0p35_c20_bm0p35_sc0p5.csv,subject_chunk,mpj_ridge_rate,q_only,0.35,20.0,0.35,0.5,0.5671794477340982,-0.0003514769557189,0.010090636406958677,0.002125746988650615
submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p2_c20_bm0_sc0p5.csv,subject_chunk,mpj_knn18,q_only,0.2,20.0,0.0,0.5,0.5672061886150617,-0.0003247360747554,0.007191846305706042,-0.020479384553875934
submission_mp_count_conditioning_jepa_subject_chunk_mpj_ridge_rate_q_only_st0p5_c20_bm0p35_sc0p5.csv,subject_chunk,mpj_ridge_rate,q_only,0.5,20.0,0.35,0.5,0.5672158322835756,-0.0003150924062415,0.01358169619681845,0.00749497271060183
submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p5_c8_bm0p35_sc0p5.csv,subject_chunk,mpj_knn18,q_only,0.5,8.0,0.35,0.5,0.5672224569072001,-0.000308467782617,0.011226448517023688,-0.029481759733315356
submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p2_c20_bm0p35_sc0p75.csv,subject_chunk,mpj_knn18,q_only,0.2,20.0,0.35,0.75,0.5672226337700014,-0.0003082909198157,0.007102780260167522,-0.02046882482740214
submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p2_c20_bm0p35_sc1.csv,subject_chunk,mpj_knn18,q_only,0.2,20.0,0.35,1.0,0.5672252323501409,-0.0003056923396762,0.009470373680223344,-0.027291766436536254
submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p2_c20_bm0_sc0p75.csv,subject_chunk,mpj_knn18,q_only,0.2,20.0,0.0,0.75,0.5672266439652354,-0.0003042807245817,0.010787769458559145,-0.03071907683081402
submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p5_c20_bm0_sc0p5.csv,subject_chunk,mpj_knn18,q_only,0.5,20.0,0.0,0.5,0.5672463625455345,-0.0002845621442826,0.013935345358331396,-0.02830622033201762
submission_mp_count_conditioning_jepa_subject_chunk_mpj_ridge_rate_q_only_st0p2_c20_bm0_sc0p5.csv,subject_chunk,mpj_ridge_rate,q_only,0.2,20.0,0.0,0.5,0.5672601000730182,-0.0002708246167989,0.010133168053006382,-0.003800206544758834
submission_mp_count_conditioning_jepa_subject_chunk_mpj_ridge_rate_q_only_st0p2_c20_bm0p35_sc0p75.csv,subject_chunk,mpj_ridge_rate,q_only,0.2,20.0,0.35,0.75,0.5672630681207534,-0.0002678565690636,0.010012723358843324,-0.004476250401651908
submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p2_c20_bm0p35_sc0p5.csv,subject_chunk,mpj_knn18,q_only,0.2,20.0,0.35,0.5,0.5672732209408474,-0.0002577037489697,0.004735186840111653,-0.013645883218268089
submission_mp_count_conditioning_jepa_geometry_mpj_ridge_rate_q_only_st0p7_c20_bm0_sc0p5.csv,geometry,mpj_ridge_rate,q_only,0.7,20.0,0.0,0.5,0.5448809102093695,-0.0033342170184963,0.02669204248538978,0.03795747892409943
submission_mp_count_conditioning_jepa_geometry_mpj_ridge_rate_q_only_st0p7_c8_bm0_sc0p5.csv,geometry,mpj_ridge_rate,q_only,0.7,8.0,0.0,0.5,0.54492850891922,-0.0032866183086458,0.029938385583270152,0.02278295629948711
submission_mp_count_conditioning_jepa_geometry_mpj_ridge_rate_q_only_st0p9_c20_bm0p35_sc0p5.csv,geometry,mpj_ridge_rate,q_only,0.9,20.0,0.35,0.5,0.5449352175599245,-0.0032799096679413,0.023441353360784723,0.02374078541571159
submission_mp_count_conditioning_jepa_geometry_mpj_ridge_rate_q_only_st0p9_c8_bm0p35_sc0p5.csv,geometry,mpj_ridge_rate,q_only,0.9,8.0,0.35,0.5,0.5449609222357895,-0.0032542049920762,0.025220069338706665,0.015305013027806173
submission_mp_count_conditioning_jepa_geometry_mpj_ridge_rate_q_only_st0p9_c4_bm0p35_sc0p5.csv,geometry,mpj_ridge_rate,q_only,0.9,4.0,0.35,0.5,0.5450049402905963,-0.0032101869372694,0.027651664827006178,0.0036525210231575646
submission_mp_count_conditioning_jepa_geometry_mpj_ridge_rate_q_only_st0p7_c4_bm0_sc0p5.csv,geometry,mpj_ridge_rate,q_only,0.7,4.0,0.0,0.5,0.5450189110653465,-0.0031962161625193,0.034278746253602964,0.002207025544286769
