source,target,feature,mode,c_value,base_weight,scaled_weight,delta_vs_base,mean_delta,win_rate,feature_family
l0p2,Q1,lebcj_l0p2_e32_pred_emb_12,subject_z,0.2,0.45,0.3375,-0.0025563783284391,-0.0007198593934602,0.6461538461538462,pred_emb
l0p2,Q2,lebcj_l0p2_e32_target_emb_12,subject_z,0.2,0.45,0.3375,-0.004111956507382,-0.0021743291209684,0.7615384615384615,target_emb
l0p2,Q3,lebcj_l0p2_e32_target_norm,subject_center,0.2,0.45,0.3375,-0.0109220904862159,-0.0104394161441332,1.0,geometry
l0p05,S1,lebcj_l0p05_e32_pred_rate_S1,subject_z,0.2,0.45,0.3375,-0.0042662302020692,-0.0029029532211842,0.7923076923076923,rate
l0p05,S2,lebcj_l0p05_e32_pred_rate_S1,subject_z,0.2,0.45,0.3375,-0.0041419658195043,-0.003434242153801,0.9192307692307692,rate
l0p2,S4,lebcj_l0p2_e32_absresid_emb_06,subject_z,0.2,0.45,0.3375,-0.0037779576291192,-0.0017099798468887,0.6884615384615385,resid_emb
