variant,target,features,c_value,blend_weight,target_loss,delta_vs_base
block_canvas_multifeature_k8_c0p02_noq2,Q1,8,0.02,0.45,0.5608594254883578,-0.013771398586159056
block_canvas_multifeature_k8_c0p02_noq2,Q2,0,0.02,0.0,0.6429986926145494,0.0
block_canvas_multifeature_k8_c0p02_noq2,Q3,8,0.02,0.45,0.6071923499752616,-0.02315613897505464
block_canvas_multifeature_k8_c0p02_noq2,S1,8,0.02,0.45,0.4709515956826025,-0.007991680197803497
block_canvas_multifeature_k8_c0p02_noq2,S2,8,0.02,0.45,0.5164083605330515,-0.022545089084306413
block_canvas_multifeature_k8_c0p02_noq2,S3,8,0.02,0.3,0.4976960847957375,-0.005741594683329965
block_canvas_multifeature_k8_c0p02_noq2,S4,8,0.02,0.45,0.5933235037246065,-0.010080558487899571
block_canvas_multifeature_k8_c0p02_all,Q1,8,0.02,0.45,0.5608594254883578,-0.013771398586159056
block_canvas_multifeature_k8_c0p02_all,Q2,8,0.02,0.45,0.6197726383267377,-0.02322605428781177
block_canvas_multifeature_k8_c0p02_all,Q3,8,0.02,0.45,0.6071923499752616,-0.02315613897505464
block_canvas_multifeature_k8_c0p02_all,S1,8,0.02,0.45,0.4709515956826025,-0.007991680197803497
block_canvas_multifeature_k8_c0p02_all,S2,8,0.02,0.45,0.5164083605330515,-0.022545089084306413
block_canvas_multifeature_k8_c0p02_all,S3,8,0.02,0.3,0.4976960847957375,-0.005741594683329965
block_canvas_multifeature_k8_c0p02_all,S4,8,0.02,0.45,0.5933235037246065,-0.010080558487899571
block_canvas_multifeature_k8_c0p05_noq2,Q1,8,0.05,0.45,0.5548256822289274,-0.019805141845589458
block_canvas_multifeature_k8_c0p05_noq2,Q2,0,0.05,0.0,0.6429986926145494,0.0
block_canvas_multifeature_k8_c0p05_noq2,Q3,8,0.05,0.45,0.6047808405249763,-0.025567648425339984
block_canvas_multifeature_k8_c0p05_noq2,S1,8,0.05,0.45,0.4618158935285338,-0.017127382351872167
block_canvas_multifeature_k8_c0p05_noq2,S2,8,0.05,0.45,0.5091341088202112,-0.029819340797146765
block_canvas_multifeature_k8_c0p05_noq2,S3,8,0.05,0.45,0.4911347954836382,-0.012302883995429281
block_canvas_multifeature_k8_c0p05_noq2,S4,8,0.05,0.45,0.5901932848226648,-0.013210777389841333
block_canvas_multifeature_k8_c0p05_all,Q1,8,0.05,0.45,0.5548256822289274,-0.019805141845589458
block_canvas_multifeature_k8_c0p05_all,Q2,8,0.05,0.45,0.6171148748424761,-0.02588381777207338
