target,feature,mode,c_value,base_weight,scaled_weight,delta_vs_base,mean_delta,win_rate,feature_family
S1,lebcj_l0p05_e32_pred_rate_S1,subject_z,0.2,0.45,0.1575,-0.004266230202069288,-0.0029029532211842604,0.7923076923076923,rate
S2,lebcj_l0p05_e32_pred_rate_S1,subject_z,0.2,0.45,0.1575,-0.004141965819504323,-0.003434242153801032,0.9192307692307692,rate
Q3,lebcj_l0p05_e32_rate_gap_S3,global_z,0.2,0.45,0.1575,-0.0021884754925219907,-0.0012318439107801013,0.75,rate
S4,lebcj_l0p05_e32_rate_gap_S4,subject_z,0.1,0.45,0.1575,-0.0020117134276945725,-0.001645740185488058,0.9038461538461539,rate
Q2,lebcj_l0p05_e32_rate_gap_Q1,subject_z,0.1,0.2,0.06999999999999999,-0.0013465022912632074,0.0008923166638069421,0.5,rate
