latent,n,dim,global_scale,min_dim_std,max_dim_std,cov_eig_min,cov_eig_max,cov_eig_cv,cov_condition,effective_rank,participation_ratio,sigreg_ep,fold
geom_r00_context,327.0,32.0,0.7264703314611324,0.18659161475761166,1.537215558293081,0.0002756319665842202,22.390482092634656,4.01048466484042,81233.25596123545,2.4754525280997552,1.8730990334688298,0.16495312014783572,geom_r00
geom_r00_target,327.0,32.0,0.02287121063413628,0.01763102381397379,0.03295524020963083,0.1924924008263154,8.315512790887205,1.6388459349341487,43.19917438398119,15.82886691555293,8.681930951912793,0.023631132579219085,geom_r00
geom_r00_pred,327.0,32.0,0.01792928362819936,0.010107017482296034,0.03135085192082681,0.0008347048440047111,13.015525773752252,2.7389880533709094,15592.967822382485,5.378508051632929,3.763795682974938,0.10008877583281484,geom_r00
geom_r01_context,319.0,32.0,0.6732908971863474,0.17274863028386486,1.2757355261874999,0.0002318414485625847,20.98872611341425,3.929011538324688,90530.5166248063,2.4071792477718734,1.946811685017786,0.19879026573587089,geom_r01
geom_r01_target,319.0,32.0,0.022225852847645677,0.016765922584532706,0.028797415128711694,0.18381151763886236,8.252201107839094,1.616980465548673,44.8949076414914,16.19618225493033,8.85292186265173,0.027126737068722775,geom_r01
geom_r01_pred,319.0,32.0,0.017030738925899853,0.009361888405553246,0.024023529152894067,0.00048317285027999255,13.214339267732656,2.7681753855514173,27349.093104207146,5.197442701044555,3.6939579118114225,0.10816780458980375,geom_r01
geom_r02_context,340.0,32.0,0.781547826381114,0.2875661847119409,1.5946985472855995,0.00019224776008608724,25.41190539251598,4.43238600021212,132183.10258146416,2.1167833615090212,1.5499336064115459,0.19019123359568457,geom_r02
geom_r02_target,340.0,32.0,0.026942569374707136,0.01820671030885645,0.04002515594905105,0.16122476679537823,10.944807007944473,2.1310719213382328,67.88539518767178,11.604422305964855,5.7746435947058945,0.04761100711027818,geom_r02
geom_r02_pred,340.0,32.0,0.023407647491648257,0.009963790601961007,0.034153329582026194,0.0010572498585351901,14.984895521401175,2.9928623070067255,14173.466565569097,4.770258744750486,3.2137468701429874,0.12194292012850154,geom_r02
geom_r03_context,324.0,32.0,0.6232783585108761,0.16696053732017171,1.1230746985069562,0.0004060917376423429,22.596548399927897,4.023805397984767,55643.9501357926,2.5669954409180775,1.861438055226995,0.15231660822559387,geom_r03
geom_r03_target,324.0,32.0,0.02230305142894299,0.014893188229460697,0.029775966931343215,0.18477767134395084,9.338876350196994,1.7202678405725707,50.54115187334146,15.402392236634293,8.082192986397784,0.025618653330561594,geom_r03
geom_r03_pred,324.0,32.0,0.017665183994944107,0.006248561524876078,0.026689743084790926,0.001244816813431263,14.499039112109845,2.8098052166784995,11647.52833964711,5.3343728552905105,3.5975245343263005,0.09675208729825147,geom_r03
full_context,563.0,32.0,0.6918953467176845,0.15703347389390096,1.228196758901034,0.0004404935661428662,15.44705597080994,3.512868418401544,35067.608605661146,2.826713691194597,2.3987566299871013,0.17212106494150378,full
full_target,563.0,32.0,0.01800048125799164,0.012084895573947213,0.029529733008028247,0.22611410932011045,10.781010306174803,1.9215435596861836,47.67951163503952,14.326214985101824,6.819640216010687,0.029520663738622072,full
full_pred,563.0,32.0,0.01446477454012393,0.0044961633070242715,0.02801844537703707,0.0028221636999844974,14.978852691418648,2.8789897164979243,5307.577548212717,5.5814402154995,3.4450899751318182,0.09803742820219678,full
