target,feature,mode,c_value,weight,inner_delta,fold,holdout_delta,holdout_rows
Q1,neural_jepa_mask__sensor__ambience__pred_norm,subject_rank,0.2,0.45,-0.00924665238092548,geom_r00,0.004620797842590396,128
Q2,neural_jepa_mask__sensor__ble__pred_norm,subject_center,0.2,0.45,-0.011709012732410873,geom_r00,0.004724530052741871,128
Q3,neural_jepa_mask__time__other__latent_shift_norm,subject_rank,0.2,0.45,-0.004067623174870527,geom_r00,0.006297364538111916,128
S1,neural_jepa_mask__sensor__presleep_activity__resid_mean,subject_center,0.2,0.45,-0.005866098060443581,geom_r00,-0.005697454769734656,128
S2,neural_jepa_mask__sensor__presleep_usage__resid_abs_mean,subject_z,0.2,0.45,-0.00978569749862479,geom_r00,0.017747344322967984,128
S3,neural_jepa_mask__sensor__ambience__latent_shift_norm,subject_rank,0.2,0.3,-0.0005703983271904134,geom_r00,0.004440728408523054,128
S4,neural_jepa_mask__time__morning__resid_norm,subject_center,0.2,0.45,-0.008641271524575278,geom_r00,0.0046759126984460275,128
Q1,neural_jepa__full_z04,subject_center,0.2,0.45,-0.004830765916929769,geom_r01,0.012504870070711882,134
Q2,neural_jepa__full_z08,global_z,0.2,0.45,-0.009627436717740467,geom_r01,0.01450246809378597,134
Q3,neural_jepa_mask__time__early__latent_shift_norm,subject_rank,0.2,0.45,-0.002867785650234045,geom_r01,0.008560475308924786,134
S1,neural_jepa_mask__sensor__prectx_mlight__resid_abs_mean,subject_rank,0.2,0.45,-0.005552031927679668,geom_r01,0.009221495691672299,134
S2,neural_jepa_mask__sensor__deep__cos,subject_rank,0.2,0.45,-0.009116707131592405,geom_r01,-0.0004518075650989939,134
S3,neural_jepa_mask__time__early__pred_norm,subject_rank,0.2,0.45,-0.0063770439386889866,geom_r01,0.004555152482498048,134
S4,neural_jepa_mask__sensor__prectx_wlight__latent_shift_norm,subject_rank,0.2,0.45,-0.00684790880326569,geom_r01,0.006837441110684184,134
Q1,neural_jepa_mask__sensor__presleep_charge__latent_shift_norm,global_z,0.2,0.45,-0.007591804307323646,geom_r02,0.008414665445731884,147
Q2,neural_jepa_mask__sensor__prectx_screen__resid_norm,global_z,0.2,0.45,-0.00880513165502439,geom_r02,0.012970873874273425,147
Q3,neural_jepa_mask__time__all__target_norm,subject_rank,0.2,0.45,-0.01316197466649216,geom_r02,0.04307269399048008,147
S1,neural_jepa_mask__sensor__watch_light__cos,subject_z,0.2,0.45,-0.006188375157308301,geom_r02,0.006053900195826356,147
S2,neural_jepa_mask__sensor__prectx_wlight__resid_mean,subject_z,0.2,0.45,-0.0072740890205166275,geom_r02,0.004550019546187611,147
S3,neural_jepa_mask__time__pre6h__resid_abs_mean,subject_rank,0.2,0.45,-0.006205454006868227,geom_r02,0.013370278652899192,147
S4,neural_jepa__full_z11,subject_center,0.2,0.45,-0.008074681719671961,geom_r02,-0.006737213192545499,147
Q1,neural_jepa_mask__sensor__presleep_charge__latent_shift_norm,global_z,0.2,0.45,-0.006750683733617646,geom_r03,0.006170059819581519,133
Q2,neural_jepa_mask__sensor__prectx_ambience__resid_abs_mean,subject_z,0.2,0.45,-0.0077118079292087804,geom_r03,0.004307555183179823,133
Q3,neural_jepa_mask__time__afternoon__pred_norm,subject_rank,0.2,0.45,-0.0035295152062722046,geom_r03,0.0035966820218809037,133
S1,neural_jepa_mask__sensor__usage__cos,subject_z,0.2,0.45,-0.008104801500842473,geom_r03,0.0077429653901106565,133
S2,neural_jepa_mask__sensor__prectx_wlight__resid_mean,subject_z,0.2,0.45,-0.006717393094191726,geom_r03,0.007190329180462807,133
S3,neural_jepa_mask__time__early__cos,subject_rank,0.2,0.45,-0.004930145286778265,geom_r03,0.00209754316487748,133
S4,neural_jepa_mask__sensor__presleep_other__latent_shift_norm,subject_center,0.2,0.45,-0.00418010666893831,geom_r03,0.0063290240805709,133
