representation,context_variant,repr_r2,repr_cos,rate_chain_r2,rate_chain_cos,label_chain_r2,repr_to_true_rate_r2,repr_to_true_rate_cos,strict_rank_score
mean_latent,current_visible_target,0.9532052397360773,0.9713657200336456,0.06247672232558407,0.8932269066572189,-0.016258153847748313,0.022947292729355806,0.8898794800043106,0.27725296575896174
modality_state,current_visible_target,0.9113150532965887,0.9548867046833038,0.020341125742794702,0.8852245956659317,-0.02940011319568253,-0.031603542750442415,0.8797884583473206,0.23269567393259577
proto_hist,current_visible_target,0.5075176773465235,0.67795529961586,-0.05758988295217751,0.8765870928764343,-0.060267042703871676,-0.039604685377834264,0.8781243115663528,0.0872840466373664
window_state,current_visible_target,0.23180492553481852,0.7196891754865646,0.02332300071581278,0.8857538849115372,-0.013073954374067415,-0.0799628930835509,0.8760913014411926,0.05478630316069148
proto_trans,current_visible_target,-0.0012941898445825994,0.3958040103316307,-0.11120001921138839,0.8777951151132584,-0.1371210385912774,-0.19337689204373543,0.867482140660286,-0.10015893643615636
label_state,current_visible_target,-0.5727217527764965,0.2961440682411194,-0.5480510161144013,0.8262556195259094,-0.5294517221525492,0.8462709715186322,0.9799191504716873,-0.2753543027533184
label_state,strict_labelonly,-0.03802690145748175,0.384893998503685,0.04539011460484077,0.890496090054512,-0.054436508659463395,0.8462709715186322,0.9799191504716873,0.18471203197201844
mean_latent,strict_labelonly,0.11066267582690267,0.5307141691446304,0.09678388177000508,0.8935405910015106,-0.003679122318680922,0.022947292729355806,0.8898794800043106,0.08548626247609963
proto_hist,strict_labelonly,0.3056286203579644,0.4665488377213478,0.01304176317309566,0.8853901624679565,-0.031725069267282635,-0.039604685377834264,0.8781243115663528,0.07565918775912686
modality_state,strict_labelonly,0.004773406273851116,0.48363520950078964,0.08097012236574491,0.8927451372146606,-0.004019391399943312,-0.031603542750442415,0.8797884583473206,0.039406210319534
window_state,strict_labelonly,0.06973622590422826,0.6369388252496719,0.057155386647750356,0.8911535888910294,0.016807072922566335,-0.0799628930835509,0.8760913014411926,0.03287694051560959
proto_trans,strict_labelonly,0.13362608334698114,0.3362789526581764,0.026789208101049067,0.8883879780769348,-0.05110013147510459,-0.19337689204373543,0.867482140660286,0.009465206883575189
proto_hist,strict_prior,0.36754041484632705,0.47753995656967163,-0.03374819138793034,0.8824817389249802,-0.042315768853371516,-0.039604685377834264,0.8781243115663528,0.06540266137265323
label_state,strict_prior,-0.2829011390546511,0.319387748837471,-0.1460982759573499,0.874891072511673,-0.2877581588821425,0.8462709715186322,0.9799191504716873,0.018174857763521235
proto_trans,strict_prior,0.05428531078963736,0.4164764806628227,-0.038426345416187696,0.8822484612464905,-0.10837965547335732,-0.19337689204373543,0.867482140660286,-0.046238540690240984
mean_latent,strict_prior,-0.21718244832250483,0.5051736980676651,-0.01811312354712205,0.8834411650896072,-0.05498376400223176,0.022947292729355806,0.8898794800043106,-0.05966837148567218
window_state,strict_prior,-0.11344520018483684,0.5896885246038437,-0.04125866999954941,0.8814669251441956,-0.040238134371208406,-0.0799628930835509,0.8760913014411926,-0.06704614716267157
modality_state,strict_prior,-0.3197960312551928,0.4287615790963173,-0.015554098987146048,0.8823808878660202,-0.043430643728329166,-0.031603542750442415,0.8797884583473206,-0.09482447080681701
proto_hist,strict_rawonly,0.14687678780051208,0.41539715230464935,-0.06722317794912194,0.8748046904802322,-0.06894437504896467,-0.039604685377834264,0.8781243115663528,-0.008174487997455902
proto_trans,strict_rawonly,-0.03784453206034291,0.3172822594642639,-0.0791913913837658,0.880079448223114,-0.12711031736559364,-0.19337689204373543,0.867482140660286,-0.09169177668490401
mean_latent,strict_rawonly,-0.36250499905779504,0.46188176423311234,-0.022311855054783974,0.8783442229032516,-0.06276787100496423,0.022947292729355806,0.8898794800043106,-0.09830831149870879
window_state,strict_rawonly,-0.5021391714171322,0.46015994250774384,0.01975566415135857,0.8824826776981354,-0.04933971438523588,-0.0799628930835509,0.8760913014411926,-0.130661756187746
modality_state,strict_rawonly,-0.5588011029333635,0.39506642520427704,-0.024758149754448483,0.8764111995697021,-0.056818934986686,-0.031603542750442415,0.8797884583473206,-0.159637966648376
label_state,strict_rawonly,-0.6559457283050154,0.26233603060245514,-0.6195026293314113,0.8192743360996246,-0.5894919788118049,0.8462709715186322,0.9799191504716873,-0.3354586839048037
proto_hist,strict_surround,0.15914338747816797,0.4186709299683571,-0.06252808812215593,0.8757176548242569,-0.06672208911959726,-0.039604685377834264,0.8781243115663528,-0.002525538673210625
mean_latent,strict_surround,-0.34379841875724043,0.463808573782444,-0.020976664700740194,0.8784085363149643,-0.06260586396403134,0.022947292729355806,0.8898794800043106,-0.09289731172884606
proto_trans,strict_surround,-0.04020316912829147,0.31714530289173126,-0.08603324867356837,0.8793227225542068,-0.13412341803300004,-0.19337689204373543,0.867482140660286,-0.09604445746128257
window_state,strict_surround,-0.5256401014342011,0.4437455087900162,0.026872500033129354,0.8835072666406631,-0.050333285735724875,-0.0799628930835509,0.8760913014411926,-0.13262272895703933
modality_state,strict_surround,-0.5396154043978028,0.3965678885579109,-0.028655159119175655,0.8761908859014511,-0.05790188748966035,-0.031603542750442415,0.8797884583473206,-0.1569848971650858
label_state,strict_surround,-0.6568165765772384,0.25340503081679344,-0.5973736206562581,0.8199631124734879,-0.5933942737446531,0.8462709715186322,0.9799191504716873,-0.32350544120152513
