fold,target,feature,mode,c_value,weight,base_loss,best_loss,inner_delta,corr
geom_r00,Q1,neural_jepa_mask__sensor__ambience__pred_norm,subject_rank,0.2,0.45,0.574336124777731,0.5650894723968055,-0.00924665238092548,-0.20697462010326645
geom_r00,Q1,neural_jepa_mask__sensor__ambience__pred_norm,subject_rank,0.05,0.45,0.574336124777731,0.5689852210383108,-0.005350903739420154,-0.20697462010326645
geom_r00,Q1,neural_jepa_mask__sensor__presleep_charge__latent_shift_norm,global_z,0.2,0.45,0.574336124777731,0.5696791589389035,-0.004656965838827465,0.16702197484453218
geom_r00,Q1,neural_jepa_mask__sensor__presleep_charge__latent_shift_norm,subject_center,0.2,0.45,0.574336124777731,0.5700608317831798,-0.004275292994551205,0.15726530894214455
geom_r00,Q1,neural_jepa_mask__sensor__ambience__pred_norm,subject_z,0.2,0.45,0.574336124777731,0.5714885918110668,-0.002847532966664179,-0.1538784885860144
geom_r00,Q1,neural_jepa_mask__sensor__presleep_charge__latent_shift_norm,subject_center,0.05,0.3,0.574336124777731,0.5727831756204206,-0.0015529491573104126,0.15726530894214455
geom_r00,Q1,neural_jepa_mask__sensor__presleep_charge__latent_shift_norm,global_z,0.05,0.3,0.574336124777731,0.572961703470655,-0.0013744213070759903,0.16702197484453218
geom_r00,Q1,neural_jepa_mask__sensor__ambience__pred_norm,subject_z,0.05,0.2,0.574336124777731,0.5736231901556272,-0.0007129346221037558,-0.1538784885860144
geom_r00,Q1,neural_jepa_mask__sensor__phone_screen__cos,global_z,0.2,0.2,0.574336124777731,0.5737782747077931,-0.0005578500699379152,-0.15636851926291873
geom_r00,Q1,neural_jepa_mask__sensor__phone_screen__cos,global_z,0.05,0.0,0.574336124777731,0.574336124777731,0.0,-0.15636851926291873
geom_r00,Q2,neural_jepa_mask__sensor__ble__pred_norm,subject_center,0.2,0.45,0.6407483580889854,0.6290393453565746,-0.011709012732410873,-0.21745034035359942
geom_r00,Q2,neural_jepa_mask__sensor__ble__pred_norm,subject_z,0.2,0.45,0.6407483580889854,0.6306124532189394,-0.010135904870046009,-0.20600764779640218
geom_r00,Q2,neural_jepa__full_z03,subject_rank,0.2,0.45,0.6407483580889854,0.6322112997860968,-0.008537058302888645,0.1849326382878643
geom_r00,Q2,neural_jepa_mask__sensor__phone_charge__resid_abs_mean,subject_rank,0.2,0.45,0.6407483580889854,0.6337174034874327,-0.007030954601552786,-0.1763252788033887
geom_r00,Q2,neural_jepa_mask__sensor__ble__pred_norm,subject_center,0.05,0.45,0.6407483580889854,0.6341231690961462,-0.006625188992839259,-0.21745034035359942
geom_r00,Q2,neural_jepa_mask__sensor__ble__pred_norm,subject_z,0.05,0.45,0.6407483580889854,0.635380295760313,-0.005368062328672485,-0.20600764779640218
geom_r00,Q2,neural_jepa_mask__sensor__ble__pred_norm,subject_rank,0.2,0.45,0.6407483580889854,0.6361125046397221,-0.004635853449263316,-0.1740008713519835
geom_r00,Q2,neural_jepa__full_z03,subject_rank,0.05,0.45,0.6407483580889854,0.6372871810692261,-0.0034611770197593428,0.1849326382878643
geom_r00,Q2,neural_jepa_mask__sensor__phone_charge__resid_abs_mean,subject_rank,0.05,0.3,0.6407483580889854,0.6384556507097836,-0.0022927073792018415,-0.1763252788033887
geom_r00,Q2,neural_jepa_mask__sensor__ble__pred_norm,subject_rank,0.05,0.3,0.6407483580889854,0.6394985731236191,-0.0012497849653663184,-0.1740008713519835
geom_r00,Q3,neural_jepa_mask__time__other__latent_shift_norm,subject_rank,0.2,0.45,0.6454001299883209,0.6413325068134503,-0.004067623174870527,0.1678960477027049
geom_r00,Q3,neural_jepa_mask__sensor__prectx_ambience__resid_abs_mean,subject_z,0.2,0.45,0.6454001299883209,0.6413890637154344,-0.004011066272886499,-0.16162243508799867
geom_r00,Q3,neural_jepa_mask__sensor__prectx_ambience__resid_abs_mean,subject_z,0.05,0.3,0.6454001299883209,0.6422159813746275,-0.003184148613693316,-0.16162243508799867
geom_r00,Q3,neural_jepa_mask__sensor__prectx_ambience__resid_norm,subject_z,0.2,0.3,0.6454001299883209,0.6422282534229367,-0.003171876565384202,-0.15216663158126642
geom_r00,Q3,neural_jepa_mask__sensor__prectx_usage__latent_shift_norm,subject_rank,0.2,0.45,0.6454001299883209,0.6422364424213656,-0.0031636875669552866,0.14669962792131552
geom_r00,Q3,neural_jepa_mask__time__other__latent_shift_norm,subject_rank,0.05,0.45,0.6454001299883209,0.6424278521474001,-0.0029722778409208006,0.1678960477027049
geom_r00,Q3,neural_jepa_mask__sensor__prectx_ambience__resid_norm,subject_z,0.05,0.3,0.6454001299883209,0.642748060054675,-0.002652069933645862,-0.15216663158126642
geom_r00,Q3,neural_jepa_mask__sensor__prectx_usage__latent_shift_norm,subject_rank,0.05,0.3,0.6454001299883209,0.6431941716001102,-0.0022059583882106937,0.14669962792131552
geom_r00,Q3,neural_jepa_mask__sensor__prectx_ambience__resid_norm,subject_center,0.2,0.45,0.6454001299883209,0.6433813277828108,-0.002018802205510095,-0.146424854666677
geom_r00,Q3,neural_jepa_mask__sensor__prectx_ambience__resid_norm,subject_center,0.05,0.3,0.6454001299883209,0.643696219443131,-0.0017039105451898129,-0.146424854666677
geom_r00,S1,neural_jepa_mask__sensor__presleep_activity__resid_mean,subject_center,0.2,0.45,0.4900463391145932,0.48418024105414964,-0.005866098060443581,-0.18176989277975203
geom_r00,S1,neural_jepa_mask__sensor__presleep_activity__resid_mean,global_z,0.2,0.45,0.4900463391145932,0.48570420660103325,-0.004342132513559971,-0.17273874797834493
geom_r00,S1,neural_jepa_mask__sensor__gps__cos,subject_center,0.2,0.45,0.4900463391145932,0.4863068887288315,-0.0037394503857617334,-0.16168964781133713
