target,feature,mode,corr,c_value,base_loss,corrected_loss,best_weight,best_blend_loss,delta_vs_base,mean_delta,median_delta,p25_delta,p75_delta,win_rate,mean_selected_weight,zero_weight_rate,passes_loose,passes_strict
Q3,jepa_grid__prectx_other__pre3h__pred,subject_rank,-0.2006284858424461,0.2,0.6303484889503163,0.6165464099548719,0.45,0.6197113727884176,-0.010637116161898663,-0.010316405347642858,-0.010514025386752113,-0.013441196531626565,-0.00746654334057642,0.9923076923076923,0.44500000000000006,0.0,True,True
Q3,jepa_grid__prectx_hr__pre6h__pred,subject_rank,-0.19035600122721336,0.2,0.6303484889503163,0.6193727617207455,0.45,0.6212046733198382,-0.009143815630478058,-0.00906417152625244,-0.009049578207225573,-0.010965887612273517,-0.007402313895368162,1.0,0.44826923076923086,0.0,True,True
Q3,jepa_grid__prectx_other__pre3h__pred,subject_rank,-0.2006284858424461,0.05,0.6303484889503163,0.6222300086920142,0.45,0.6224046134921254,-0.007943875458190863,-0.007523838387727382,-0.007876488007966531,-0.009989819771104136,-0.005167203053470598,0.9846153846153847,0.4373076923076924,0.0,True,True
S4,jepa_grid__prectx_mlight__pre3h__pred,subject_rank,0.1840225190746259,0.2,0.6034040622125061,0.5957262982395509,0.45,0.5959881545075392,-0.0074159077049669175,-0.006389177120761563,-0.00516086196837473,-0.010471424343347552,-0.0027619640368830023,0.9846153846153847,0.4242307692307693,0.0,True,True
Q3,jepa_prefix__prectx__resid_pc0,subject_z,-0.1858493584325919,0.2,0.6303484889503163,0.6239649198569153,0.45,0.6229891056768241,-0.0073593832734921705,-0.006610455344715485,-0.0067627377516792375,-0.009693877556568642,-0.004537759049905388,0.9653846153846154,0.41323076923076935,0.0,True,True
Q3,jepa_grid__prectx_hr__pre6h__pred,subject_z,-0.17249151376664482,0.2,0.6303484889503163,0.6218811158990861,0.45,0.6230361241865572,-0.007312364763759072,-0.007237064792365267,-0.007194771104426623,-0.009188150270237838,-0.005353116775401123,1.0,0.44711538461538475,0.0,True,True
S4,jepa_grid__prectx_mlight__pre3h__pred,subject_center,0.1786959924293381,0.2,0.6034040622125061,0.5965781209187847,0.45,0.5964163007735714,-0.006987761438934648,-0.004416469055277226,-0.0030141030237045285,-0.009013833443734603,-0.0003230025842484441,0.7846153846153846,0.37469230769230777,0.007692307692307693,True,True
Q3,jepa_grid__prectx_hr__pre6h__pred,subject_rank,-0.19035600122721336,0.05,0.6303484889503163,0.624581754754807,0.45,0.6236194136011521,-0.006729075349164115,-0.006597913531698599,-0.0066561537853390695,-0.008157974220494718,-0.005288343317281591,1.0,0.44307692307692315,0.0,True,True
Q3,jepa_prefix__prectx__resid_pc0,subject_rank,-0.18670824958134466,0.2,0.6303484889503163,0.6241086492681984,0.45,0.6236334891201334,-0.006714999830182866,-0.005802337723137103,-0.006158028738668497,-0.00864558448927355,-0.0038713850553983575,0.9346153846153846,0.4076153846153847,0.011538461538461539,True,True
Q3,jepa_grid__prectx_other__pre3h__pred,subject_z,-0.16686735989793514,0.2,0.6303484889503163,0.6243477426774628,0.45,0.6236522410715162,-0.006696247878800077,-0.005665265534147093,-0.006274935702915818,-0.008546616026721632,-0.003212897384239133,0.9230769230769231,0.4054230769230769,0.015384615384615385,True,True
Q3,jepa_grid__prectx_hr__pre6h__pred,subject_center,-0.16628538090416758,0.2,0.6303484889503163,0.6224030293201713,0.45,0.6237036935721721,-0.006644795378144108,-0.006258282972620216,-0.0064293765703064,-0.00851752500816469,-0.004268110317039331,0.9692307692307692,0.43634615384615394,0.0,True,True
S4,jepa_grid__prectx_mlight__pre3h__pred,subject_rank,0.1840225190746259,0.05,0.6034040622125061,0.5983561615366656,0.45,0.5973403815653171,-0.006063680647188985,-0.004606197358008954,-0.0044184447784600955,-0.0077058329661257585,-0.0015201670506339582,0.9461538461538461,0.395,0.0,True,True
S4,jepa_grid__prectx_mlight__pre3h__pred,subject_z,0.16946432369127254,0.2,0.6034040622125061,0.599255070102168,0.45,0.597422813412806,-0.0059812487997000785,-0.004162851382559185,-0.0036229933032470574,-0.0075465138945556565,-0.0011003400182593992,0.8576923076923076,0.38511538461538464,0.007692307692307693,True,True
S4,jepa_grid__presleep_mlight__pre3h__value,subject_rank,0.1643319317038609,0.2,0.6034040622125061,0.5979038213235516,0.45,0.5976228381953358,-0.0057812240171702944,-0.004923837203110418,-0.003843787625600892,-0.0077562359442527595,-0.0022673237240424804,0.9961538461538462,0.41673076923076924,0.0,True,True
Q3,jepa_grid__prectx_wlight__pre6h__pred,subject_rank,-0.16145870176103175,0.2,0.6303484889503163,0.6242120275270976,0.45,0.6247077509058252,-0.005640738044491056,-0.004963758490392506,-0.005233805399432634,-0.007377863547815777,-0.00290484231285032,0.9423076923076923,0.4159615384615385,0.011538461538461539,True,True
S4,jepa_grid__presleep_mlight__pre3h__value,subject_center,0.16325853497794196,0.2,0.6034040622125061,0.5989700724506537,0.45,0.5977998035538892,-0.005604258658616912,-0.002964197986742656,-0.0021916686398394947,-0.005752351938924066,-0.00016921369106182027,0.7730769230769231,0.3518846153846154,0.019230769230769232,True,True
S4,jepa_grid__prectx_mlight__pre3h__pred,subject_center,0.1786959924293381,0.05,0.6034040622125061,0.5991958497545097,0.45,0.5978259277460984,-0.005578134466407647,-0.002765093980646563,-0.002379666380906642,-0.0057065148968905854,7.550761956756635e-05,0.7269230769230769,0.3446923076923077,0.011538461538461539,True,True
Q3,jepa_modality__prectx_wlight__pred_pc2,subject_rank,-0.16888700134904755,0.2,0.6303484889503163,0.6254150601768717,0.45,0.6250285686430814,-0.005319920307234827,-0.005150016701868222,-0.005372909369987189,-0.006938967889669967,-0.0034835883936966683,0.9961538461538462,0.4376923076923077,0.0,True,True
Q3,jepa_grid__prectx_other__pre3h__value,subject_rank,-0.16057419131879708,0.2,0.6303484889503163,0.6253714778106666,0.45,0.6250572673099378,-0.00529122164037843,-0.005151245055681242,-0.005266168754534006,-0.006946858761040731,-0.0034572024027725856,0.9884615384615385,0.4378846153846155,0.0,True,True
Q1,jepa_modality__ambience__resid_norm,subject_rank,-0.1780315295252265,0.2,0.5746308240745168,0.5712705784497598,0.45,0.5694121534004668,-0.005218670674050019,-0.004223728504876991,-0.004257425290305983,-0.00651920946311782,-0.002632317575830989,0.9153846153846154,0.4112307692307693,0.0038461538461538464,True,True
Q3,jepa_grid__prectx_hr__pre6h__pred,subject_z,-0.17249151376664482,0.05,0.6303484889503163,0.6268914183630122,0.45,0.6251412323282904,-0.005207256622025813,-0.005021558580434942,-0.005179916794730788,-0.006530929284408571,-0.0037619798326985754,1.0,0.43673076923076926,0.0,True,True
S4,jepa_sensor_time__prectx_usage__pre3h__cos,subject_center,0.16841976985259596,0.2,0.6034040622125061,0.6001701258606462,0.45,0.5982014117563184,-0.00520265045618773,-0.004252640667387711,-0.0049090938044272225,-0.006226321471185847,-0.0022588364746992384,0.8576923076923076,0.38973076923076927,0.026923076923076925,True,True
