file,mean_abs_logit_move,rms_logit_move,cos_anchor_to_stage2_good_axis,cos_stage2_to_ordinal_bad_axis,bad_axis_projection_ratio,good_axis_projection_ratio
submission_jepa_selected.csv,0.11574742882199435,0.15224002545921453,0.012928789735568748,0.18045547007745552,0.1469914474410745,0.00841903200524187
submission_jepa_selected.csv:target_Q1,0.15712689604257352,0.17939268984837486,0.022135096444852884,-0.06595441678025692,-0.06162855463048627,0.012586816220787311
submission_jepa_selected.csv:target_Q2,0.0,0.0,0.0,0.0,0.0,0.0
submission_jepa_selected.csv:target_Q3,0.15092592855473755,0.17957252534537635,0.04505462773328345,0.4429709552913659,0.29193319831143794,0.03829333209189221
submission_jepa_selected.csv:target_S1,0.1031496801475955,0.14900191669064705,-0.004770477171643164,0.054323850506688094,0.04665520154209421,-0.004875423036024403
submission_jepa_selected.csv:target_S2,0.1345336604940276,0.1531138496630096,0.09431758005856586,-0.05048143065325313,-0.0447639542886469,0.06397294196192058
submission_jepa_selected.csv:target_S3,0.13324819458842257,0.16536474613073424,-0.10450983021123413,0.04914795365484317,0.03947467006073737,-0.06031287279172702
submission_jepa_selected.csv:target_S4,0.13124764192660365,0.1575443652873995,0.050094566052721654,0.5609556713305044,0.5278504095447669,0.03031247080652876
submission_neural_jepa_selected.csv,0.09648386078250197,0.13981393908914497,0.003802386507247334,0.05293152755821062,0.03959661550823166,0.0022739566016635755
submission_neural_jepa_selected.csv:target_Q1,0.0,0.0,0.0,0.0,0.0,0.0
submission_neural_jepa_selected.csv:target_Q2,0.0,0.0,0.0,0.0,0.0,0.0
submission_neural_jepa_selected.csv:target_Q3,0.11794809409742238,0.13469471085565246,0.03050312803727063,-0.023944407458495583,-0.011836491219286935,0.019446380638060923
submission_neural_jepa_selected.csv:target_S1,0.13355820381422148,0.18197446024548886,0.022868977619946995,-0.03392548483408454,-0.03558395138705413,0.028544064721623425
submission_neural_jepa_selected.csv:target_S2,0.14329985638811754,0.16809960214905248,-0.06960390099881765,0.13222341910925506,0.1287233643522638,-0.051830985239333
submission_neural_jepa_selected.csv:target_S3,0.12539270488915336,0.1554288433389274,-0.06972116532334423,0.042317009282562774,0.03194601726564073,-0.037818665231884555
submission_neural_jepa_selected.csv:target_S4,0.15518816628859905,0.18210599124380986,0.10844434484318909,0.2112195673984026,0.22974064067835917,0.0758505942360266
submission_jepa_nested_q2_probe.csv,0.01808525197004048,0.059747105961571456,-0.01763538246676581,0.0005878888307727165,0.0001879339536231902,-0.00450689247362256
submission_jepa_nested_q2_probe.csv:target_Q1,0.0,0.0,0.0,0.0,0.0,0.0
submission_jepa_nested_q2_probe.csv:target_Q2,0.12659676379028334,0.1580759839301427,-0.08536883844441782,0.005237855778227623,0.014918388209191778,-0.10561027552002314
submission_jepa_nested_q2_probe.csv:target_Q3,0.0,0.0,0.0,0.0,0.0,0.0
submission_jepa_nested_q2_probe.csv:target_S1,0.0,0.0,0.0,0.0,0.0,0.0
submission_jepa_nested_q2_probe.csv:target_S2,0.0,0.0,0.0,0.0,0.0,0.0
submission_jepa_nested_q2_probe.csv:target_S3,0.0,0.0,0.0,0.0,0.0,0.0
submission_jepa_nested_q2_probe.csv:target_S4,0.0,0.0,0.0,0.0,0.0,0.0
submission_jepa_axiscap_cap0p0_scale1p0.csv,0.11469107825825679,0.14974072459864893,0.08164596811057356,-6.457268582188117e-17,-5.1734701598001023e-17,0.052293789396351674
submission_jepa_axiscap_cap0p0_scale1p0.csv:target_Q1,0.15960838217792558,0.18342818170236772,0.09449449721158178,-0.21835167518420945,-0.20862000207156073,0.054941727465228594
submission_jepa_axiscap_cap0p0_scale1p0.csv:target_Q2,0.00635983033706717,0.008158110662431392,0.7833613727325519,-1.0000000000000002,-0.14699144744107506,0.050014122619382935
submission_jepa_axiscap_cap0p0_scale1p0.csv:target_Q3,0.13984661136176527,0.165766559725535,0.10397728852734277,0.23824743582323937,0.14494175087036348,0.08157916850730418
submission_jepa_axiscap_cap0p0_scale1p0.csv:target_S1,0.10405409334780899,0.14979679192830395,0.018597630267331154,-0.11620843856185349,-0.10033624589897978,0.019108154758488333
submission_jepa_axiscap_cap0p0_scale1p0.csv:target_S2,0.13717328626093098,0.1564621685887528,0.16818704110985905,-0.21161962875848062,-0.19175540172972175,0.11657114803611468
submission_jepa_axiscap_cap0p0_scale1p0.csv:target_S3,0.13401116455702225,0.166641722897496,-0.013088492589275873,-0.13283800707955193,-0.1075167773803372,-0.007611729091418242
submission_jepa_axiscap_cap0p0_scale1p0.csv:target_S4,0.12178417976527742,0.1451758740496834,0.11534480309892198,0.43922827050564084,0.38085896210369236,0.06431619235414275
submission_jepa_axiscap_cap0p1_scale1p0.csv,0.11506853163339344,0.15090260677663025,0.034773854047949214,0.12385401522469226,0.09999999999999988,0.022445279054484304
submission_jepa_axiscap_cap0p1_scale1p0.csv:target_Q1,0.15780243546492087,0.18021268140187163,0.04573804120257944,-0.11571538426289113,-0.10862000207156103,0.026127186223691253
