candidate,target,base_loss,candidate_loss,delta_vs_base
safe,Q1,0.5746308240745168,0.5655343388455869,-0.009096485228929918
safe,Q2,0.6429986926145494,0.6346219971073856,-0.0083766955071638
safe,Q3,0.6303484889503163,0.619653327940522,-0.010695161009794285
safe,S1,0.47894327588040597,0.472358535043706,-0.006584740836699965
safe,S2,0.5389534496173579,0.5325081738781553,-0.006445275739202616
safe,S3,0.5034376794790675,0.4999611338099434,-0.003476545669124087
safe,S4,0.6034040622125061,0.6006585574448,-0.002745504767706075
safe,mean,0.5675309246898171,0.5607565805814428,-0.006774344108374297
risky_top,Q1,0.5746308240745168,0.5655343388455869,-0.009096485228929918
risky_top,Q2,0.6429986926145494,0.6346219971073856,-0.0083766955071638
risky_top,Q3,0.6303484889503163,0.619653327940522,-0.010695161009794285
risky_top,S1,0.47894327588040597,0.472358535043706,-0.006584740836699965
risky_top,S2,0.5389534496173579,0.5325081738781553,-0.006445275739202616
risky_top,S3,0.5034376794790675,0.4999611338099434,-0.003476545669124087
risky_top,S4,0.6034040622125061,0.6006585574448,-0.002745504767706075
risky_top,mean,0.5675309246898171,0.5607565805814428,-0.006774344108374297
