block_mode,family,k,context_variant,Q1,Q2,Q3,S1,S2,S3,S4,mean_pred_r2
submission_like,label_rate,10,past_label,0.019840430291813593,0.12915345959223823,0.09882808211685634,0.18413701734328758,0.2913452829330334,0.2705840834307165,0.104702865415649,0.1569416030176564
submission_like,label_rate,10,prior_label,-0.09305467402862644,0.03592719548446677,0.07959639359650172,0.26043290441881695,0.3293671481304926,0.35086229671619473,0.034942301333347414,0.14258193795017055
fixed_4,label_rate,10,prior_label,-0.004037284404578401,-0.379366826552084,0.045189207231158046,0.26289955250432995,0.3505554280684835,0.4696917094609864,0.09891910712892993,0.12055012763388935
submission_like,label_rate,8,past_label,-0.0981727650551465,0.03011021131028424,0.09883580490134825,0.12023438119425967,0.26316964511905294,0.3154911854369372,0.11169306657473099,0.12019450421163812
fixed_2,label_rate,10,prior_label,0.06950928307986648,-0.06387775434505794,-0.00016118158212874434,0.18644481019604753,0.1980592631794733,0.33033598381054596,0.09797482277554936,0.11689788958775657
submission_like,teacher_hybrid,10,past_label,0.058597193850389084,0.054544352662241,0.01943854183662086,0.1614118627985074,0.14824594822026982,0.3671623222480972,-0.00878228409851256,0.11437399107394468
submission_like,raw_mean,8,prior_label,-0.11849282501280567,-0.014155949134851298,0.0014873691904497832,0.1791526572494737,0.17878206533773078,0.31442990110802316,0.09363224041558416,0.09069077987908637
fixed_6,label_state,8,prior_label,-0.024628013687417738,-0.3999667674450649,0.05453225392140337,0.11482994284827064,0.17993406966840708,0.2619793593594596,0.09085260494850267,0.039647635659080104
