context_variant,semantic_family,semantic_k,coarse_family,coarse_k,mode,folds,semantic_logloss,semantic_acc,oracle_rate_r2,pred_rate_r2,pred_rate_rmse,pred_rate_cos,two_level_score,direct_logloss,direct_acc,direct_pred_rate_r2,delta_logloss_vs_direct,delta_pred_rate_r2_vs_direct
full_strict,label_rate,10,raw_mean,8,coarse_prob_only,4,2.040768568825701,0.24345238095238095,0.3471184888183474,0.02099312760709296,0.3135761618614197,0.9091924279928207,-0.07342800584738217,4.207200358675042,0.25257936507936507,-0.27651421067798154,-2.166431789849341,0.2975073382850745
full_strict,label_rate,10,raw_mean,4,coarse_prob_only,4,2.1308200662182912,0.21656746031746033,0.3471184888183474,-0.02848981487407118,0.3207397609949112,0.9069770276546478,-0.09883219289919998,4.207200358675042,0.25257936507936507,-0.27651421067798154,-2.0763802924567507,0.24802439580391036
full_strict,label_rate,10,teacher_hybrid,10,coarse_prob_only,4,2.1424906479096046,0.23095238095238096,0.3471184888183474,-0.04142540420207155,0.32275208085775375,0.9063821136951447,-0.09776528742186319,4.207200358675042,0.25257936507936507,-0.27651421067798154,-2.0647097107654373,0.23508880647591
full_strict,label_rate,8,raw_mean,8,coarse_prob_only,4,1.7860581602959669,0.2865079365079365,0.3338681877355345,0.011834669209646709,0.3150578662753105,0.9089111685752869,-0.032698572188501404,4.21835110060023,0.28402777777777777,-0.19948460687415437,-2.432292940304263,0.21131927608380108
full_strict,label_rate,10,hybrid_raw,4,coarse_prob_only,4,2.2600414226164536,0.10664682539682539,0.3471184888183474,-0.09483681045908421,0.33116503059864044,0.9000007808208466,-0.1408971480264314,4.207200358675042,0.25257936507936507,-0.27651421067798154,-1.9471589360585884,0.18167740021889733
full_strict,label_rate,8,raw_mean,4,coarse_prob_only,4,1.8954346756769953,0.19424603174603172,0.3338681877355345,-0.034433835809847546,0.32182831317186356,0.9063243418931961,-0.07136651387913971,4.21835110060023,0.28402777777777777,-0.19948460687415437,-2.3229164249232346,0.16505077106430682
full_strict,label_rate,8,teacher_hybrid,10,coarse_prob_only,4,1.9000446155399615,0.24007936507936506,0.3338681877355345,-0.038518023131421414,0.32250186055898666,0.9061844348907471,-0.06290532889216288,4.21835110060023,0.28402777777777777,-0.19948460687415437,-2.318306485060268,0.16096658374273295
full_strict,label_state,10,teacher_hybrid,10,coarse_prob_only,4,2.2412856462555397,0.3213293650793651,0.16468109996957905,-0.027193807261097436,0.32080256938934326,0.9067308604717255,-0.14008361288289062,4.628441031168187,0.264484126984127,-0.168493749101351,-2.387155384912647,0.14129994184025357
full_strict,label_state,10,raw_mean,8,coarse_prob_only,4,2.1356204268099783,0.18700396825396826,0.16468109996957905,-0.03373774507666244,0.3222890645265579,0.9044565856456757,-0.15132633681374077,4.628441031168187,0.264484126984127,-0.168493749101351,-2.4928206043582084,0.13475600402468857
full_strict,label_state,10,raw_mean,4,coarse_prob_only,4,2.182188136280555,0.14553571428571427,0.16468109996957905,-0.052175658022505955,0.32470330595970154,0.9042702913284302,-0.16662377345970258,4.628441031168187,0.264484126984127,-0.168493749101351,-2.446252894887632,0.11631809107884505
