target,n_selected,inner_delta_mean,holdout_delta_mean,holdout_delta_median,holdout_win_rate
S4,4,-0.00693599217911281,0.002776291174288903,0.005502468389508464,0.25
S1,4,-0.006427826661568506,0.004330226626968664,0.006898432792968506,0.25
S3,4,-0.004520760389881473,0.006115925677199444,0.004497940445510551,0.0
S2,4,-0.008223471686231387,0.007258971371129852,0.005870174363325209,0.25
Q1,4,-0.007104976584699135,0.00792759829465392,0.0072923626326567015,0.0
Q2,4,-0.009463347258596128,0.009126356800995272,0.008847701963507648,0.0
Q3,4,-0.005906724674467234,0.015381803964849422,0.007428919923518351,0.0
