target,feature,mode,c_value,best_weight,base_loss,best_loss,delta_vs_base,mean_delta,median_delta,p25_delta,p75_delta,win_rate,mean_selected_weight,zero_weight_rate,passes
Q1,rawijepa__z21,subject_rank,0.2,0.3,0.5746308240745168,0.5735371960962167,-0.001093627978300149,0.00037162478793399786,0.0,-0.000855708972858249,0.0008619659499895516,0.4307692307692308,0.25576923076923075,0.23076923076923078,False
Q1,rawijepa__z17,subject_rank,0.2,0.3,0.5746308240745168,0.5740175974757346,-0.0006132265987822683,0.0004919740838438397,0.0,-0.0005571138737019143,0.0011216181335105269,0.4307692307692308,0.23019230769230767,0.22692307692307692,False
Q1,rawijepa__z49,subject_rank,0.2,0.2,0.5746308240745168,0.5741959692796912,-0.00043485479482563427,0.0008347441681527418,0.0,-0.00015073462240822177,0.001970519505783197,0.28076923076923077,0.20176923076923076,0.3346153846153846,False
Q1,rawijepa__z17,subject_z,0.2,0.2,0.5746308240745168,0.574203798277534,-0.0004270257969828384,0.0006711979187084562,0.0,-0.00030667907772419234,0.00142877835523203,0.3576923076923077,0.21315384615384617,0.25769230769230766,False
Q1,rawijepa__z17,subject_center,0.2,0.2,0.5746308240745168,0.5742714810178495,-0.00035934305666729394,0.0007463127271740627,0.0,-0.00017403503563950817,0.0016925471120690094,0.29615384615384616,0.20515384615384616,0.2923076923076923,False
Q1,rawijepa__z21,subject_rank,0.05,0.15,0.5746308240745168,0.5743317594872128,-0.00029906458730399876,0.0012091394710636698,0.0,0.0,0.0025569988882911954,0.21153846153846154,0.18246153846153845,0.38461538461538464,False
Q1,rawijepa__z21,subject_center,0.2,0.15,0.5746308240745168,0.5744144392647448,-0.0002163848097720411,0.0008952104677262079,0.0,0.0,0.0012961982061307775,0.23076923076923078,0.18903846153846157,0.3576923076923077,False
S2,rawijepa__z04,subject_z,0.2,0.2,0.5389534496173579,0.5387508780469359,-0.00020257157042202767,0.0005139491797765561,0.0,0.0,0.0011375093089077692,0.23461538461538461,0.23380769230769233,0.27307692307692305,False
Q1,rawijepa__z49,subject_z,0.2,0.1,0.5746308240745168,0.5745350611335789,-9.576294093793791e-05,0.0010084583396092208,0.0,0.0,0.0011827363143167846,0.13846153846153847,0.15453846153846157,0.4269230769230769,False
Q1,rawijepa__z17,subject_rank,0.05,0.1,0.5746308240745168,0.5745474268379993,-8.339723651751285e-05,0.0009127456595556873,0.0,0.0,0.001372389303659488,0.1346153846153846,0.13957692307692307,0.4423076923076923,False
Q1,rawijepa__z49,subject_rank,0.05,0.08,0.5746308240745168,0.574562196303304,-6.862777121285912e-05,0.001045405443014366,0.0,0.0,0.0015282151826724322,0.13846153846153847,0.13684615384615387,0.45,False
S2,rawijepa__z39,subject_rank,0.2,0.1,0.5389534496173579,0.5388871519443694,-6.629767298849121e-05,0.0010744674406188612,2.7034587609664484e-06,0.0,0.0022155762863306228,0.06923076923076923,0.19488461538461538,0.4269230769230769,False
S2,rawijepa__z39,subject_center,0.2,0.08,0.5389534496173579,0.5389277366716599,-2.5712945697975442e-05,0.0007796025168640201,0.0,0.0,0.0019068312671426113,0.1423076923076923,0.17734615384615385,0.4076923076923077,False
S2,rawijepa__z39,subject_z,0.2,0.08,0.5389534496173579,0.5389300740984517,-2.3375518906187942e-05,0.000993821604901172,6.388946766522352e-06,0.0,0.0023470502725763676,0.06923076923076923,0.17957692307692308,0.4307692307692308,False
Q1,rawijepa__z17,subject_z,0.05,0.03,0.5746308240745168,0.5746219080496386,-8.91602487818055e-06,0.0009732093018623403,0.0,0.0,0.0008583150216439073,0.03461538461538462,0.118,0.5038461538461538,False
S4,rawijepa__z45,subject_center,0.05,0.03,0.6034040622125061,0.6033956000845443,-8.462127961794685e-06,0.0009880872417521937,0.0,0.0,0.0009765028631859851,0.09615384615384616,0.1118076923076923,0.5,False
Q1,rawijepa__z53,subject_rank,0.2,0.03,0.5746308240745168,0.5746233559405838,-7.468133933041798e-06,0.0007037036099326279,0.0,0.0,0.0006452406522909071,0.011538461538461539,0.1088846153846154,0.5576923076923077,False
S4,rawijepa__z56,subject_center,0.2,0.03,0.6034040622125061,0.6033998548777225,-4.207334783568051e-06,0.0016802886696715173,0.0,0.0,0.0036595672718220396,0.038461538461538464,0.1733846153846154,0.5115384615384615,False
S1,rawijepa__z16,subject_rank,0.2,0.02,0.47894327588040597,0.4789413371989205,-1.9386814854582823e-06,0.0005887445564544973,0.0,0.0,0.0009119902493759657,0.026923076923076925,0.1365,0.5269230769230769,False
S2,rawijepa__z39,global_z,0.2,0.02,0.5389534496173579,0.5389527369213687,-7.12695989224521e-07,0.0007494956434083532,0.0,0.0,0.0012359570846594004,0.03076923076923077,0.15684615384615386,0.4807692307692308,False
S4,rawijepa__z45,subject_center,0.2,0.02,0.6034040622125061,0.6034039806065851,-8.160592102068875e-08,0.0014224624750105365,0.0,0.0,0.0018852346653392138,0.0,0.13999999999999999,0.5346153846153846,False
Q1,rawijepa__z17,subject_center,0.05,0.0,0.5746308240745168,0.5746308240745168,0.0,0.0,,,,0.0,,,False
Q1,rawijepa__z49,subject_z,0.05,0.0,0.5746308240745168,0.5746308240745168,0.0,0.0,,,,0.0,,,False
Q1,rawijepa__z53,subject_rank,0.05,0.0,0.5746308240745168,0.5746308240745168,0.0,0.0,,,,0.0,,,False
Q1,rawijepa__z21,subject_center,0.05,0.0,0.5746308240745168,0.5746308240745168,0.0,0.0,,,,0.0,,,False
Q2,rawijepa__z54,subject_rank,0.05,0.0,0.6429986926145494,0.6429986926145494,0.0,0.0,,,,0.0,,,False
Q2,rawijepa__z54,subject_rank,0.2,0.0,0.6429986926145494,0.6429986926145494,0.0,0.0,,,,0.0,,,False
Q2,rawijepa__z54,subject_center,0.05,0.0,0.6429986926145494,0.6429986926145494,0.0,0.0,,,,0.0,,,False
Q2,rawijepa__z54,subject_center,0.2,0.0,0.6429986926145494,0.6429986926145494,0.0,0.0,,,,0.0,,,False
Q2,rawijepa__z54,subject_z,0.05,0.0,0.6429986926145494,0.6429986926145494,0.0,0.0,,,,0.0,,,False
Q2,rawijepa__z54,subject_z,0.2,0.0,0.6429986926145494,0.6429986926145494,0.0,0.0,,,,0.0,,,False
Q2,rawijepa__z54,global_z,0.05,0.0,0.6429986926145494,0.6429986926145494,0.0,0.0,,,,0.0,,,False
Q2,rawijepa__z54,global_z,0.2,0.0,0.6429986926145494,0.6429986926145494,0.0,0.0,,,,0.0,,,False
Q2,rawijepa__z37,global_z,0.05,0.0,0.6429986926145494,0.6429986926145494,0.0,0.0,,,,0.0,,,False
Q2,rawijepa__z37,global_z,0.2,0.0,0.6429986926145494,0.6429986926145494,0.0,0.0,,,,0.0,,,False
Q2,rawijepa__z37,subject_rank,0.05,0.0,0.6429986926145494,0.6429986926145494,0.0,0.0,,,,0.0,,,False
Q2,rawijepa__z37,subject_rank,0.2,0.0,0.6429986926145494,0.6429986926145494,0.0,0.0,,,,0.0,,,False
Q2,rawijepa__z57,subject_rank,0.05,0.0,0.6429986926145494,0.6429986926145494,0.0,0.0,,,,0.0,,,False
Q2,rawijepa__z57,subject_rank,0.2,0.0,0.6429986926145494,0.6429986926145494,0.0,0.0,,,,0.0,,,False
Q2,rawijepa__z37,subject_z,0.05,0.0,0.6429986926145494,0.6429986926145494,0.0,0.0,,,,0.0,,,False
Q2,rawijepa__z37,subject_z,0.2,0.0,0.6429986926145494,0.6429986926145494,0.0,0.0,,,,0.0,,,False
Q3,rawijepa__z08,subject_rank,0.05,0.0,0.6303484889503163,0.6303484889503163,0.0,0.0,,,,0.0,,,False
Q3,rawijepa__z08,subject_rank,0.2,0.0,0.6303484889503163,0.6303484889503163,0.0,0.0,,,,0.0,,,False
Q3,rawijepa__z61,subject_center,0.05,0.0,0.6303484889503163,0.6303484889503163,0.0,0.0,,,,0.0,,,False
Q3,rawijepa__z61,subject_center,0.2,0.0,0.6303484889503163,0.6303484889503163,0.0,0.0,,,,0.0,,,False
Q3,rawijepa__z41,subject_center,0.05,0.0,0.6303484889503163,0.6303484889503163,0.0,0.0,,,,0.0,,,False
Q3,rawijepa__z41,subject_center,0.2,0.0,0.6303484889503163,0.6303484889503163,0.0,0.0,,,,0.0,,,False
Q3,rawijepa__z33,subject_center,0.05,0.0,0.6303484889503163,0.6303484889503163,0.0,0.0,,,,0.0,,,False
Q3,rawijepa__z33,subject_center,0.2,0.0,0.6303484889503163,0.6303484889503163,0.0,0.0,,,,0.0,,,False
Q3,rawijepa__z40,subject_rank,0.05,0.0,0.6303484889503163,0.6303484889503163,0.0,0.0,,,,0.0,,,False
Q3,rawijepa__z40,subject_rank,0.2,0.0,0.6303484889503163,0.6303484889503163,0.0,0.0,,,,0.0,,,False
Q3,rawijepa__z33,subject_rank,0.05,0.0,0.6303484889503163,0.6303484889503163,0.0,0.0,,,,0.0,,,False
