fold,block_mode,family,k,context_variant,train_blocks,val_blocks,mean_val_len,proto_logloss,proto_acc,proto_predictability,balance_entropy_norm,oracle_rate_r2,oracle_rate_rmse,oracle_rate_cos,pred_rate_r2,pred_rate_rmse,pred_rate_cos
geom_r00,submission_like,time_meta,4,meta_only,322,22,6.045454545454546,0.05595007557212861,1.0,0.9596405517173636,0.9744322078249619,-0.0842864682980391,0.3488134741783142,0.8668254613876343,-0.08373415663532269,0.3487246334552765,0.8670960068702698
geom_r00,submission_like,time_meta,4,past_raw,322,22,6.045454545454546,0.1125559050554758,0.9545454545454546,0.9188080769768481,0.9744322078249619,-0.0842864682980391,0.3488134741783142,0.8668254613876343,-0.07836269392993578,0.34785932302474976,0.8677389025688171
geom_r00,submission_like,time_meta,4,future_raw,322,22,6.045454545454546,0.04041569157700219,1.0,0.9708462410938805,0.9744322078249619,-0.0842864682980391,0.3488134741783142,0.8668254613876343,-0.07972813109609578,0.34807950258255005,0.8672400116920471
geom_r00,submission_like,time_meta,4,bidir_raw,322,22,6.045454545454546,0.1295996272929956,0.9545454545454546,0.9065136302016686,0.9744322078249619,-0.0842864682980391,0.3488134741783142,0.8668254613876343,-0.0836304050440051,0.348707914352417,0.8667089939117432
geom_r00,submission_like,time_meta,4,prior_raw,322,22,6.045454545454546,0.0771087976901954,1.0,0.9443777599817224,0.9744322078249619,-0.0842864682980391,0.3488134741783142,0.8668254613876343,-0.08114698929438102,0.34830811619758606,0.8674383759498596
geom_r00,submission_like,time_meta,4,past_label,322,22,6.045454545454546,0.04407166730645933,1.0,0.9682090120666315,0.9744322078249619,-0.0842864682980391,0.3488134741783142,0.8668254613876343,-0.08307478216028907,0.3486185073852539,0.8671207427978516
geom_r00,submission_like,time_meta,4,future_label,322,22,6.045454545454546,0.032765808587971075,1.0,0.9763644652197085,0.9744322078249619,-0.0842864682980391,0.3488134741783142,0.8668254613876343,-0.08119687835744016,0.34831616282463074,0.8671108484268188
geom_r00,submission_like,time_meta,4,bidir_label,322,22,6.045454545454546,0.038549684780186,1.0,0.9721922804698965,0.9744322078249619,-0.0842864682980391,0.3488134741783142,0.8668254613876343,-0.08059776810459751,0.348219633102417,0.8672009110450745
geom_r00,submission_like,time_meta,4,prior_label,322,22,6.045454545454546,0.05741008591306745,1.0,0.9585873768781041,0.9744322078249619,-0.0842864682980391,0.3488134741783142,0.8668254613876343,-0.08347389466476196,0.3486827313899994,0.8671562671661377
geom_r00,submission_like,time_meta,4,bidir_all,322,22,6.045454545454546,0.1430683934925922,0.9545454545454546,0.8967979691001432,0.9744322078249619,-0.0842864682980391,0.3488134741783142,0.8668254613876343,-0.08248417070801195,0.34852343797683716,0.8668151497840881
geom_r00,submission_like,time_meta,4,prior_all,322,22,6.045454545454546,0.08182586307592872,1.0,0.9409751165619491,0.9744322078249619,-0.0842864682980391,0.3488134741783142,0.8668254613876343,-0.08094699154601126,0.34827589988708496,0.8674718737602234
geom_r00,submission_like,time_meta,4,full_strict,322,22,6.045454545454546,0.17531260533716078,0.8636363636363636,0.8735386868373771,0.9744322078249619,-0.0842864682980391,0.3488134741783142,0.8668254613876343,-0.08207225481567426,0.34845712780952454,0.8669140338897705
geom_r00,submission_like,time_meta,8,meta_only,322,22,6.045454545454546,0.5843943540172514,0.7727272727272727,0.7189657211786007,0.9690906861178499,-0.17139453838378427,0.3625541031360626,0.8581421375274658,-0.14397365504273574,0.35828548669815063,0.8600545525550842
geom_r00,submission_like,time_meta,8,past_raw,322,22,6.045454545454546,0.39119462130871896,0.9545454545454546,0.811875153271825,0.9690906861178499,-0.17139453838378427,0.3625541031360626,0.8581421375274658,-0.14685552105263278,0.358736515045166,0.8607205748558044
geom_r00,submission_like,time_meta,8,future_raw,322,22,6.045454545454546,0.5167479963384258,0.8636363636363636,0.7514967427644149,0.9690906861178499,-0.17139453838378427,0.3625541031360626,0.8581421375274658,-0.17866851830144959,0.3636780381202698,0.8562071323394775
geom_r00,submission_like,time_meta,8,bidir_raw,322,22,6.045454545454546,0.6743849285791884,0.8181818181818182,0.6756894026295157,0.9690906861178499,-0.17139453838378427,0.3625541031360626,0.8581421375274658,-0.1526598707166873,0.3596431612968445,0.8596223592758179
geom_r00,submission_like,time_meta,8,prior_raw,322,22,6.045454545454546,0.24583027773847774,0.9090909090909091,0.8817806258021139,0.9690906861178499,-0.17139453838378427,0.3625541031360626,0.8581421375274658,-0.13218129332318784,0.35643407702445984,0.8629615902900696
geom_r00,submission_like,time_meta,8,past_label,322,22,6.045454545454546,0.6758653899972277,0.7272727272727273,0.6749774511808382,0.9690906861178499,-0.17139453838378427,0.3625541031360626,0.8581421375274658,-0.14011652407445307,0.3576809763908386,0.8611361980438232
geom_r00,submission_like,time_meta,8,future_label,322,22,6.045454545454546,0.6177827198961106,0.7727272727272727,0.7029093112196618,0.9690906861178499,-0.17139453838378427,0.3625541031360626,0.8581421375274658,-0.11855451516991744,0.35428258776664734,0.864659309387207
geom_r00,submission_like,time_meta,8,bidir_label,322,22,6.045454545454546,0.6582564271937765,0.8181818181818182,0.6834455722847506,0.9690906861178499,-0.17139453838378427,0.3625541031360626,0.8581421375274658,-0.12703698037836664,0.35562336444854736,0.8636675477027893
