fold,target,feature,mode,c_value,weight,base_loss,best_loss,inner_delta,corr
geom_r00,Q1,jepa_modality__prectx_other__cos,subject_z,0.2,0.45,0.574336124777731,0.5589478963617038,-0.015388228416027161,0.23265660601246074
geom_r00,Q1,jepa_modality__prectx_other__cos,subject_center,0.2,0.45,0.574336124777731,0.5594081298570907,-0.014927994920640342,0.23843075342241268
geom_r00,Q1,jepa_modality__prectx_other__cos,global_z,0.2,0.45,0.574336124777731,0.5637864214872838,-0.010549703290447243,0.2171535152667044
geom_r00,Q1,jepa_modality__prectx_other__cos,subject_z,0.05,0.45,0.574336124777731,0.563967097939655,-0.010369026838075945,0.23265660601246074
geom_r00,Q1,jepa_modality__ambience__resid_norm,subject_rank,0.2,0.45,0.574336124777731,0.5644902363408679,-0.00984588843686307,-0.2131382920905492
geom_r00,Q1,jepa_modality__prectx_other__cos,subject_rank,0.2,0.45,0.574336124777731,0.5650365259687105,-0.009299598809020537,0.20492341790705226
geom_r00,Q1,jepa_modality__prectx_other__cos,subject_center,0.05,0.45,0.574336124777731,0.565164799510816,-0.009171325266914998,0.23843075342241268
geom_r00,Q1,jepa_modality__prectx_other__cos,global_z,0.05,0.45,0.574336124777731,0.5681701493957386,-0.006165975381992372,0.2171535152667044
geom_r00,Q1,jepa_modality__ambience__resid_norm,subject_rank,0.05,0.45,0.574336124777731,0.5681960757340694,-0.006140049043661611,-0.2131382920905492
geom_r00,Q1,jepa_modality__prectx_other__cos,subject_rank,0.05,0.45,0.574336124777731,0.5694472901231643,-0.004888834654566687,0.20492341790705226
geom_r00,Q2,jepa_grid__usage__early__resid,subject_center,0.2,0.45,0.6407483580889854,0.6272820727841184,-0.013466285304867043,0.22331929827066133
geom_r00,Q2,jepa_grid__usage__early__resid,global_z,0.2,0.45,0.6407483580889854,0.6292183910232287,-0.011529967065756708,0.21676604133576022
geom_r00,Q2,jepa_grid__usage__early__resid,subject_z,0.2,0.45,0.6407483580889854,0.629312322408752,-0.011436035680233436,0.20973753045290175
geom_r00,Q2,jepa_grid__usage__early__resid,subject_rank,0.2,0.45,0.6407483580889854,0.6294380436808683,-0.01131031440811714,0.2085704908789068
geom_r00,Q2,jepa_temporal__resid_pc2,subject_center,0.2,0.45,0.6407483580889854,0.6323448293298872,-0.008403528759098222,0.20564763997790386
geom_r00,Q2,jepa_grid__usage__early__resid,subject_center,0.05,0.45,0.6407483580889854,0.632722814546518,-0.008025543542467428,0.22331929827066133
geom_r00,Q2,jepa_grid__usage__early__resid,subject_z,0.05,0.45,0.6407483580889854,0.634461243652468,-0.006287114436517416,0.20973753045290175
geom_r00,Q2,jepa_grid__usage__early__resid,subject_rank,0.05,0.45,0.6407483580889854,0.6345458386345382,-0.006202519454447275,0.2085704908789068
geom_r00,Q2,jepa_grid__usage__early__resid,global_z,0.05,0.45,0.6407483580889854,0.6346840573792673,-0.006064300709718196,0.21676604133576022
geom_r00,Q2,jepa_temporal__resid_pc2,subject_center,0.05,0.45,0.6407483580889854,0.6364898007497263,-0.0042585573392591725,0.20564763997790386
geom_r00,Q3,jepa_sensor_time__prectx_usage__pre6h__resid_pc2,global_z,0.2,0.45,0.6454001299883209,0.6364418368994945,-0.008958293088826341,0.1944566536752112
