target,feature,mode,c_value,weight,delta_vs_base,mean_delta,win_rate
Q3,rtday_both_err_13,subject_z,0.5,0.45,-0.0048496986411660226,-0.002069636989147748,0.6384615384615384
S2,rtday_both_pred_02,subject_rank,0.5,0.45,-0.0038406007783425844,-0.002691681990245353,0.8269230769230769
S4,rtday_next_abserr_10,subject_center,0.5,0.45,-0.0037067241600931,-0.0014983804884276773,0.6384615384615384
S3,rtmod_w2m_abserr_09,subject_rank,0.5,0.45,-0.003678105985036595,-0.0031433144135221314,0.9307692307692308
Q1,rtday_next_pred_09,subject_center,0.5,0.45,-0.0021196410234146645,-0.0010637341014266418,0.7038461538461539
S1,rtday_prev_pred_09,subject_rank,0.5,0.45,-0.0018179511817449368,-0.0009385133476145028,0.7230769230769231
Q2,rtwin_context_02,subject_center,0.2,0.05,-4.916277746469522e-05,0.002424859761305185,0.08846153846153847
