candidate,cv_mode,method,group,strength,scale,oof_loss,oof_delta_vs_stage2,bad_axis_projection_ratio,good_axis_projection_ratio
submission_transductive_episode_count_jepa_subject_chunk_label_ctx_ridge10_core_q_s23_st0p25_sc0p35.csv,subject_chunk,label_ctx_ridge10,core_q_s23,0.25,0.35,0.5669934753590271,-0.0005374493307900297,0.0027447593323066777,-0.012285801249573264
submission_transductive_episode_count_jepa_subject_chunk_label_ctx_ridge10_q_only_st0p25_sc0p35.csv,subject_chunk,label_ctx_ridge10,q_only,0.25,0.35,0.5670058712673762,-0.0005250534224409131,0.009704620418101405,-0.00922014460619522
submission_transductive_episode_count_jepa_subject_chunk_label_ctx_ridge10_core_q_s23_st0p15_sc0p5.csv,subject_chunk,label_ctx_ridge10,core_q_s23,0.15,0.5,0.5670127328373836,-0.0005181918524335138,0.001879576485493762,-0.011117692355902648
submission_transductive_episode_count_jepa_subject_chunk_label_ctx_ridge10_q_only_st0p15_sc0p5.csv,subject_chunk,label_ctx_ridge10,q_only,0.15,0.5,0.5670293385349127,-0.0005015861549044764,0.008387931399839989,-0.00837344681953743
submission_transductive_episode_count_jepa_subject_chunk_label_ctx_ridge10_core_q_s23_st0p15_sc0p35.csv,subject_chunk,label_ctx_ridge10,core_q_s23,0.15,0.35,0.5670393157372093,-0.0004916089526078027,0.0013157035398455486,-0.007782384649131759
submission_transductive_episode_count_jepa_subject_chunk_label_ctx_ridge10_q_only_st0p35_sc0p35.csv,subject_chunk,label_ctx_ridge10,q_only,0.35,0.35,0.5670798204670388,-0.0004511042227783868,0.013535673045056495,-0.012145820382429486
submission_transductive_episode_count_jepa_subject_chunk_label_ctx_ridge10_q_only_st0p15_sc0p75.csv,subject_chunk,label_ctx_ridge10,q_only,0.15,0.75,0.5670852446144184,-0.00044568007539869114,0.012581897099759992,-0.012560170229306203
submission_transductive_episode_count_jepa_subject_chunk_label_ctx_ridge10_q_only_st0p15_sc0p35.csv,subject_chunk,label_ctx_ridge10,q_only,0.15,0.35,0.5670945764373975,-0.00043634825241967157,0.005871551979887999,-0.005861412773676221
submission_transductive_episode_count_jepa_subject_chunk_label_ctx_ridge10_q_only_st0p25_sc0p5.csv,subject_chunk,label_ctx_ridge10,q_only,0.25,0.5,0.5671156263299296,-0.00041529835988751707,0.013863743454430581,-0.0131716351517074
submission_transductive_episode_count_jepa_subject_chunk_label_ctx_ridge10_core_q_s23_st0p35_sc0p35.csv,subject_chunk,label_ctx_ridge10,core_q_s23,0.35,0.35,0.5671674083294103,-0.0003635163604068792,0.004566325312535478,-0.016313714308234663
