fold,family,k,context_variant,proto_logloss,proto_acc,oracle_rate_r2,oracle_rate_rmse,pred_rate_r2,pred_rate_rmse,pred_rate_cos,prototype_balance_min,prototype_balance_entropy
geom_r00,label_rate_only,4,strict_surround,3.0650570864319575,0.5217391304347826,0.20597940373784962,0.29759228229522705,-0.06415274467063159,0.3445146977901459,0.8742980360984802,55.0,1.368883490562439
geom_r00,label_rate_only,4,strict_labelonly,2.19363036787684,0.43478260869565216,0.20597940373784962,0.29759228229522705,-0.02946174277338942,0.3388526439666748,0.8744753003120422,55.0,1.368883490562439
geom_r00,label_rate_only,4,strict_prior,1.4468897762582387,0.5217391304347826,0.20597940373784962,0.29759228229522705,0.07770737264780525,0.32073038816452026,0.8854009509086609,55.0,1.368883490562439
geom_r00,label_rate_only,6,strict_surround,3.4908803026788684,0.4782608695652174,0.3014229422485092,0.2791341245174408,-0.04688701244158344,0.34170839190483093,0.8739925622940063,38.0,1.746711015701294
geom_r00,label_rate_only,6,strict_labelonly,1.9624297112750637,0.30434782608695654,0.3014229422485092,0.2791341245174408,0.06088212095147194,0.32364270091056824,0.8905688524246216,38.0,1.746711015701294
geom_r00,label_rate_only,6,strict_prior,2.534071305507554,0.4782608695652174,0.3014229422485092,0.2791341245174408,0.03858171853899395,0.3274627923965454,0.8904438018798828,38.0,1.746711015701294
geom_r00,label_rate_only,8,strict_surround,5.301516171136573,0.30434782608695654,0.3505350877211617,0.26914331316947937,-0.01253930282351523,0.33605605363845825,0.8785249590873718,30.0,2.0645763874053955
geom_r00,label_rate_only,8,strict_labelonly,2.8770320341528066,0.2608695652173913,0.3505350877211617,0.26914331316947937,0.07792724115581584,0.32069218158721924,0.8981980681419373,30.0,2.0645763874053955
geom_r00,label_rate_only,8,strict_prior,3.6110386881492644,0.17391304347826086,0.3505350877211617,0.26914331316947937,0.07505036263433484,0.32119205594062805,0.8875049948692322,30.0,2.0645763874053955
geom_r00,label_rate_only,10,strict_surround,5.006828391482117,0.2608695652173913,0.33881758327758726,0.2715603709220886,-0.16594187951248252,0.3606153428554535,0.8600256443023682,9.0,2.239513397216797
geom_r00,label_rate_only,10,strict_labelonly,2.431992861767678,0.30434782608695654,0.33881758327758726,0.2715603709220886,0.07525376755841229,0.32115674018859863,0.8886223435401917,9.0,2.239513397216797
geom_r00,label_rate_only,10,strict_prior,3.2123521293293957,0.2608695652173913,0.33881758327758726,0.2715603709220886,0.0664835632888845,0.32267606258392334,0.8892080783843994,9.0,2.239513397216797
geom_r00,label_state,4,strict_surround,3.4279893833386375,0.5652173913043478,0.09299354478806476,0.31806138157844543,-0.0218811652138704,0.33760273456573486,0.8771038055419922,65.0,1.3684313297271729
geom_r00,label_state,4,strict_labelonly,1.463350116372571,0.5652173913043478,0.09299354478806476,0.31806138157844543,0.05876883407447786,0.3240066468715668,0.8816720843315125,65.0,1.3684313297271729
geom_r00,label_state,4,strict_prior,1.4804271837064682,0.6521739130434783,0.09299354478806476,0.31806138157844543,0.07525801622523376,0.32115599513053894,0.8824054598808289,65.0,1.3684313297271729
geom_r00,label_state,6,strict_surround,2.7885623593035502,0.5217391304347826,0.20468520671569768,0.29783469438552856,-0.10895366170287835,0.35169196128845215,0.8676599264144897,32.0,1.72408926486969
geom_r00,label_state,6,strict_labelonly,1.4421008813780696,0.5652173913043478,0.20468520671569768,0.29783469438552856,0.06673614653142024,0.32263240218162537,0.8896929025650024,32.0,1.72408926486969
geom_r00,label_state,6,strict_prior,1.9835998900237681,0.43478260869565216,0.20468520671569768,0.29783469438552856,0.0891558302649107,0.3187335729598999,0.8939492702484131,32.0,1.72408926486969
geom_r00,label_state,8,strict_surround,5.085921479460814,0.30434782608695654,0.19457226440558284,0.299722284078598,-0.11312765820495096,0.35235321521759033,0.8602504730224609,19.0,2.037052869796753
geom_r00,label_state,8,strict_labelonly,1.4969720227429975,0.43478260869565216,0.19457226440558284,0.299722284078598,0.08035291126085775,0.3202700614929199,0.8861103653907776,19.0,2.037052869796753
geom_r00,label_state,8,strict_prior,2.3561042965851953,0.34782608695652173,0.19457226440558284,0.299722284078598,0.08802037405687568,0.3189321756362915,0.8862565159797668,19.0,2.037052869796753
geom_r00,label_state,10,strict_surround,4.5682313111017905,0.34782608695652173,0.16774735047826184,0.30467256903648376,0.01652274661864539,0.33119815587997437,0.8827425241470337,14.0,2.174140691757202
geom_r00,label_state,10,strict_labelonly,2.670634582477653,0.391304347826087,0.16774735047826184,0.30467256903648376,0.09311399449245317,0.31804025173187256,0.8894769549369812,14.0,2.174140691757202
geom_r00,label_state,10,strict_prior,2.9773218294516566,0.2608695652173913,0.16774735047826184,0.30467256903648376,0.06401965518244945,0.32310160994529724,0.8836902379989624,14.0,2.174140691757202
geom_r00,window_state,4,strict_surround,0.8829133264875502,0.8695652173913043,-0.14003149111848057,0.35658591985702515,-0.057516964395534664,0.34343886375427246,0.87010657787323,39.0,1.1831433773040771
geom_r00,window_state,4,strict_labelonly,0.7077452973449777,0.8695652173913043,-0.14003149111848057,0.35658591985702515,-0.02391192173785761,0.3379380404949188,0.8748376369476318,39.0,1.1831433773040771
geom_r00,window_state,4,strict_prior,0.9632163880485258,0.8260869565217391,-0.14003149111848057,0.35658591985702515,-0.014079763196306105,0.33631157875061035,0.8770067095756531,39.0,1.1831433773040771
geom_r00,window_state,6,strict_surround,1.1225475538213394,0.6521739130434783,0.00736548880168264,0.3327364921569824,-0.023833108968319694,0.3379250168800354,0.8746761083602905,13.0,1.5761969089508057
geom_r00,window_state,6,strict_labelonly,0.6609881478693115,0.6521739130434783,0.00736548880168264,0.3327364921569824,-0.00025045890912500646,0.334010511636734,0.8779888153076172,13.0,1.5761969089508057
geom_r00,window_state,6,strict_prior,0.5127343320911666,0.7391304347826086,0.00736548880168264,0.3327364921569824,-0.006732543661955637,0.3350910246372223,0.8794222474098206,13.0,1.5761969089508057
geom_r00,window_state,8,strict_surround,2.6972274883112717,0.5217391304347826,-0.0739996673293879,0.3461049795150757,-0.0358062769378753,0.33989518880844116,0.8738515377044678,4.0,1.8191578388214111
geom_r00,window_state,8,strict_labelonly,1.0211572246198397,0.5652173913043478,-0.0739996673293879,0.3461049795150757,-0.02532821482279135,0.33817166090011597,0.8749824166297913,4.0,1.8191578388214111
geom_r00,window_state,8,strict_prior,1.2901741874279913,0.5652173913043478,-0.0739996673293879,0.3461049795150757,-0.024813913704053503,0.3380868434906006,0.8752468228340149,4.0,1.8191578388214111
geom_r00,window_state,10,strict_surround,2.69010663468159,0.4782608695652174,-0.10368127861078791,0.35085493326187134,-0.07598910556853644,0.3464253842830658,0.8696788549423218,2.0,2.1202290058135986
geom_r00,window_state,10,strict_labelonly,1.3188383751495518,0.5652173913043478,-0.10368127861078791,0.35085493326187134,0.02636743872732039,0.3295363187789917,0.8815491795539856,2.0,2.1202290058135986
geom_r00,window_state,10,strict_prior,1.5794746836860156,0.6086956521739131,-0.10368127861078791,0.35085493326187134,0.03634001570732126,0.3278443217277527,0.8823689818382263,2.0,2.1202290058135986
geom_r00,modality_state,4,strict_surround,1.286950464400805,0.782608695652174,-0.10527410380215318,0.35110801458358765,-0.12463899609101414,0.35417044162750244,0.8642622828483582,44.0,1.2828294038772583
geom_r00,modality_state,4,strict_labelonly,0.6075757130694731,0.782608695652174,-0.10527410380215318,0.35110801458358765,-0.16545030876123956,0.36053934693336487,0.860192596912384,44.0,1.2828294038772583
geom_r00,modality_state,4,strict_prior,0.7467731581429424,0.6956521739130435,-0.10527410380215318,0.35110801458358765,-0.12445003663412968,0.3541406989097595,0.8682212233543396,44.0,1.2828294038772583
geom_r00,modality_state,6,strict_surround,1.159752915923441,0.782608695652174,-0.1087403786284411,0.3516581654548645,0.030431500975387715,0.32884785532951355,0.8783842921257019,20.0,1.6577425003051758
geom_r00,modality_state,6,strict_labelonly,1.1855969186539657,0.7391304347826086,-0.1087403786284411,0.3516581654548645,0.05075882251597974,0.32538238167762756,0.8842862844467163,20.0,1.6577425003051758
geom_r00,modality_state,6,strict_prior,1.296992365588064,0.782608695652174,-0.1087403786284411,0.3516581654548645,0.06409602496856515,0.3230884373188019,0.8855370283126831,20.0,1.6577425003051758
geom_r00,modality_state,8,strict_surround,2.024790563142987,0.5652173913043478,-0.04830330552651718,0.3419394791126251,-0.027980232652746517,0.3386087119579315,0.8737277388572693,17.0,2.000692367553711
geom_r00,modality_state,8,strict_labelonly,1.1824620237199204,0.6521739130434783,-0.04830330552651718,0.3419394791126251,-0.009018113978559894,0.33547118306159973,0.8804515600204468,17.0,2.000692367553711
geom_r00,modality_state,8,strict_prior,1.1049287716388894,0.782608695652174,-0.04830330552651718,0.3419394791126251,0.0009230228669621088,0.3338145315647125,0.8794164061546326,17.0,2.000692367553711
geom_r00,modality_state,10,strict_surround,2.064671072078293,0.6086956521739131,-0.1656891900532762,0.3605762720108032,-0.1156964021652056,0.35275954008102417,0.8658837080001831,3.0,2.1108579635620117
geom_r00,modality_state,10,strict_labelonly,1.059171281003222,0.6956521739130435,-0.1656891900532762,0.3605762720108032,0.023657214161911133,0.32999467849731445,0.8823380470275879,3.0,2.1108579635620117
geom_r00,modality_state,10,strict_prior,1.2129033518456307,0.6956521739130435,-0.1656891900532762,0.3605762720108032,0.012474298221146984,0.3318791389465332,0.8800661563873291,3.0,2.1108579635620117
geom_r00,mean_latent,4,strict_surround,1.235371311171314,0.782608695652174,-0.09358718975969338,0.3492468297481537,-0.1091809653778264,0.35172802209854126,0.8645214438438416,43.0,1.2891130447387695
geom_r00,mean_latent,4,strict_labelonly,1.1624190207984653,0.782608695652174,-0.09358718975969338,0.3492468297481537,-0.14616699087535068,0.3575441837310791,0.8617163896560669,43.0,1.2891130447387695
geom_r00,mean_latent,4,strict_prior,1.0304103012580388,0.782608695652174,-0.09358718975969338,0.3492468297481537,-0.14062290554002788,0.35667839646339417,0.8627735376358032,43.0,1.2891130447387695
geom_r00,mean_latent,6,strict_surround,2.141949697087312,0.5217391304347826,-0.09055226083245405,0.3487618565559387,0.05091984698851304,0.32535478472709656,0.8867897987365723,22.0,1.6469464302062988
geom_r00,mean_latent,6,strict_labelonly,1.313140435048672,0.43478260869565216,-0.09055226083245405,0.3487618565559387,-0.011882671366258757,0.33594706654548645,0.8789795637130737,22.0,1.6469464302062988
geom_r00,mean_latent,6,strict_prior,1.3325717004233124,0.5217391304347826,-0.09055226083245405,0.3487618565559387,-0.01933398323773483,0.3371817171573639,0.8778330087661743,22.0,1.6469464302062988
geom_r00,mean_latent,8,strict_surround,1.671647085810669,0.6521739130434783,-0.020529558081293642,0.3373793959617615,0.07707240939133808,0.3208407759666443,0.8805879354476929,5.0,1.8889825344085693
geom_r00,mean_latent,8,strict_labelonly,1.0112250487794454,0.6521739130434783,-0.020529558081293642,0.3373793959617615,0.08000855681497843,0.32033002376556396,0.883597731590271,5.0,1.8889825344085693
geom_r00,mean_latent,8,strict_prior,1.5015973054831826,0.6956521739130435,-0.020529558081293642,0.3373793959617615,0.025438042860126076,0.32969358563423157,0.8793451189994812,5.0,1.8889825344085693
geom_r00,mean_latent,10,strict_surround,1.2477809692823487,0.6956521739130435,-0.01841648363764059,0.33702993392944336,0.055890999602962066,0.3245016038417816,0.8844299912452698,3.0,2.0278615951538086
geom_r00,mean_latent,10,strict_labelonly,0.900320027249112,0.6086956521739131,-0.01841648363764059,0.33702993392944336,0.06122328889723516,0.3235839009284973,0.886523962020874,3.0,2.0278615951538086
geom_r00,mean_latent,10,strict_prior,1.222302221937024,0.6956521739130435,-0.01841648363764059,0.33702993392944336,-0.012706700296280848,0.3360838294029236,0.8782581686973572,3.0,2.0278615951538086
geom_r00,hybrid_raw,4,strict_surround,1.0427344624216144,0.782608695652174,-0.018827967019299008,0.33709800243377686,-0.1030777554887996,0.35075899958610535,0.8666208386421204,34.0,1.2372840642929077
geom_r00,hybrid_raw,4,strict_labelonly,0.6333791688086422,0.782608695652174,-0.018827967019299008,0.33709800243377686,-0.015465359663454636,0.3365412652492523,0.8782293796539307,34.0,1.2372840642929077
geom_r00,hybrid_raw,4,strict_prior,0.6410267360572531,0.8695652173913043,-0.018827967019299008,0.33709800243377686,-0.005329102794156881,0.33485740423202515,0.8786908984184265,34.0,1.2372840642929077
geom_r00,hybrid_raw,6,strict_surround,1.2125814510970205,0.5652173913043478,-0.06353849366491904,0.34441524744033813,-0.03378816019768194,0.33956393599510193,0.8727291226387024,25.0,1.7310881614685059
geom_r00,hybrid_raw,6,strict_labelonly,0.7424242605060327,0.7391304347826086,-0.06353849366491904,0.34441524744033813,0.018136284060765284,0.3309263586997986,0.8801108598709106,25.0,1.7310881614685059
geom_r00,hybrid_raw,6,strict_prior,0.6856029919400232,0.7391304347826086,-0.06353849366491904,0.34441524744033813,0.02437651345478431,0.32987308502197266,0.8833188414573669,25.0,1.7310881614685059
geom_r00,hybrid_raw,8,strict_surround,1.1066970563515137,0.8260869565217391,0.02845162223658748,0.329183429479599,0.015290314590410414,0.3314056098461151,0.8817418217658997,1.0,1.8078298568725586
geom_r00,hybrid_raw,8,strict_labelonly,0.6341998921409447,0.8695652173913043,0.02845162223658748,0.329183429479599,0.0236452116781406,0.3299967050552368,0.8826045989990234,1.0,1.8078298568725586
geom_r00,hybrid_raw,8,strict_prior,0.6870693139365853,0.8260869565217391,0.02845162223658748,0.329183429479599,0.017798939915141365,0.3309831917285919,0.8828117251396179,1.0,1.8078298568725586
geom_r00,hybrid_raw,10,strict_surround,2.923348379412057,0.4782608695652174,0.0607864197313186,0.32365918159484863,-0.035503346993505325,0.3398454785346985,0.8719656467437744,5.0,2.1672768592834473
geom_r00,hybrid_raw,10,strict_labelonly,1.3127303903670664,0.6956521739130435,0.0607864197313186,0.32365918159484863,-0.006650650608972075,0.3350774049758911,0.8752723336219788,5.0,2.1672768592834473
geom_r00,hybrid_raw,10,strict_prior,1.9367955013709608,0.7391304347826086,0.0607864197313186,0.32365918159484863,0.017555916172953934,0.331024169921875,0.8798896670341492,5.0,2.1672768592834473
geom_r00,hybrid_oracle,4,strict_surround,1.8121989562141965,0.5652173913043478,-0.004206180153245143,0.3346703350543976,-0.013910347606800322,0.33628347516059875,0.8769161105155945,19.0,1.2605996131896973
geom_r00,hybrid_oracle,4,strict_labelonly,0.4731051135634742,0.782608695652174,-0.004206180153245143,0.3346703350543976,-0.00179155658193908,0.3342677354812622,0.8765712976455688,19.0,1.2605996131896973
geom_r00,hybrid_oracle,4,strict_prior,0.7487405460411307,0.782608695652174,-0.004206180153245143,0.3346703350543976,0.023193259745007744,0.3300730586051941,0.8778406381607056,19.0,1.2605996131896973
geom_r00,hybrid_oracle,6,strict_surround,1.6926943069128613,0.6086956521739131,-0.06702016990843496,0.34497854113578796,-0.09591269754441933,0.34961795806884766,0.8645567893981934,12.0,1.6244211196899414
geom_r00,hybrid_oracle,6,strict_labelonly,0.8446591135339715,0.7391304347826086,-0.06702016990843496,0.34497854113578796,-0.059327852411511506,0.3437328040599823,0.8703019618988037,12.0,1.6244211196899414
geom_r00,hybrid_oracle,6,strict_prior,0.9878943085417218,0.6956521739130435,-0.06702016990843496,0.34497854113578796,-0.034043292640310696,0.33960580825805664,0.8748635649681091,12.0,1.6244211196899414
