experiment,alpha,weight,base_loss,candidate_loss,delta,win_rate
qrank_count_jepa,1.0,0.0,0.6140664117826046,0.6140664117826046,0.0,0.0
qrank_count_jepa,100.0,0.0,0.6140664117826046,0.6140664117826046,0.0,0.0
qrank_count_jepa,10.0,0.0,0.6140664117826046,0.6140664117826046,0.0,0.0
qrank_count_jepa,100.0,0.05,0.6140664117826046,0.614977000967781,0.0009105891851763821,0.25
qrank_count_jepa,10.0,0.05,0.6140664117826046,0.6150518273803985,0.0009854155977939334,0.25
qrank_count_jepa,1.0,0.05,0.6140664117826046,0.6158522281452482,0.0017858163626436143,0.25
qrank_count_jepa,100.0,0.1,0.6140664117826046,0.6164470024336114,0.002380590651006792,0.25
qrank_count_jepa,10.0,0.1,0.6140664117826046,0.617035851377991,0.002969439595386416,0.25
qrank_count_jepa,100.0,0.15,0.6140664117826046,0.6184679689908208,0.004401557208216167,0.25
qrank_count_jepa,1.0,0.1,0.6140664117826046,0.6192118906653997,0.005145478882795096,0.25
qrank_count_jepa,10.0,0.15,0.6140664117826046,0.6199936236317498,0.005927211849145149,0.25
qrank_count_jepa,100.0,0.2,0.6140664117826046,0.6210387030870393,0.006972291304434737,0.25
qrank_count_jepa,10.0,0.2,0.6140664117826046,0.6239204015275261,0.009853989744921604,0.25
qrank_count_jepa,1.0,0.15,0.6140664117826046,0.624095498342246,0.010029086559641381,0.25
qrank_count_jepa,100.0,0.3,0.6140664117826046,0.6278580892924293,0.013791677509824667,0.0
qrank_count_jepa,1.0,0.2,0.6140664117826046,0.6304958406701449,0.01642942888754022,0.0
qrank_count_jepa,10.0,0.3,0.6140664117826046,0.6347494310281594,0.02068301924555479,0.0
qrank_count_jepa,100.0,0.45,0.6140664117826046,0.6425754426785899,0.0285090308959852,0.0
qrank_count_jepa,1.0,0.3,0.6140664117826046,0.6479925521359164,0.03392614035331179,0.0
qrank_count_jepa,10.0,0.45,0.6140664117826046,0.6591666234646603,0.045100211682055746,0.0
qrank_count_jepa,100.0,0.6,0.6140664117826046,0.6636704430796988,0.049604031297094175,0.0
qrank_count_jepa,1.0,0.45,0.6140664117826046,0.6874553945231145,0.07338898274050995,0.0
qrank_count_jepa,10.0,0.6,0.6140664117826046,0.6959594043520023,0.08189299256939767,0.0
qrank_count_jepa,1.0,0.6,0.6140664117826046,0.7478794783530914,0.13381306657048683,0.0
